Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Hungary"	10922	14139	13247	13379	2354	8614	8558	18984	33298	30295	
"Denmark"	7335	14500	7058	2969	2604	6808	14297	23873	23042	29994	
"Romania"	19777	10428	8801	7204	6727	16315	15228	14862	25962	27739	
"Australia"	24498	22832	23257	15497	18315	20807	7527	21947	26571	21424	
"Norway"	28211	33128	62226	55183	51188	69848	59193	47381	61885	15264	
"Bulgaria"	20805	11102	3873	12424	8084	4859	3772	15333	11565	15188	
"Poland"	4359	6238	5253	4405	975	3612	3573	7997	17198	13578	
"Greece"	9168	4290	5500	5567	6302	21986	6902	15006	15288	12588	
"South Africa"	3053	4661	2809	3041	1252	1446	2290	9539	10027	10656	
"Argentina"	14430	7821	6803	11443	5292	6214	3752	4246	9687	10548	
"Slovenia"	24	448	955	3022	2534	1506	510	3087	13706	8541	
"Malaysia"	1371	104	0	6	4075	333	678	1470	4250	5434	
"Peru"	8963	5800	5258	7267	5172	5401	4293	5125	5497	5378	
"Myanmar"	0	0	2	284	79	349	549	3465	8315	3072	
"Ireland"	16	0	161	23	11	5	5	0	713	2866	
"Pakistan"	1266	3717	1610	892	1445	587	1353	706	1216	2777	
"Hong Kong, China"	12660	14737	10228	10650	8774	8030	4726	1754	1591	2347	
"United Arab Emirates"	201	68	49	3127	177	460	9	105	1492	2294	
"Macedonia, North"	471	546	0	0	0	0	0	206	2745	2215	
"Slovakia"	1438	1837	1812	2572	1017	1075	2074	1600	2937	2125	
"Lithuania"	3014	2365	3359	5137	6636	3688	4238	4593	4909	1507	
"New Zealand"	212	375	161	105	67	67	299	183	435	1083	
"Kyrgyzstan"	0	0	0	0	0	0	0	0		1034	
"Cyprus"	0	58	38	0	0	40	0	0	454	1009	
"Thailand"	0	5	0	0	0	3	520	788	274	905	
"Chile"	0	0	36	452	0	0	0	12		652	
"Singapore"	8	125	189	182	11185	40	60	0	5	646	
"Azerbaijan"	0	0	0	0	0	0	0	0		548	
"Latvia"	161	0	0	75	62	299	124	0	110	414	
"Lebanon"	0	0	0	0	0	0	0	0		366	
"Ukraine"	19973	4778	213	337	3428	729	666	234	1141	356	
"Oman"	0	0	0	51	0	0	0	377	3864	352	
"Viet Nam"	158	100	92	123	57	127	142	77	178	165	
"Saudi Arabia"	444	888	919	1204	12096	1017	2599	165		140	
"Indonesia"	155	74	77	7	239	12	10	16	41	107	
"Sri Lanka"	0	0	0	0	0	0	0	0		77	
"Yemen"	0	0	0	0	0	3	90	48	54	77	
"Cambodia"	0	0	11	5	0	0	0	56	83	76	
"El Salvador"	0	29	23	45	48	24	56	24	54	47	
"Nauru"	0	0	0	0	0	0	0	0		42	
"Saint Kitts and Nevis"	0	0	9	0	0	0	0	0		42	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0		41	
"Estonia"	47	400	197	64	383	255	349	208	186	31	
"Dominican Republic"	0	0	0	0	0	0	0	0		27	
"Kazakhstan"	0	0	0	0	0	0	0	0		25	
"Jordan"	3	9	0	0	16	0	0	0		20	
"Papua New Guinea"	0	0	0	0	0	0	0	0		15	
"Turks and Caicos Islands"	0	0	0	0	0	0	0	0		9	
"Nepal"	0	0	0	0	0	0	0	0		7	
"Egypt"	131	0	0	0	0	51	13	0		6	
"Uruguay"	0	0	130	42	0	0	0	0		6	
"Georgia"	0	0	2	0	53	28	8	499		4	
"Cocos (Keeling) Islands"	0	0	0	0	0	0	7	0			
"Tokelau"	0	0	0	0	0	0	19	10			
"Bahamas"	0	0	9	0	0	0	0	0			
"Bangladesh"	2	0	0	0	0	0	0	0			
"Armenia"	0	0	0	0	0	3	0	0			
"Belize"	0	274	175	0	5	0	0	0			
"Belarus"	4	12	0	0	5	0	0	0			
"Colombia"	53	0	0	4	19	41	0	16	665		
"Cook Islands"	0	0	0	0	0	0	0	239			
"Costa Rica"	836	1434	2072	1148	698	888	644	97	181		
"Ecuador"	39	0	0	0	0	0	0	0			
"Ethiopia"	0	0	0	0	0	352	0	4	27		
"Djibouti"	0	0	0	0	0	373	0	0			
"Iceland"	0	0	0	1496	0	0	0	0			
"Iraq"	3	0	0	0	0	0	0	0			
"Jamaica"	0	0	0	0	0	0	0	0	400		
"Kenya"	676	0	0	0	7	0	0	0			
"Luxembourg"	333	64	66	56	5	119	55	65			
"Macao, China"	0	0	11	76	0	183	0	0	10		
"Malta"	0	0	0	0	0	0	0	0	67		
"Montenegro"	0	538	0	0	0	0	9	649	488		
"Morocco"	0	0	0	0	2	0	3	0			
"Nigeria"	0	0	0	0	0	0	0	0	2		
"Panama"	0	199	0	0	0	0	0	15			
"Qatar"	0	355	0	6	0	0	0	0			
"Sierra Leone"	0	0	0	159	0	0	0	0			
"Togo"	0	0	0	0	0	8	0	0			
"Uganda"	0	0	0	0	0	0	13	0			
"Uzbekistan"	0	0	0	0	0	0	0	0	1000		
