Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	3751463	3277895	3058532	3442400	3018027	2955889	2857993	3868334	5569831	4791362	
"Italy"	349990	353198	332299	352512	289539	307329	319315	338895	520480	532042	
"Austria"	296453	259726	254187	381007	365796	297438	260245	417014	534834	463283	
"Türkiye"	168373	122116	106793	121637	125577	118686	128610	337206	670295	448888	
"Germany"	383462	319997	232066	268221	221133	199440	216750	224422	372302	346492	
"United Kingdom"	268897	249537	249435	258228	210787	274511	310105	284875	293124	282697	
"Brazil"	197194	107017	149092	151326	173414	169890	163189	193478	247369	268868	
"China"	222185	168493	193603	159390	152673	160750	153708	196850	329840	246956	
"Czech Republic"	68527	71146	88578	106968	113852	132485	139649	188332	219995	205901	
"Taipei, Chinese"	98681	101301	105696	104194	87625	97156	107118	149908	246555	205837	
"Canada"	165958	184050	185343	156475	163080	140801	135792	176640	213684	198367	
"Japan"	69386	70349	63004	79660	85355	151871	101603	111811	104238	143356	
"Israel"	168259	117588	105742	158101	147024	99474	78661	148172	176086	123031	
"Croatia"	93953	88957	71158	124220	71620	61648	38690	110685	144080	120028	
"Spain"	109625	100008	79058	66052	64881	68832	77382	86616	118131	120020	
"Korea, Republic of"	195695	167719	124253	180485	57761	45590	45340	98173	131634	113640	
"Serbia"	62389	46005	48097	45407	39282	28403	19774	48518	86447	88071	
"Philippines"	58519	43479	49720	49951	37668	48766	41327	48475	91541	87066	
"Mexico"	76952	69031	65765	75145	52581	57390	57410	85767	94259	85555	
"Russian Federation"	154084	155353	111540	159158	123635	78882	56238	123530	184799	66085	
"Sweden"	62184	64887	57829	51689	48405	33307	60106	50059	74335	65031	
"India"	25221	25353	30014	39981	48887	49071	47926	62112	76652	58666	
"Finland"	35848	27735	30541	30460	25760	26505	24923	34286	41450	47595	
"Portugal"	3793	2706	2971	4232	8429	10642	23728	37355	46683	47403	
"Switzerland"	18614	12202	16591	15077	12090	13214	14108	22164	78417	46212	
"Belgium"	75834	79873	68860	65473	59644	59819	43719	21697	34795	41010	
"Bosnia and Herzegovina"	4647	12403	9963	12578	8133	4943	3622	11811	66963	39087	
"Netherlands"	45646	32161	27734	24111	22403	20064	29911	40694	52891	34916	
"France"	75875	57022	31908	30937	39605	12377	9831	13733	26341	31100	
