Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	3063736	3373789	3233846	3235811	3699548	3971384	3522347	2900283	3201164	2831329	
"Italy"	257123	333827	338706	400923	556912	633401	615811	550464	739078	697802	
"Germany"	592328	567642	483099	457791	588350	607019	461062	404334	430592	359073	
"China"	164253	183904	157799	174896	153398	145809	137480	131934	148857	209683	
"Japan"	299994	262599	188839	244024	246250	269197	204029	200235	206206	187621	
"United States of America"	294411	322719	387691	297544	271610	335843	259140	175614	181834	168558	
"United Kingdom"	78858	75668	96471	103005	151074	177157	141070	97675	160890	115582	
"Viet Nam"	169888	208305	196478	218338	233288	233863	179677	146131	139083	115450	
"Taipei, Chinese"	130894	135495	211948	140979	166594	155198	240576	133465	113958	105536	
"Poland"	110820	149129	149565	174771	202745	209272	160839	128566	127792	93238	
"France"	111999	130690	76432	79840	90478	106717	110196	109876	95574	88353	
"Thailand"	37421	69817	70623	82521	119261	134860	147704	99828	95002	77747	
"Korea, Republic of"	276649	264531	204795	200596	148244	133322	115841	75569	83342	59361	
"Malaysia"	40226	42637	56479	64137	71564	89003	82235	68013	70498	42869	
"Hong Kong, China"	5803	9668	7395	6986	3376	3831	3945	3287	3019	38086	
"Czech Republic"	52462	59792	51893	57736	71416	57474	62016	56604	47115	34830	
"Mexico"	11935	20852	29883	34852	47397	55790	26048	28851	30283	32243	
"Sweden"	39654	57713	48337	34303	29032	27637	26197	24862	33715	32227	
"Spain"	17961	21474	15670	19863	37776	36262	32394	25963	35209	28977	
"Indonesia"	57892	66406	56695	51801	47072	49400	37769	28144	31341	26166	
"Netherlands"	9337	8590	14297	9868	13226	21101	74090	65526	37641	25591	
"Denmark"	12299	20458	19605	18848	20801	23598	20377	18770	26216	24594	
"Austria"	26490	33915	32305	25482	30219	34728	24364	22158	26786	24059	
"Lithuania"	21278	39664	44740	46247	50719	58085	58529	51228	51682	20510	
"Norway"	10807	17242	20706	15111	10105	12556	14228	13512	15939	18188	
"Hungary"	26593	35434	34650	33668	37830	40897	22417	17803	18753	17652	
"Slovakia"	24324	34846	31812	27700	33462	37210	30418	23624	24416	17082	
"Romania"	7451	12912	14300	20004	23711	21962	21976	15570	18805	16600	
