Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	107588269	105806107	99721428	92641354	97414143	102526375	98708866	99066911	109168468	82029791	
"Japan"	16305376	16544265	14521257	14262632	15773874	15828839	15171559	16169944	18033806	13902970	
"United States of America"	10978093	11382232	11324007	11113105	11738013	13220974	12465630	12027328	13266429	13455539	
"Germany"	8033919	8639506	7806290	8275477	9341189	10766226	10753864	11019020	12474352	11720782	
"Taipei, Chinese"	19968669	18148019	15531868	13743171	15097633	14977414	13969625	14385764	16818580	5593298	
"Korea, Republic of"	23550790	22322823	21042147	17350271	14987072	15256983	12967536	11438992	11381018	5315972	
"Malaysia"	919850	1181130	1020646	1307700	1249156	1539266	2076982	2355204	3436091	3417602	
"Singapore"	1306179	1389481	1404060	1537257	1696217	2376669	2597967	3143336	3127428	3115785	
"China"	14903307	12887803	12881571	8971749	9182295	8250039	7226455	7089382	7012888	2768536	
"Mexico"	364338	570948	826719	1045490	1244831	1534361	1807883	1916720	2622537	2694007	
"Switzerland"	1222192	1267334	1194890	1207270	1327883	1577705	1697837	1768260	2163534	2236998	
"United Kingdom"	1150281	1364563	1261739	1242276	1444246	1644973	1681014	1748800	1876109	1983164	
"Israel"	393358	422935	547711	633018	700569	1118383	1164216	1409671	1826406	1920872	
"France"	1182503	1234859	1110804	1171023	1202162	1264031	1292891	1238340	1363310	1342265	
"Ireland"	620738	732533	765058	838708	912662	1132426	1297617	1317984	1432171	1336339	
"Netherlands"	532021	592595	539304	623162	715212	862831	1077523	1091635	1153719	1179209	
"Thailand"	771154	1129694	1800919	2495707	2346610	2031254	2225347	2160489	1640708	1161517	
"Italy"	817279	939460	833541	885354	895947	1025337	907612	803725	988287	966816	
"Viet Nam"	121273	282605	388079	647900	1881703	1909334	1654315	1442509	1255127	781618	
"Sweden"	424916	423819	454944	438300	463307	502598	542493	537264	613844	608106	
"Czech Republic"	242589	239682	213376	221908	299129	366749	469996	449114	514990	585228	
"Canada"	356695	362960	394513	433216	452009	541498	633394	588945	559720	562649	
"Austria"	446471	499041	484233	488957	602856	672720	717054	649160	677492	556658	
"Costa Rica"	37047	57217	104504	86025	175034	309885	403837	387412	473293	499881	
"Hungary"	307365	410683	301530	316388	328304	376270	423659	450985	504310	479489	
"Philippines"	591839	402516	422895	510202	509663	558346	473484	487125	530440	418214	
"Denmark"	284218	305018	334961	325690	331598	369486	368628	389657	404439	374719	
"Hong Kong, China"	176425	149883	181397	152813	212898	125741	173549	187995	169527	339782	
"Romania"	56929	111916	115451	150636	209568	256198	272186	321947	361895	337880	
"Finland"	205821	225389	213761	251730	245422	244231	246799	217936	258131	243988	
"Australia"	138405	146847	181179	179345	169323	185825	204330	174935	180916	225708	
"India"	170093	131533	140650	177115	154549	166869	154265	165971	202165	208689	
"Poland"	55540	74660	72289	105202	134115	132220	142478	176110	246985	203007	
"Spain"	139914	195313	167142	162132	191874	206217	174113	177857	226997	177630	
"Norway"	194789	294493	340693	298102	159439	155223	168238	147298	158316	156487	
"Belgium"	163409	178836	162788	186918	157282	139751	146195	126846	161177	133689	
"Russian Federation"	83497	107203	128731	194453	173658	173513	197697	160948	176869	130104	
"Indonesia"	110062	95871	83467	98345	133257	130348	125905	113782	146349	128756	
"Bulgaria"	7528	12149	13554	19247	22255	28252	43576	72852	112775	96732	
"Dominican Republic"	20482	26625	26121	28447	37099	33774	42328	52070	82589	94955	
"Brazil"	42237	22787	26491	33904	39908	27608	37045	26848	38400	92215	
"Türkiye"	7980	16269	13439	10823	17028	19729	29134	41914	44587	56117	
"Slovenia"	10323	13033	13575	19106	19922	18911	28421	30135	58517	48116	
"Portugal"	10959	18841	11172	15663	17172	16724	36302	39193	52102	47842	
"New Zealand"	12194	14548	19231	19826	18630	25402	30608	42468	39976	46980	
"Slovakia"	30798	43125	37073	23758	31326	36461	31934	35973	33007	29448	
"Barbados"	10358	12484	17049	17055	22911	19788	18277	13179	13659	25717	
"Latvia"	1505	1506	1762	1301	2397	5006	8511	8382	12810	20727	
"Lithuania"	6410	11709	10424	18295	28284	34595	38115	50166	48931	18925	
"Estonia"	11561	27402	33528	32810	17620	25703	25391	32030	19369	18745	
"Myanmar"	12328	10769	18163	23713	38284	39689	32292	20828	18089	16782	
"Luxembourg"	10284	7171	7920	7657	11347	20388	16521	12946	14290	16727	
"United Arab Emirates"	2540	4268	1077	7145	3108	1337	983	1893	9325	14320	
"Malta"	13467	17613	10629	43282	32156	42373	69400	45064	13887	14186	
"Serbia"	113	89	290	1587	3560	3361	3055	5192	10179	12976	
"Pakistan"	3481	4118	4474	5586	9001	16165	10307	12661	14162	11879	
"Morocco"	111	321	282	195	436	5565	9090	5660	8902	11852	
"Ukraine"	2773	4860	3863	6790	21714	8507	4725	5805	8771	8138	
"Greece"	1044	1021	1038	2804	2950	2141	2149	5690	6250	7821	
"Bangladesh"	15171	23878	19874	22889	24874	23061	17985	12474	11964	7693	
"Belarus"	4383	6197	6993	6264	5687	7506	8867	8250	9122	5756	
"Iceland"	1160	1203	503	2072	6670	2831	4260	3568	4163	4899	
"South Africa"	6951	7114	6183	4258	6822	5625	7945	6240	3501	4217	
"Tunisia"	6426	5945	5905	6003	7219	6994	3997	4601	6374	3951	
"Croatia"	2423	1657	2186	2587	7227	7554	2045	5601	5985	3883	
"Area Nes"	1068	12421	16719	1283	3792	5570	5562	3784	3766	3488	
"Saudi Arabia"	10	12	155	21	69	38	459	37	1978	3147	
"Moldova, Republic of"	4	41	1	1396	178	64	260	739	428	2111	
"Lao People's Democratic Republic"	0	197	2	102	302	596	325	924	1892	1967	
"Lebanon"	0	9	4	23	67	849	1383	1081	1013	1840	
"Montenegro"	0	0	0	0	1	180	370	647	1485	1783	
"Macedonia, North"	0	35	0	30	400	913	461	636	4089	1599	
"Cambodia"	1	22908	80903	109041	89800	73558	27630	301	1049	1540	
"Sri Lanka"	1179	2114	5170	7741	9757	7846	9216	8864	4270	1259	
"Georgia"	100	146	280	110	93	84	119	646	530	890	
"Samoa"	0	0	8	12	0	12	2	0	232	682	
"Korea, Democratic People's Republic of"	336	1170	1153	2074	5940	9962	16366	1270	2	601	
"Saint Kitts and Nevis"	214	361	291	381	656	952	246	383	558	535	
"Argentina"	609	457	322	262	212	476	810	359	611	530	
"Mauritius"	16	32	67	34	37	62	44	296	767	467	
"Madagascar"	133	75	177	254	337	416	480	627	519	300	
"Egypt"	10	1130	17	337	1455	1043	2569	1498	66	198	
"Honduras"	3	13	0	4	1	13	15	136	101	143	
"Armenia"	3	34	3	31	86	118	222	219	180	141	
"Eswatini"	25	110	13	96	234	28	42	64	58	134	
"Cyprus"	55	16	55	21	304	187	38	50	50	127	
"Uzbekistan"	0	0	2	12	0	1	2	49	8	98	
"Nepal"	361	1013	1134	3675	1931	2009	2410	1813	1609	86	
"Niger"	33	36	0	21	151	27	70	92		67	
"Peru"	4	15	9	7	605	430	11	31	102	52	
"Chile"	424	61	129	538	91	201	169	251	33	37	
"Ethiopia"	2	0	0	0	1	17	8	3	4	29	
"Iran, Islamic Republic of"	65	288	391	362	377	364	741	65	56	29	
"Afghanistan"	158	21	6	8	0	14	1	0	1	25	
"Jordan"	2	4	2	0	9	18	10	131	3	21	
"Nicaragua"	4	54	28	3	0	0	2	21	45	20	
"Nigeria"	2	18	10	19	0	4	190	407	231	20	
"Panama"	12	0	3	21	1	49	57	12	10	18	
"Colombia"	53	29	439	15	21	141	44	79	124	17	
"Papua New Guinea"	0	0	0	3	0	0	0	4		17	
"Kazakhstan"	4	23	0	32	0	884	33	306	6	16	
"Bahrain"	12	3	2	0	2	4	2	2	23	15	
"Uruguay"	18	35	98	7	25	13	2	0	17	14	
"Albania"	1	8	9	2	5	15	114	37	24	13	
"Turkmenistan"	0	0	0	0	55	56	0	0	5	12	
"Ghana"	14	1	1	2	13	2	2	8	2	12	
"Namibia"	0	0	8	5	55	99	2	40	14	10	
"Oman"	1	17	0	0	7	4	2	4	57	9	
"Vanuatu"	0	0	0	0	0	29	0	0		9	
"Seychelles"	40	6	24	7	5	5	0	0		9	
"Andorra"	0	0	1	7	2	14	135	271	57	8	
"Ecuador"	17	43	106	17	14	2334	513	54	28	8	
"Iraq"	1	71	1	4	25	276	0	2	3	8	
"Oceania Nes"	0	0	0	0	0	17	56	21	6	7	
"Bosnia and Herzegovina"	0	8	8	6	53	84	22	10	3	7	
"Liberia"	12	2	18	0	1	12	8	0	17	6	
"Algeria"	0	2	0	4	27	1	0	226	0	5	
"Cayman Islands"	7	0	0	0	0	0	0	0		5	
"Cameroon"	0	0	69	3	1	1	5	1	127	4	
"El Salvador"	0	0	0	0	0	10	2	6		4	
"Qatar"	1	143	54	66	95	26	5	5	2	4	
"Sierra Leone"	41	15	5	1	10	6	1	9	0	4	
"British Virgin Islands"	0	0	0	0	0	0	0	2	3	3	
"Burundi"	0	0	0	0	0	0	0	0		3	
"Côte d'Ivoire"	2	0	0	1	0	3	12	1	0	3	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	3	
"Bolivia, Plurinational State of"	0	1	90	3	0	0	0	2		2	
