Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Slovenia"	14109	21749	37521	32549	34352	39335	19049	35595	49541	52491	51861	64938	64600	55384	75135	75317	73082	69298	66768	107012	
"Luxembourg"	53769	79898	68917	97535	141212	125807	51300	91117	89253	76337	100809	171025	105097	79911	106860	106512	85891	20091	55408	90942	
"Czech Republic"	52513	103645	127524	149441	79146	45394	22178	26430	71875	155896	98265	103822	64405	43574	54624	97956	86912	30291	52097	89823	
"Dominican Republic"	100569	167229	145505	259746	372515	204341	22625	19500	133282	62575	59223	13433	6619	11201	65526	120641	63871	52708	84816	86637	
"Portugal"	1815	1989	6637	7101	11774	13814	6211	9410	14011	17743	20429	27188	25203	31368	101014	69283	35477	27348	47841	82688	
"Egypt"	83126	280229	109604	375171	8773	910	2458	1423	1447	3384	2252	17360	1236	6101	110893	103488	66951	14108	188881	77205	
"Albania"	0	0	0	0	0	0	776	20992	13853	5355	2420	2706	4751	2070	13697	32836	16267	4531	7887	67893	
"Guatemala"	2626	1965	618	665	1026	1379	274	1106	567	258	158	13201	17111	11761	85348	63852	9801	4718	61737	47944	
"Zimbabwe"	12712	29527	49387	44764	24175	88707	0	23723	37397	35885	4516	37372	44021	5985	28730	56986	20077	9930	8503	47411	
"Colombia"	33133	57127	61504	84663	145660	76830	60394	111400	74572	87815	53504	139109	38103	31180	41316	33659	5251	1281	32552	47019	
"New Caledonia"	10580	16621	23869	41355	73057	44585	22850	68434	87149	53455	70176	82373	39363	37963	64010	52053	39415	26066	42106	41712	
"Macedonia, North"	0	6060	0	9993	39071	43607	0	1351	4885	25698	0	22592	6296	5087	8305	14154	10148	13431	50723	37997	
"Poland"	15235	93395	74989	57936	14330	38347	14991	25372	25502	39958	18030	3084	11246	6044	8701	11256	10395	12628	37036	37137	
"Iceland"	13229	17388	0	515	501	12	0	0	8087	8331	8444	17094	11201	19623	22136	15372	17354	17445	14805	36767	
"Switzerland"	15408	13446	22358	28940	34001	23144	11302	16144	53022	51352	15096	16694	19518	26105	18521	23751	15811	10653	16771	33204	
"Pakistan"	0	0	0	226	36	0	0	37	95	10	49	156	237	11297	20607	14032	8701	7285	45546	27047	
"Qatar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11435	0	0		23845	
"Serbia"	0	0	0	0	83	161	0	0	0	0	0	0	272	4239	21294	39748	11068	28	19118	21756	
"Saudi Arabia"	2214	27469	2217	22712	8702	13733	10202	5737	9381	4421	3115	26629	42848	1479	28935	17917	13022	15330	16502	21134	
"Slovakia"	7563	1324	2754	21964	2042	1532	492	282	59748	142657	691	43860	2843	5070	30812	23462	8497	7125	11861	19299	
"Argentina"	115057	176049	162578	90926	38420	28020	26417	17683	15055	12457	5956	5369	15964	21958	16970	10793	20813	8010	19051	19285	
"New Zealand"	26461	61831	46766	85034	74440	55886	26047	62461	98296	75089	86856	75627	68443	19996	32336	48693	5216	22957	23580	9700	
"Costa Rica"	1002	7078	466	2426	3815	501	339	422	1349	2978	2648	3688	3620	7055	31922	15504	8530	1694	12898	9543	
"Bulgaria"	37040	103987	44783	107570	1966	4279	0	96	0	284	13	19949	3200	1574	133	25355	43535	145	164	7526	
"Greece"	8978	17387	15676	25477	7044	1982	3245	326	2461	7924	557	1810	1817	2570	4452	29246	16823	1278	4331	6795	
"Denmark"	4352	37963	1321	39995	619	12965	7518	608	10203	2718	1474	8334	12730	6947	23574	15784	11726	2450	5596	6580	
"Estonia"	12148	43374	7904	3194	338	0	0	0	0	46	0	322	296	575	223	252	823	1797	2699	6383	
"Paraguay"	3184	3825	0	0	0	0	0	0	15	0	15	655	0	0	0	0	10650	6723	3147	5256	
"Latvia"	16827	49647	23488	2934	6520	4297	719	375	0	0	2	770	0	15850	438	21482	4983	1044	4196	3721	
"Honduras"	268	507	399	28	97	352	104	465	571	324	269	988	169	207	758	1976	1267	850	2015	2937	
"Zambia"	0	0	0	0	0	0	0	1669	0	0	0	1253	3334	0	71	1312	350	526	2053	2272	
"Cayman Islands"	0	0	2233	1466	2307	0	40	672	2264	1734	500	2051	137	7	401	457	827	425	1676	2124	
"Ecuador"	1232	1742	882	306	1021	829	371	1583	2095	1294	246	1328	307	73	1186	1779	667	581	2306	1818	
"Ireland"	8	320	332	692	375	988	2480	1025	1594	1268	1661	3250	3535	5172	4168	2536	1662	1602	688	1704	
"Singapore"	150	7918	59	18871	35521	922	996	1009	8826	501	593	6077	1211	1175	699	122	330	333	542	1465	
"Venezuela, Bolivarian Republic of"	325453	610960	584456	432353	329653	630808	110563	196033	280305	319493	158028	65854	56820	28071	23512	41584	4189	0	609	1038	
"Oman"	0	9	0	0	0	0	0	0	58	0	0	1274	2933	3693	5237	14364	26466	2116	2080	982	
"Panama"	31	277	234	307	2140	2811	151	217	211	1481	1388	1434	2538	893	247	1188	216	148	722	705	
"Peru"	11	60	0	2753	2801	1329	547	1176	1881	2015	7619	32725	9611	10505	24557	21373	241	324	1614	588	
"Azerbaijan"	0	0	0	0	0	0	0	0	0	1781	0	0	0	0	0	0	57	0	1100	531	
"Bahrain"	2	19	0	23	0	3334	2782	3077	983	458	2063	4894	2097	29	103	105	36	24	223	434	
"Bahamas"	528	367	432	720	1016	1520	836	2926	2811	2174	1121	675	285	349	1184	1115	399	93	286	408	
"El Salvador"	5587	7329	210	94	165	3	52	121	145	197	78	396	638	775	1261	2128	724	980	41	375	
"Armenia"	0	0	0	0	0	0	0	481	0	437	65	397	0	0	0	0	0	0		319	
"Curaçao"	0	0	0	0	0	0	0	0	0	0	576	231	51	8	278	112	154	150	385	252	
"Tunisia"	10234	0	0	0	0	5	18	18	30	0	0	0	113	510	629	249	267	68	3	205	
"Belarus"	7418	13286	21072	6680	5403	5453	4996	5520	9420	8706	6523	9689	10055	15006	15810	6545	2856	2034	3032	196	
"Hungary"	7035	6536	3510	2839	642	71	15	0	112	4	22	967	1562	503	647	1050	55	69	43	195	
"Nicaragua"	0	4	0	43	136	4	0	10	54	2	35	10	36	8	3	3	28	0		189	
"Bosnia and Herzegovina"	0	0	3	0	0	0	0	0	0	0	0	0	112	112	666	291	130	548	138	186	
"Israel"	3185	5454	3368	4281	1283	1258	7296	9101	10520	4789	702	1167	78	112	491	193	140	137	397	167	
"Saint Kitts and Nevis"	0	0	0	0	0	0	0	0	149	115	18	93	24	61	4	530	464	95	231	128	
"Lithuania"	30	267	384	0	118	113	0	0	50	0	0	0	0	0	0	31	8	15	127	125	
"Croatia"	0	0	0	0	5	5	21	514	0	0	0	179	281	0	28	5	70	0	6	83	
"Barbados"	0	0	0	3	9	0	0	0	10	22	0	13	10	24	45	109	53	60	52	78	
"Suriname"	21	499	0	0	0	0	0	0	10	46	4	4	0	0	0	0	0	42	63	66	
"Bolivia, Plurinational State of"	0	0	0	306	0	0	0	0	53	0	0	55	0	20	102	28	0	18	306	62	
"Hong Kong, China"	479	836	7003	21199	20884	2394	283	1174	1805	3150	3832	10172	7112	5176	2275	433	215	273	292	62	
"Jamaica"	8	23	19	6	53	158	0	243	51	0	45	224	0	0	0	65	20	44	114	52	
"British Virgin Islands"	4	0	0	0	0	423	0	0	79	165	224	19	8	220	43	21	0	18	22	37	
"Anguilla"	0	0	0	0	0	0	0	0	8	40	6	21	7	27	21	40	49	31	28	24	
"Kenya"	0	55	0	0	0	3	0	0	0	68	0	0	0	13	0	0	0	0	16	20	
"Marshall Islands"	0	0	0	23	0	0	0	0	0	0	43	0	0	0	0	305	1102	0	5	17	
"Turks and Caicos Islands"	0	0	0	0	0	0	3	3	1033	319	38	18	40	9	59	251	68	0	17	13	
"Haiti"	6	53	38	0	23	0	0	0	0	0	40	0	0	0	3	0	0	111	168	12	
"Guyana"	0	0	0	0	0	0	0	3	0	0	48	0	0	0	0	0	0	0		10	
"Liberia"	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	
"Grenada"	0	23	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	3		9	
"Philippines"	3	1273	0	25	211	850	0	0	58	0	10	19	0	131	1500	44	21	41		6	
"Antigua and Barbuda"	0	10	0	55	0	26	0	119	0	0	0	12	43	0	0	0	0	13		5	
"Saint Vincent and the Grenadines"	0	6	0	8	0	0	0	35	18	3	35	10	5	0	0	0	0	4		5	
"Malta"	0	50	0	0	0	0	0	0	0	0	73	0	0	0	0	29	0	0		4	
"Saint Lucia"	0	0	0	0	24	0	0	102	51	10	13	36	12	0	0	5	0	14	3	4	
"Christmas Island"	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0			
"Nauru"	0	0	0	69	0	0	0	0	0	4	0	0	37	0	0	0	0	0			
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	4	86	17	0	0	0	0	0	0			
"Tokelau"	0	0	80	5	0	0	0	0	0	0	0	0	18	0	0	0	0	0			
"Angola"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0			
"Bangladesh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0			
"Bermuda"	0	0	0	0	0	47	0	0	0	81	195	84	79	131	69	0	4	9	19		
"Bhutan"	0	0	0	0	0	0	0	0	0	0	103	151	411	0	809	0	0	41			
"Belize"	0	15	0	16	0	0	0	0	0	11	3	22	22	0	0	7	0	0	3		
"Myanmar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0			
"Cambodia"	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0			
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0			
"Sri Lanka"	0	0	0	0	37	0	0	0	0	0	0	0	17	6	7	0	11	0	7		
"Congo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0			
"Cook Islands"	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Cyprus"	6	0	176	656	79	0	0	0	0	0	0	0	5	0	181	232	188	0			
"Dominica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0			
"Ethiopia"	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0			
"Faroe Islands"	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"French Polynesia"	0	0	0	0	0	0	0	961	0	0	0	0	0	0	0	0	0	0			
"Gabon"	0	64	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0			
"Palestine, State of"	0	0	0	0	0	0	103	97	0	0	0	0	0	0	0	0	0	0			
"Iran, Islamic Republic of"	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Jordan"	0	0	0	0	0	0	0	151	359	292	0	0	0	0	0	0	0	0			
"Kuwait"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	852	0			
"Kyrgyzstan"	0	3	128	248	203	0	0	0	0	0	0	0	0	1818	0	0	0	0			
"Lebanon"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Macao, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0			
"Madagascar"	0	0	0	0	0	0	0	0	0	0	55	0	0	0	6	0	0	0			
"Mongolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5		
"Moldova, Republic of"	0	0	4094	10921	919	0	0	0	0	0	24	0	0	0	0	0	4	0	13		
"Montenegro"	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	171			
"Montserrat"	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0			
"Morocco"	2111	10775	7	3176	10	0	0	0	0	0	0	0	0	0	16313	20532	12676	591	940		
"Netherlands Antilles"	19	1775	0	3	0	3060	164	0	0	0	0	0	0	0	0	0	0	0			
"Aruba"	784	1759	0	0	119	321	0	197	109	51	0	161	206	0	4	3	0	0			
"Niger"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0			
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0			
"Eswatini"	5144	14354	16591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Syrian Arab Republic"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Tajikistan"	0	980	0	175	10	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Togo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	97		
"Tonga"	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Tanzania, United Republic of"	0	0	0	0	0	0	0	40	0	0	35	0	0	4	0	0	0	0			
"Uruguay"	3953	1286	12	0	0	0	18	0	0	0	0	137	137	0	83	0	0	7	93		
"Serbia and Montenegro"	0	53633	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
