Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	10946596	24015697	23617014	30703542	27078829	33608976	13052702	22516681	29666949	30452428	26732093	36000222	27867709	22460117	28812147	31036005	24483024	18799947	38904135	44933026	
"Canada"	2524457	3512533	3970008	4307292	4620132	6460092	3298264	5406691	5967978	5685788	5215128	5860704	4508483	4234873	5284817	5812329	4820464	4464708	9124665	9855588	
"Mexico"	1099729	2242948	2371174	2224782	2241111	2713382	1047739	1874431	2203537	1850016	1981694	2335736	1514792	1479927	1791246	2298368	2142512	1933764	4669731	5612055	
"Brazil"	1118900	2510136	2749474	2802491	2778710	3437953	983433	1527358	3609197	3674329	3093833	3775394	3079844	2185137	2954155	3282629	3538626	2207184	4222641	4305251	
"Korea, Republic of"	344707	751898	968796	1455867	1072208	1486173	753694	939959	1463351	1684970	1640112	2245611	2381591	1832763	1405738	1623298	1570129	1160091	2084731	2760877	
"Taipei, Chinese"	139969	700787	605747	1417989	1058947	906552	413823	604183	751609	926987	788962	1188119	1119592	873556	1030851	838096	592049	510624	1271149	1646616	
"Germany"	588530	959117	1090432	1042823	1074321	1052011	519533	1169897	1300553	1264886	1078468	1201394	1281962	1107939	1268694	1296272	984475	768358	1103141	1640501	
"Japan"	494237	704882	829696	1155523	1065771	1319324	783517	1160697	1605034	1814551	1680530	1864336	1701395	1310405	1347517	1213216	1037360	741590	1206857	1464981	
"Russian Federation"	270198	1714863	1198387	2355453	1148042	1638602	700997	1379358	1797829	2141385	1689694	3474008	1662091	1380238	2655415	2901242	1413688	940118	2769080	1299339	
"Viet Nam"	22	263	655	6563	697	4250	1846	6385	14598	30340	28323	60820	105561	501356	473211	777584	395967	180349	984446	1196366	
"India"	187661	693541	432507	847808	476463	969889	217125	418384	528734	583333	500244	850524	639383	288520	432461	309612	189386	132744	714223	1159102	
"China"	240138	1134996	1310521	2375255	2259761	2925537	541154	1093741	1579902	1655537	1652088	2753685	2012135	682439	681395	703658	531341	336811	598572	1108938	
"Netherlands"	121786	364143	416327	501353	403810	421495	268361	485105	532433	596508	579474	847570	618377	585489	605321	659123	498419	437677	812626	997930	
"South Africa"	344643	780157	541158	755033	797200	1229625	375860	773042	887688	814981	723722	1037969	644075	527666	953699	781609	606260	385536	640990	877526	
"Türkiye"	233492	981598	507855	993957	294719	623293	207543	276433	424217	749157	552299	1121715	1186734	940968	1112062	594500	96189	242825	846071	865647	
"Trinidad and Tobago"	89354	245352	125292	168327	420103	555736	259082	504508	674992	800342	681234	704818	477459	329465	537184	595017	597660	436913	808733	838967	
"Sweden"	279972	455061	611623	654559	844074	859934	409850	721243	885111	733380	593859	711363	553767	534318	604407	614913	492869	396135	525864	818866	
"Italy"	146861	494910	487859	699354	641847	481243	283791	410493	637271	1026298	615215	744900	598322	455498	571736	656695	563586	302857	420185	743789	
"United Kingdom"	423664	936198	817333	880264	815193	855972	362285	680213	791986	764953	671765	1265357	840269	523622	619463	510401	391296	306856	551981	699201	
"Australia"	191053	306703	284275	538258	488842	620433	187724	371391	636845	241537	191026	290488	268632	229434	380705	448157	424004	314226	465345	608994	
"Kazakhstan"	125716	170601	149165	142669	246496	374248	85293	224006	246499	185421	157423	189335	59669	89066	218808	225065	166155	134898	260838	575669	
"Malaysia"	15037	136762	143718	323452	175529	26597	32193	5677	23428	17244	8203	5078	24033	31029	129444	189262	178774	71298	163007	513302	
"France"	300467	467699	572510	534129	540963	447330	255891	361546	473067	441110	438832	561808	586960	430324	438495	459369	278313	160559	323646	445958	
"Ukraine"	56079	267493	415045	857722	691540	1337289	94547	402033	402368	357291	288008	341215	274100	275008	566460	837292	601602	662288	1023614	433186	
"Algeria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39600	4325	237667	386713	
"Austria"	62031	90298	169611	183988	159296	168632	81858	114120	195893	211630	193645	232928	189429	181856	284211	397826	267430	219388	290198	384275	
"Romania"	73160	191699	120689	51205	99329	39733	2158	8128	26443	15232	10546	15848	15595	13027	27347	126045	107857	106981	237943	380385	
"Spain"	148980	295710	285777	276276	127181	168129	90066	157756	174714	178147	153307	276153	220253	195621	285014	270244	272631	169827	172510	321871	
"Belgium"	135291	338294	390886	410756	430747	245883	142940	181426	217708	225291	206279	290409	187042	232755	190470	290338	199276	107988	207457	314326	
"Georgia"	11247	41972	9332	35463	73442	143920	16609	114776	126685	127440	109582	154892	91472	61114	95801	153316	112171	92549	131767	260829	
"United Arab Emirates"	641	1587	5234	9132	3487	8057	3146	4948	7423	10962	15088	25243	35752	75229	149758	131102	104409	88715	232350	255064	
"Chile"	15739	12432	34363	50313	93449	121049	42355	90209	98521	118029	92578	118174	16035	29071	46253	146749	101337	83536	242181	246194	
"Norway"	59223	137856	102413	150186	112371	193705	54491	130308	99752	121477	118599	132933	100425	89843	143795	162865	159686	97232	191468	239576	
"Indonesia"	8263	44143	13039	32292	27785	7588	3697	21166	14800	14244	13525	18923	18276	18452	70634	188435	55790	31420	102062	205955	
"Finland"	33053	67778	90039	96968	75102	88464	69074	110613	63667	84830	155872	215273	120957	136320	160308	149033	85312	125467	200009	193876	
"Thailand"	44935	98555	113871	264727	191280	150200	21536	17658	15687	28648	19959	22226	18085	50669	174716	120186	88412	41104	107185	136130	
