Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	170570903	179377721	157189653	147754410	169779652	202317919	190400422	192047118	231210911	202146276	
"Japan"	29369727	30377555	26314514	27267092	34513300	40711944	36401504	36651788	44142149	36903831	
"Germany"	24617820	26408973	20816539	17754501	21121524	24007122	23409785	22003585	25542266	22458953	
"Taipei, Chinese"	9395460	10685884	9449289	8536389	11836685	14894041	15976732	19246963	23895682	20738080	
"Korea, Republic of"	15662064	17490348	17474331	15283507	16988223	23772447	21451063	21438607	23790484	20132625	
"United States of America"	15530583	16776701	15875513	14534956	16523408	18289110	17534314	16978665	19557301	19655402	
"China"	26408323	25148959	21109608	19643011	20999553	24842851	19661854	18037946	21502173	16792933	
"Thailand"	7434324	7066411	6830599	7290664	7012860	8753987	10878902	11745589	14578194	9527957	
"Malaysia"	3553567	3821878	3323284	3037468	3655413	4070238	3731825	4470913	5949137	7630513	
"Singapore"	4204193	4180287	3987447	3721336	4077686	4938529	3928838	4874312	7332734	6327421	
"Viet Nam"	1076037	1114548	1115919	1245461	1337570	1482582	1577927	2378664	4706178	6217578	
"Italy"	5294757	5577503	4579820	4247746	5043227	5456019	5121385	4813922	5953956	4695640	
"France"	3963966	3960428	3363722	3663711	3878968	4465360	4284566	3632984	4078427	3888567	
"Netherlands"	1309467	1858252	1799947	1833490	1922729	3449358	2913912	3888031	4589070	3554318	
"United Kingdom"	2681039	2583329	2166957	1930308	1950258	2514864	2668837	2714471	3080192	2820642	
"Philippines"	4306394	5023300	4140855	3804648	3707785	3876670	4301621	3098949	3718687	2748061	
"Switzerland"	2116059	2420208	1942209	1872085	2091829	2320031	2209375	2177023	2553894	2707317	
"Austria"	1462429	1482593	1123293	1107842	1233901	1660686	1649761	1511466	1792499	1804801	
"Sweden"	1370405	1635386	1434638	1157109	1517100	1684411	1525318	1519805	1722381	1577532	
"Czech Republic"	544820	702702	678869	675800	870306	1097032	1016901	1227995	1442967	1208167	
"India"	560067	638982	561374	519896	633320	728980	861231	866808	1168551	1181618	
"Mexico"	466583	808949	642881	619539	599116	755735	803055	814626	836361	903769	
"Finland"	822404	715150	646950	608480	743906	776544	746483	663919	821600	741290	
"Poland"	216795	365235	482861	351555	467056	499340	543749	645041	842073	718498	
"Brazil"	297682	237267	201112	224547	214687	182596	292555	222687	432365	620490	
"Spain"	795128	991184	668038	764534	741151	724803	642700	590363	660271	600328	
"Denmark"	606498	741225	683736	588054	627340	603520	704301	780296	819336	589373	
"Canada"	778725	828962	679076	661370	599986	755450	764346	521385	555657	574732	
"Hungary"	1152841	1041795	688763	733488	843765	651201	436361	499574	619884	544189	
"Belgium"	791234	711071	632294	551185	768722	688945	581255	497823	588331	486327	
"Romania"	193703	270913	197111	199600	269185	330689	367743	447460	522208	412353	
"Indonesia"	548246	376846	330680	286531	308956	380298	475348	383971	407545	373844	
"Israel"	185587	225162	229553	291316	333691	326337	349556	292636	283679	369829	
"Türkiye"	158648	178074	184415	209725	274273	330425	276413	308239	400867	348505	
"Slovakia"	162825	222325	203778	241551	309802	361558	330954	295825	371051	327415	
"Norway"	533978	748788	862317	454251	340808	288513	368096	291793	318681	293820	
"Ireland"	558406	354676	225862	232381	201753	314184	273588	191355	197496	218074	
"Russian Federation"	79283	212751	390648	421876	366478	233378	184039	116164	123772	184708	
"Portugal"	47647	38669	45477	77397	116760	145250	122113	136079	176116	180952	
"Australia"	369525	332104	211725	211250	146385	158902	158595	137860	119339	157287	
"Hong Kong, China"	449143	479927	435296	522568	164466	153775	187471	241473	201642	131269	
"Saudi Arabia"	509	222	3205	27499	43170	49870	62566	72459	88405	100569	
"Slovenia"	62304	43805	42298	41477	51475	83324	64212	69389	95845	95507	
"Luxembourg"	41141	64015	42903	27088	38893	47625	44251	32156	68213	73974	
"Cambodia"	16	62	219	1763	5854	20384	39002	65017	77161	72164	
"Greece"	3171	9590	8937	6867	8283	33088	93228	73652	70619	57304	
"Bulgaria"	14085	24524	23933	32368	37800	41432	47629	42129	61247	54849	
"Kazakhstan"	51	0	13	49	585	29	47	6	3	51195	
"Serbia"	3521	3624	4170	9712	21751	25228	15621	30774	26428	39945	
"United Arab Emirates"	8328	36641	30073	9417	8626	38421	44628	29426	36332	39516	
"Ukraine"	32039	40636	45467	43616	30437	64598	45313	41398	29026	30557	
"New Zealand"	32475	58192	51623	34457	25446	55022	34265	28061	40941	26531	
"Myanmar"	145	2957	3903	7552	6459	14175	24521	18640	18596	16643	
"South Africa"	148683	133199	17200	14871	10371	13124	10686	16635	25104	16224	
"Tunisia"	2343	3904	3609	4230	7584	11260	12915	11861	14669	13633	
"Estonia"	12214	20708	66524	28752	19214	11812	12100	14377	22540	12999	
"Sri Lanka"	907	1494	1654	1230	1076	1441	2989	4511	7543	11091	
"Croatia"	32852	22103	36885	28792	36990	55400	22881	20669	13577	10800	
"Belarus"	33632	13383	13247	5566	4438	7683	4775	2470	5779	7098	
"Bangladesh"	624	1233	1432	1255	301	2158	764	1960	6169	6015	
"Area Nes"	5013	14305	8803	8028	10587	9564	34211	44864	39052	5773	
"Dominican Republic"	602	220	155	361	199	279	591	724	5425	5561	
"Peru"	315	1070	763	1098	457	810	238	540	1869	5453	
"Malta"	2689	3364	2860	2598	2625	2840	2822	2635	3444	5102	
"Macedonia, North"	716	413	1152	201	3141	1489	611	1770	417	5059	
"Cyprus"	60	204	254	407	305	792	10414	1835	3849	4346	
"Morocco"	598	646	592	1056	2348	4961	3003	4339	3931	4327	
"Argentina"	14726	12177	6199	3886	4543	4711	3801	3170	6383	3687	
"Lithuania"	3114	2035	12140	4223	8566	13501	13512	14260	16141	3189	
"Chile"	3505	676	440	2417	767	528	1298	1430	2162	3060	
"Bosnia and Herzegovina"	2262	4078	2460	2734	2426	2866	2902	3824	8871	2844	
"Latvia"	1075	1476	910	2086	3262	4898	4104	14502	4714	2573	
"Costa Rica"	7907	11684	6688	1091	1165	1143	884	438	640	2120	
"Egypt"	316	1425	1984	659	752	377	271	1770	1536	1231	
"Panama"	19	5	136	430	649	395	98	811	401	1122	
"Moldova, Republic of"	16	0	0	78	3	6	155	405	1134	693	
"Pakistan"	201	135	221	413	344	562	626	423	428	614	
"Montenegro"	36	35	6	127	368	921	896	497	649	507	
"Iceland"	9403	1154	2663	3098	1215	4435	1085	1340	875	385	
"Lebanon"	1425	187	245	290	1549	2362	2264	5089	311	333	
"Iran, Islamic Republic of"	1862	1430	1761	772	1211	743	1168	348	464	302	
"Namibia"	2	1	28	12	2223	1045	320	39	3	275	
"Colombia"	416	1032	614	174	795	1291	1015	839	354	250	
"Georgia"	355	318	219	146	59	96	135	393	293	172	
"Marshall Islands"	0	0	0	69	20	216	31	244	230	148	
"Ecuador"	417	747	459	100	602	40	36	148	13	148	
"Qatar"	8	25	33	16	54	24	70	10	134	148	
"Uzbekistan"	6000	1	4010	9462	9057	122	18	125	899	122	
"Palau"	0	0	0	0	0	7	30	6	80	121	
"Afghanistan"	1	18	770	45	1	65	10	7	1	78	
"Nauru"	1	2	35	4	0	0	6	1	15	59	
"Liberia"	1	0	34	139	971	240	1065	104	476	57	
"Lao People's Democratic Republic"	80	0	0	91	159	218	308	218	178	49	
"Trinidad and Tobago"	0	30	21	0	4	0	140	12	11	44	
"Algeria"	21	16	9	419	270	41	29	18	5	38	
"Kyrgyzstan"	0	193	1	13	1	16	0	9		38	
"Africa not elsewhere specified"	0	0	0	14	3	0	1	0	1	37	
"Albania"	11	11	10	21	19	37	40	153	89	33	
"Bahrain"	17	246	59	19	52	53	11	10	147	33	
"Nigeria"	15	17	43	30	55	33	23	8	16	33	
"Eswatini"	73	52	70	111	187	263	179	39	13	30	
"Jordan"	32	25	757	380	2895	52	35	350	187	29	
"Oman"	22	34	10	46	98	665	70	4282	345	29	
"Samoa"	0	0	0	0	1	21	0	19	0	25	
"Brunei Darussalam"	0	1	8	5	18	10	2	113	17	20	
"Sao Tome and Principe"	0	0	0	0	0	0	8	38	48	20	
"Turkmenistan"	0	11	0	0	0	0	0	0	0	18	
"Armenia"	2	9	128	135	189	174	67	12	5	16	
"Ghana"	12	0	75	127	51	2	27	10	10	15	
"Kuwait"	14	3	45	41	135	72	117	31	28	15	
"Macao, China"	34	349	162	132	85	393	288	5	14	15	
"Sierra Leone"	15	306	123	88	219	56	238	156	10	15	
"Palestine, State of"	2	1	0	0	0	0	14	3	1	14	
"Iraq"	18	9	15	10	7	2	16	8	30	14	
"Mauritius"	3	1	21	3	1	80	25	53	11	13	
"Angola"	1	7	0	0	23	4	13	0	2	12	
"Guatemala"	0	1	140	1	4	7	0	3		11	
"Oceania Nes"	3	2	0	0	3	9	69	267	196	10	
"Senegal"	65	9	0	10	291	8	3	0	16	10	
"Honduras"	36	10	7	32	19	27	16	2	3	9	
"Nicaragua"	5	31	7	0	5	4	0	5	0	9	
"Andorra"	0	6	6	45	35	8	2	3	18	8	
"Cook Islands"	0	0	0	6	0	0	0	1		8	
"New Caledonia"	0	0	71	0	0	15	0	5		8	
"Sudan"	4	23	8	7	1	5	0	29	49	8	
"Côte d'Ivoire"	1	3	9	0	3	1	0	29		7	
"Bolivia, Plurinational State of"	130	77	6	3	10	1	4	14	2	5	
"Belize"	1	4	10	121	4	4	1	3	6	5	
"Gambia"	0	1	0	13	17	2	109	6	7	5	
"Montserrat"	0	1	0	0	0	0	0	0	8	5	
"Niger"	12	0	24	1	3	25	102	238	14	5	
"Antigua and Barbuda"	0	0	0	1	3	9	1	9	1	4	
"Burundi"	0	0	0	1	0	0	0	1	32	4	
"Cameroon"	1	3	1	4	4	2	13113	33	56	4	
"Central African Republic"	0	30	1	1	0	5	5	8	1	4	
"El Salvador"	16	7	4	4	329	31	2	104	54	4	
"Madagascar"	36	0	0	1	1	5	3	1	0	4	
"Zambia"	0	5	0	123	0	5	1	0	4	4	
"Gibraltar"	0	0	0	0	25	0	0	0		3	
"America not elsewhere specified"	0	0	5	0	0	0	2	0	0	3	
"Cayman Islands"	216	0	0	15	0	71	53	2	26	3	
"Jamaica"	14	8	6	4	2	0	353	405	8	3	
"Timor-Leste"	0	0	0	0	1	0	0	2		3	
"Togo"	0	1	0	0	0	0	0	0	0	3	
"Uruguay"	8	13	412	421	363	0	2	7	6	3	
"Venezuela, Bolivarian Republic of"	201	222	57	32	4	12	4	0	6	3	
"Bahamas"	12	0	1	0	101	6	7	185	31	2	
"Ethiopia"	0	31	3	1	7	1	0	6	2	2	
