Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Andorra"	0	0	0	48	0	0	0	0			
"Angola"	0	18	0	0	4	0	0	0			
"Bahamas"	38	0	55	0	4	0	2	8			
"Bermuda"	0	0	12	23	0	0	0	0	3		
"Bolivia, Plurinational State of"	0	0	0	5	0	4	6	15			
"Belize"	0	74	0	13	0	0	13	214	72		
"Brunei Darussalam"	0	0	0	0	0	0	0	17			
"Central African Republic"	0	0	0	0	16	0	0	0			
"Congo"	0	5	0	0	3	0	0	0			
"Congo, Democratic Republic of the"	29	0	0	0	8	3	0	11			
"Cook Islands"	0	0	0	0	19	0	0	0			
"Benin"	0	0	0	3	0	0	0	0			
"Dominica"	0	0	0	0	0	0	20	0			
"Ethiopia"	28	0	0	14	0	7	0	0			
"Eritrea"	0	5	0	0	0	4	0	0			
"Fiji"	168	89	45	14	43	16	16	138	10		
"Djibouti"	0	7	8	0	0	0	0	0			
"Gambia"	0	0	0	0	0	2	0	0			
"Greenland"	0	0	0	0	4	0	0	0			
"Guinea"	0	0	0	0	0	2	0	134			
"Guyana"	0	0	0	0	0	0	4	0			
"Iceland"	152	66	222	174	76	44	5	15	127		
"Côte d'Ivoire"	0	0	0	2	0	0	0	0			
"Kyrgyzstan"	47	0	0	0	0	0	2	4	9		
"Madagascar"	0	0	0	9	0	5	0	6	5		
"Mali"	0	0	0	0	0	3	0	0	8		
"Mongolia"	0	0	0	0	0	0	8	0			
"Montserrat"	0	0	0	0	0	6	0	0	4		
"Aruba"	0	0	0	0	4	0	2	0			
"New Caledonia"	0	8	0	0	35	0	0	0	15		
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	24		
"Palau"	4	0	0	0	11	0	0	0			
"Papua New Guinea"	0	0	0	0	0	0	0	5			
"Rwanda"	0	0	0	0	0	0	9	5			
"Saint Vincent and the Grenadines"	0	0	0	9	0	0	0	0			
"Senegal"	0	2	0	0	0	0	141	13			
"Seychelles"	11	0	0	7	0	0	0	3			
"Zimbabwe"	0	0	0	0	29	0	0	0	6		
"Sudan"	0	0	0	0	0	3	0	0			
"Syrian Arab Republic"	0	0	0	0	20	0	0	0			
"Tanzania, United Republic of"	0	0	6	0	6	0	13	0			
"Burkina Faso"	0	0	0	0	0	0	0	0	4		
"Uzbekistan"	0	0	0	7	0	0	0	0			
"Samoa"	0	0	11	0	3	0	0	0	55		
