Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Malta"	21	29	31	21	31	231	144	72	9	40	
"Iceland"	273	17	47	34	642	165	211	510	29	32	
"Paraguay"	91	50	0	0	0	0	0	0	354	31	
"Montenegro"	0	0	0	0	0	0	6	0		29	
"Faroe Islands"	0	136	0	0	0	10	16	59	35	25	
"Serbia"	13	19	21	8	17	24	27	73	71	24	
"Georgia"	11	11	91	95	115	85	57	9	51	21	
"Bermuda"	17	21	22	24	33	26	19	33	5	18	
"Côte d'Ivoire"	22	21	0	0	0	0	0	0		18	
"Saint Lucia"	0	0	0	0	0	0	0	195		17	
"Cayman Islands"	45	59	9	24	464	31	38	0	9	16	
"Guinea"	35	0	2	32	8	120	27	100	39	14	
"Aruba"	951	0	0	0	0	0	0	6	52	14	
"Suriname"	0	0	0	0	0	0	0	0	2	13	
"Pakistan"	7	31	6	24	30	11	4	186	68	11	
"Niger"	0	41	13	69	37	40	0	53		9	
"Antigua and Barbuda"	0	0	0	0	91	0	5	0		6	
"Mozambique"	0	0	5	0	0	0	0	0		6	
"New Caledonia"	0	0	0	0	0	3	0	5	18	6	
"Qatar"	941	1562	2372	1856	1850	2001	4367	2088	439	6	
"Tuvalu"	0	0	0	0	0	0	0	0		6	
"Angola"	0	0	0	0	0	0	0	0		5	
"Trinidad and Tobago"	17	442	25	39	0	14	102	0	7	5	
"Christmas Island"	0	0	0	0	0	0	0	0		4	
"Kenya"	0	38	0	118	0	21	69	0	511	4	
"Ethiopia"	0	0	0	0	0	0	0	0		3	
"Mali"	0	0	0	4	7	3	12	0		3	
"Albania"	0	0	0	0	0	0	0	0		2	
"British Virgin Islands"	15	0	0	0	0	0	0	3			
"Chad"	5	0	0	0	0	0	0	0			
"Cocos (Keeling) Islands"	0	0	0	0	0	0	0	0	13		
"Equatorial Guinea"	0	0	10	0	0	0	0	282			
