Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	74396	101371	0	0	0	0	0	0	0	0	
"Tokelau"	15	0	0	0	0	0	0	0			
"Special categories"	0	0	0	0	0	0	0	0			
"Area Nes"	0	4	0	0	0	0	0	0			
"Azerbaijan"	0	7	0	0	0	0	0	0			
"Argentina"	0	5	0	0	0	0	0	0			
"Australia"	25	112	0	0	0	0	0	0			
"Austria"	4774	5322	0	0	0	0	0	0			
"Belgium"	142	2954	0	0	0	0	0	0			
"Botswana"	0	1	0	0	0	0	0	0			
"Brazil"	1363	986	0	0	0	0	0	0			
"Bulgaria"	236	6318	0	0	0	0	0	0			
"Canada"	92	205	0	0	0	0	0	0			
"China"	2046	2193	0	0	0	0	0	0			
"Colombia"	0	26	0	0	0	0	0	0			
"Comoros"	4	0	0	0	0	0	0	0			
"Croatia"	0	113	0	0	0	0	0	0			
"Czech Republic"	4584	4838	0	0	0	0	0	0			
"Denmark"	245	287	0	0	0	0	0	0			
"Estonia"	0	44	0	0	0	0	0	0			
"Finland"	2929	2714	0	0	0	0	0	0			
"France"	8329	20449	0	0	0	0	0	0			
"Gabon"	1	0	0	0	0	0	0	0			
"Germany"	5688	14226	0	0	0	0	0	0			
"Greece"	0	1	0	0	0	0	0	0			
"Hong Kong, China"	47	8	0	0	0	0	0	0			
"Hungary"	7	21	0	0	0	0	0	0			
"Ireland"	11	0	0	0	0	0	0	0			
"Israel"	127	378	0	0	0	0	0	0			
"Italy"	8119	6532	0	0	0	0	0	0			
"Japan"	1071	902	0	0	0	0	0	0			
"Kenya"	8	0	0	0	0	0	0	0			
"Korea, Republic of"	160	157	0	0	0	0	0	0			
"Lesotho"	0	0	0	0	0	0	0	0			
"Malaysia"	0	209	0	0	0	0	0	0			
"Malta"	0	0	0	0	0	0	0	0			
"Mexico"	2	20	0	0	0	0	0	0			
"Taipei, Chinese"	3689	2574	0	0	0	0	0	0			
"Namibia"	180	251	0	0	0	0	0	0			
"Netherlands"	1545	548	0	0	0	0	0	0			
"New Zealand"	52	54	0	0	0	0	0	0			
"Norway"	216	229	0	0	0	0	0	0			
"Pakistan"	2	7	0	0	0	0	0	0			
"Philippines"	199	1	0	0	0	0	0	0			
"Poland"	2	7	0	0	0	0	0	0			
"Portugal"	5	403	0	0	0	0	0	0			
"Qatar"	0	0	0	0	0	0	0	0			
"Russian Federation"	460	115	0	0	0	0	0	0			
"Serbia"	0	400	0	0	0	0	0	0			
"India"	33	554	0	0	0	0	0	0			
"Singapore"	4104	3818	0	0	0	0	0	0			
"Slovakia"	101	64	0	0	0	0	0	0			
"Viet Nam"	1	7	0	0	0	0	0	0			
"Slovenia"	2	0	0	0	0	0	0	0			
"South Africa"	2789	535	0	0	0	0	0	0			
"Zimbabwe"	86	80	0	0	0	0	0	0			
"Spain"	1947	2509	0	0	0	0	0	0			
"Eswatini"	1	0	0	0	0	0	0	0			
"Sweden"	566	449	0	0	0	0	0	0			
"Switzerland"	156	75	0	0	0	0	0	0			
"Thailand"	131	0	0	0	0	0	0	0			
"United Arab Emirates"	40	0	0	0	0	0	0	0			
"Türkiye"	1787	1429	0	0	0	0	0	0			
"United Kingdom"	4456	3713	0	0	0	0	0	0			
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0			
"United States of America"	11822	14516	0	0	0	0	0	0			
