Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Dominica"	21	8	16	21	0	0	0	0	1	0	
"Lao People's Democratic Republic"	1	0	0	0	0	0	7	0	58	0	
"Mauritania"	0	0	0	4	0	0	0	195	0	0	
"Chad"	140	0	0	0	0	0	0	0	0		
"Christmas Island"	0	0	0	0	0	609	0	0	0		
"French Southern and Antarctic Territories"	0	0	882	1087	485	0	0	0	0		
"Nauru"	0	0	0	0	6	0	0	5	0		
"Norfolk Island"	6	0	0	0	0	0	0	0	0		
"Somalia"	0	1	0	0	0	0	0	0	0		
"Afghanistan"	295	46	0	17	3	0	17	4	1		
"Albania"	0	0	4	1	0	0	4	0	2		
"Andorra"	0	0	13	0	0	0	4	34	0		
"Angola"	0	0	398	9	0	0	39	557	283		
"Antigua and Barbuda"	0	0	0	4	0	0	0	0	0		
"Bahamas"	0	1	0	1	0	0	153	0	0		
"Barbados"	25	19	54	47	67	54	43	130	36		
"Bermuda"	13	0	0	0	0	0	0	0	0		
"Botswana"	0	190	0	0	2	3	0	56	0		
"Belize"	0	14	0	0	0	0	82	1	0		
"Burundi"	0	0	0	0	0	0	24	0	0		
"Cameroon"	5	0	0	0	0	0	10	26	21		
"Cabo Verde"	0	0	0	0	12	0	0	0	0		
"Cayman Islands"	0	0	0	0	0	355	0	86	0		
"Congo"	3	0	0	0	0	2	0	9	0		
"Congo, Democratic Republic of the"	50	0	0	0	3	0	2	19	2		
"Cuba"	0	0	0	0	0	1	3	0	0		
"Ethiopia"	156	2	0	0	23	1	1	0	371		
"Faroe Islands"	0	0	0	28	0	0	0	0	0		
"Fiji"	0	267	0	0	0	42	88	0	0		
"Djibouti"	0	0	0	0	0	0	0	2	0		
"Gabon"	64	0	54	0	20	2	15	19	12		
"Gambia"	0	0	0	1	0	0	0	0	0		
"Haiti"	5	0	0	0	0	0	0	410	0		
