Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	439417537	424319488	431610860	414337517	455494791	521542155	497419967	548420356	668657163	644691916	
"Taipei, Chinese"	89593082	87285168	88988330	89689577	96290316	113458578	113728637	139437755	174646063	183038289	
"Korea, Republic of"	76962660	76660723	81548522	73877510	87056199	99971726	79253283	84659998	109487617	110915035	
"China"	100998622	91327864	96290637	88074449	89022004	99784456	90082097	88627366	113152535	91510031	
"Viet Nam"	6965929	8258324	11503974	13033153	22457894	34111220	35414897	48722675	55308955	54333947	
"Japan"	40624114	40571097	38753074	40477985	42017571	44350456	43606493	46322568	54063745	49886011	
"Malaysia"	35541715	32167993	32608179	31794616	30545194	33871052	38854311	38823500	43706641	40717084	
"United States of America"	22864639	21545631	19785546	15900832	17382453	19734411	20232325	20929275	22499874	18299802	
"Germany"	12448609	13222650	12409064	11356181	12116532	13356468	12708793	13016970	14747704	14154675	
"Philippines"	8788765	9363271	9461829	9451511	10520776	11370968	10509325	10746010	12963490	13031549	
"Thailand"	6582245	7327117	8290215	8565290	9219828	9249630	8723262	9186662	11888619	13013253	
"Singapore"	9414501	8993067	8810754	8131324	9399376	9505582	10049973	9039704	10451074	9952782	
"Ireland"	1342219	326128	668390	1654910	3805528	5082991	6073787	7405360	8441211	7886566	
"Mexico"	2537152	3216594	3688575	4086342	4479123	4890440	4787710	5535388	6390543	6288932	
"Israel"	959739	924620	800891	1061697	1857455	1719958	1926480	3278667	3762583	4768222	
"France"	1953794	2216140	1929894	1723426	1817471	2031576	2346927	2589663	2861625	2606113	
"Hungary"	559710	707414	636031	735291	939661	1176152	1626047	1867247	2363220	2363934	
"Czech Republic"	875597	992433	936205	1038902	1221528	1450303	1326565	1460911	1891748	1761973	
"Italy"	1443749	1338790	1127808	948651	1060415	1239993	1206286	1231174	1789641	1659357	
"Indonesia"	1152364	1180266	1233546	1195586	1399540	1476560	1314717	1395685	1694812	1593343	
"Austria"	977250	1026211	888459	984092	1217968	1384088	1371463	1098045	1297108	1330102	
"Poland"	276051	442032	346170	452335	551288	640493	672118	794793	1069138	1285582	
"Costa Rica"	4650394	4028222	612998	539538	474658	320563	189583	157594	190878	1282870	
"Switzerland"	1285323	1076555	994148	927592	1011595	1216669	1158336	1227744	1390561	1274433	
"United Kingdom"	1020308	1007905	1201506	940711	870753	948921	974970	1115674	1184851	1083633	
"Portugal"	300865	285800	242452	549368	665168	735488	717709	1117362	1208953	1016501	
"India"	380847	440583	362612	464870	577973	576743	885060	777222	1215362	939794	
"Romania"	187445	256522	250041	355697	433239	612586	668895	722697	882692	851341	
"Canada"	1247717	857737	738588	853338	727594	733777	724754	637540	733378	660654	
"Hong Kong, China"	1665059	1540291	1597988	801037	917933	756233	1003049	1211395	800094	655646	
"Slovakia"	153602	193217	182924	225381	283606	372815	385130	406697	633819	636015	
"Sweden"	859942	711807	674830	576265	780574	615091	486683	575501	561852	563059	
"Spain"	286248	355749	351409	400324	613391	598209	529379	492350	680469	526161	
"Morocco"	189106	221790	206592	207759	230319	239294	220166	225713	338549	521842	
"Malta"	664198	534092	406468	333627	315149	289408	248583	290346	476206	516307	
"Finland"	586026	624906	366621	378769	308414	400652	440395	371680	542484	474956	
"Netherlands"	622265	548420	447875	446355	488985	612903	541305	471150	553679	466938	
"Belgium"	670815	727354	565641	496580	577738	599344	406731	355873	272772	284790	
"Brazil"	105155	123164	108464	154526	80811	67596	55104	134697	136748	273298	
"Denmark"	247744	276457	244177	225423	286171	348415	269400	276967	305492	257691	
"Norway"	407475	461162	415236	169995	107417	125587	149746	192718	163293	207197	
"Slovenia"	93758	106292	95473	119093	164833	206261	202217	186101	217427	200667	
"Australia"	175545	140228	117811	140974	291381	277085	259908	162885	215448	178690	
"El Salvador"	3895	4067	10881	38344	61648	73781	64429	88843	167317	150028	
"Bulgaria"	67136	69817	49892	48396	69913	82946	91599	110892	144975	149707	
"Cambodia"	22078	31806	71135	86266	91321	98016	111557	93290	103133	144941	
"Russian Federation"	58323	42920	50745	116835	80846	75031	97550	113671	156210	137498	
"Serbia"	3174	5914	9889	14710	28843	46034	40659	49593	103262	101859	
"Estonia"	87898	68951	45938	62267	91764	71708	75241	117065	105440	94561	
"Tunisia"	33655	46190	49257	49130	60142	64894	72366	83762	79385	78014	
"Türkiye"	96030	98702	78219	50047	53766	55325	45738	42596	86045	64880	
