Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	10504294	9661367	9585302	8103533	8510485	8691182	8567740	7054013	8629180	10455489	
"China"	3809477	3776395	3970035	3428115	4055341	4584257	4358066	3689833	4658627	6015961	
"Viet Nam"	549549	578647	806197	737087	608358	421750	496734	463704	593273	535399	
"India"	399128	117472	133016	87229	110233	269329	340851	267949	298404	406455	
"United States of America"	484457	477586	440453	375270	373415	336214	291125	239075	283226	400504	
"Germany"	903419	612553	587482	563479	488497	438151	385440	252706	315952	348320	
"Taipei, Chinese"	260244	243389	195914	148948	155707	178550	166124	141874	194025	223610	
"Japan"	217736	158914	156067	145766	156822	145348	133527	101453	132496	204501	
"Italy"	320006	471411	381894	198020	147928	159621	160155	148763	162440	176556	
"Malaysia"	258950	215842	175565	161740	131207	139118	135405	101581	137846	152203	
"Botswana"	46224	60561	114368	111612	117962	128473	121371	79866	109054	145697	
"Thailand"	280060	272774	97598	108751	106775	105257	101805	87435	140510	131452	
"United Kingdom"	206585	176918	187249	141562	147321	128641	121392	102784	110386	123348	
"Mexico"	301199	175811	163084	136823	131680	104835	118319	93527	98234	118606	
"France"	192785	154869	179017	192440	170335	155174	120392	102673	119861	117957	
"Brazil"	77539	92851	69847	60511	69777	78161	64319	57678	77186	91252	
"Korea, Republic of"	175497	191720	142047	110769	106072	98569	118587	79019	98277	91165	
"Spain"	141943	269245	136297	117236	192610	64016	175993	249460	88542	90588	
"Hungary"	113460	42390	36176	31195	27805	34855	33093	22126	31680	76030	
"Poland"	87862	59541	66205	54089	68189	75272	56181	46829	73823	63731	
"Czech Republic"	103487	97314	100585	79688	83154	79160	75187	52871	66378	62618	
"Portugal"	23959	21825	29115	25720	30173	25268	22444	16459	34493	50092	
"Canada"	68133	46796	44415	37327	39202	34887	36245	26478	32098	47008	
"Indonesia"	44705	26146	32608	26551	25485	22912	21254	25885	37578	46449	
"Romania"	13020	33910	23045	30420	27723	37946	46050	31533	39054	44470	
"Türkiye"	21663	34094	51413	19148	18151	19198	26475	23411	31061	44174	
"Area Nes"	4665	18498	18397	16065	15524	50731	51137	39648	33473	43691	
"Philippines"	23182	24123	51468	41571	25643	36729	34191	31356	44120	41489	
"Hong Kong, China"	82815	149489	326242	145616	121817	101017	114725	71170	59493	39902	
"Lesotho"	56732	51010	40449	39782	48329	45021	27752	23065	34974	37897	
"Austria"	84606	68802	57397	45936	62062	46379	42491	28061	29005	36322	
"Singapore"	214957	209334	54651	37061	38433	37601	33914	25907	36024	34734	
"Sweden"	65082	78881	76976	55989	53174	47343	30885	21737	26673	31895	
"Switzerland"	58770	56277	62615	85689	50015	55046	46425	36119	34887	31365	
"Belgium"	37657	30045	31393	31614	41047	36034	28494	23965	29799	27452	
"Netherlands"	92848	72062	57982	56700	42591	35094	32903	26272	25680	26477	
"Finland"	53867	32060	27993	22923	24275	61834	28074	35957	25142	26418	
"Australia"	28673	27452	24555	23914	22365	19107	21625	15661	19876	22172	
"Denmark"	155723	86300	133788	108047	71137	10490	89350	15170	12285	18728	
"Slovakia"	17783	14009	14896	15323	19619	16948	14291	12583	18055	18683	
"Greece"	11993	13901	10012	12133	15311	26997	29374	9608	12606	18225	
"Israel"	27213	32798	37463	23030	63058	16181	12870	10750	10763	15423	
"United Arab Emirates"	17709	20480	16075	21953	28012	17092	19238	9776	20850	14654	
"Ireland"	106241	48385	50383	36552	20422	17754	19542	5285	16373	13288	
"Serbia"	1892	1742	1577	2207	3459	3867	5103	4585	9558	11905	
"Bulgaria"	6017	6461	7035	6429	7231	13056	14781	12292	10788	11708	
"Slovenia"	13514	10851	9059	9382	8220	9883	14067	12260	12614	10862	
"South Africa"	24411	25049	21436	27736	17479	16719	15036	12841	7546	10565	
"Latvia"	4233	2540	3872	3329	5394	5062	7667	9580	11259	9938	
"Zambia"	39693	37486	20956	8960	12252	7888	11148	1811	9506	9282	
"Egypt"	2052	891	3499	19353	10712	2087	3642	1577	26968	8870	
"Lithuania"	879	653	784	1402	1564	2473	3069	3415	9709	8427	
"Norway"	29973	15587	14944	10787	12375	10057	12480	5618	8816	7385	
"Tunisia"	2830	4484	6150	5475	5662	3722	4171	4334	4908	6956	
"New Zealand"	13000	9774	10479	7684	7383	6165	6054	4332	5507	6584	
"Ukraine"	6136	1774	1489	1729	3180	5585	3380	1986	18583	6470	
"Mauritius"	775	304	4690	4836	7609	11648	6919	631	4830	5883	
"Russian Federation"	3332	6326	6423	7880	6495	4992	9977	3535	6045	4323	
"Morocco"	1084	2918	2645	3262	4728	5353	5749	3327	4049	3282	
"Luxembourg"	1087	1576	2508	1704	1204	954	1966	1155	998	3009	
"Estonia"	20186	10568	23374	4522	12145	8234	14256	4617	3766	2857	
"Namibia"	3039	3307	3981	4537	3381	8317	7645	2230	2367	2483	
"El Salvador"	153	124	199	361	403	418	192	204	1505	2150	
"Cyprus"	113	159	38	39	269	3588	725	695	397	1594	
"Malta"	8330	8390	4415	5890	3484	1345	744	487	1959	1212	
"Lao People's Democratic Republic"	0	0	22	299	1185	2179	1239	1139	970	1118	
"Croatia"	33073	22107	3759	1651	9361	1401	1932	850	559	1091	
"Costa Rica"	22488	11941	1653	741	777	761	613	479	871	1039	
"Dominican Republic"	1643	1500	951	1183	1173	1155	1266	749	1192	960	
"Macedonia, North"	3	2	10	56	1565	1115	848	632	797	822	
"Sri Lanka"	637	729	721	499	476	241	331	277	836	698	
"Guinea"	11	25	29	25	1	3	59	39	53	666	
"Mauritania"	5	8	1	6	18	48	0	1	6	445	
"Eswatini"	309	233	269	150	216	365	622	449	322	400	
"Tanzania, United Republic of"	604	894	815	209	597	196	239	227	366	386	
"Zimbabwe"	1962	3893	2867	1086	720	485	816	1393	675	359	
"Saudi Arabia"	1627	190	100	133	105	92	87	143	375	306	
"Kenya"	653	578	534	249	277	727	313	869	366	295	
"Iran, Islamic Republic of"	883	6409	1707	1263	313	59	12	9	615	293	
"Bangladesh"	42	477	1303	6	317	61	60	19	90	286	
"Mozambique"	4343	1219	843	2431	1292	1681	2178	309	586	281	
"Angola"	384	250	220	154	130	98	51	1156	242	278	
"Chile"	462	130	644	1514	181	346	118	289	672	267	
"Pakistan"	35	182	34	23	31	55	58	32	14	189	
"Nigeria"	939	301	1662	705	312	554	241	243	271	149	
"Sierra Leone"	160	248	89	125	565	207	319	28	47	134	
"Cambodia"	41	16	1	2	4	3	32	321	52	133	
"Bosnia and Herzegovina"	128	43	68	62	73	59	62	287	48	122	
"Uganda"	108	29	47	39	125	43	71	25	63	118	
"Algeria"	838	50	5	12	2	7	3	1	4	116	
"Peru"	4	3	20	114	142	137	191	72	3	110	
"Argentina"	612	697	755	713	383	564	290	136	172	109	
"Cameroon"	71	41	168	14	528	45	24	74	66	105	
"United States Minor Outlying Islands"	18	1	7	46	11	3	1	79	125	103	
"Congo, Democratic Republic of the"	750	379	1098	399	185	150	286	115	159	96	
"Ghana"	186	524	157	130	198	200	162	177	145	89	
"Korea, Democratic People's Republic of"	217	218	151	122	149	43	11	1054	16	83	
"Honduras"	258	310	236	76	79	121	54	36	39	83	
"Colombia"	19	19	15	30	8	788	36	10	72	80	
"Jordan"	35	3	18	51	24	2	58	3	42	74	
"Ecuador"	536	15	148	12	64	39	125	109	1	71	
"Côte d'Ivoire"	1185	5	8	83	5	25	35	9	101	69	
"Tokelau"	133	6	25	7	20	111	33	61		65	
"Qatar"	90	177	21	43	64	63	34	32	34	61	
"Iceland"	222	121	133	37	17	99	63	121	133	55	
"Malawi"	105	46	40	38	64	35	38	64	136	51	
