Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	32597544	37266768	41229825	43932046	44882684	41919409	32472699	41278015	43058201	47855696	51335977	55782891	61204082	63153427	66944790	71856672	66842480	65457994	81318355	86736616	
"China"	13668605	16746683	19723395	22142956	23091047	21914720	17646081	22323428	22711430	24786530	26613915	28012626	30861382	31664815	34829441	38037437	29045795	25293350	31437833	29666363	
"Viet Nam"	226843	472725	855309	1100798	1483572	1745808	1598710	2149051	2141883	2663982	3028706	3606186	4409929	4669678	5315923	5791964	8199393	11286568	14246662	15788592	
"Mexico"	5094747	5188332	5336166	5646897	5714768	5079400	3884348	5717239	6364608	7928003	8619680	9799115	10780466	11270387	10734603	11006987	10733749	9617733	11548483	13192176	
"Canada"	5174624	5698687	5881582	5870740	5387704	4651634	3001755	3564736	3864378	3967764	3923723	4132600	4402821	4809241	4792423	4944927	5184067	4409887	4925903	5855045	
"Malaysia"	637339	774617	914678	993821	964663	886878	755972	916123	852904	931844	855149	914037	1001483	951975	1027684	1067807	1430526	2215705	2179516	2552097	
"Indonesia"	634921	666009	739303	758861	751556	687194	553958	668257	644708	733060	803019	814489	853894	773092	819022	898121	1156568	1524128	1991216	2420579	
"Italy"	1591924	1443618	1292644	1126861	1186046	1038357	686626	694143	769107	836482	956466	1072993	1129063	1234892	1307918	1463231	1479400	1396802	1920011	2414620	
"Taipei, Chinese"	1030304	1040714	969240	911708	894816	899644	659258	848142	911279	1030490	1040692	1105879	1224515	1172302	1231581	1199311	1381019	1553544	1935359	1885076	
"India"	267584	308022	339325	358116	307749	302916	238323	343697	398397	482296	556368	629403	752192	786209	839794	972941	1044020	1050848	1706033	1821799	
"Thailand"	483868	582090	547242	475947	420027	330109	267605	325152	276273	263465	279621	292375	296698	289297	277191	251734	389276	773784	1038570	1390244	
"Cambodia"	40	35	42	26	141	20	44	1225	1953	4058	21053	39795	46689	66317	77916	107478	493287	788466	1127381	1344368	
"Germany"	390852	458141	485201	528251	635983	619862	434142	496913	600383	600069	677909	792144	854668	827162	862124	960831	1020684	783762	915886	986457	
"Poland"	113729	141840	174179	122900	159069	234531	246503	319532	388800	328320	396030	467277	457078	421028	494469	534006	511658	477459	673080	817412	
"United Kingdom"	273767	329759	299508	320054	453997	430259	334746	378265	481647	554968	540730	786157	749315	769928	768961	799695	812997	652936	601792	702126	
"Korea, Republic of"	102094	104941	151741	180837	176864	147672	137888	197948	223453	261702	346605	381292	323042	337144	321031	327843	323079	310910	402749	469701	
