Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Brazil"	338296	473596	533233	388335	315609	219893	133786	131125	117538	108206	120026	135019	144866	155104	193796	232839	274151	300616	416635	453097	
"Philippines"	312039	331226	369600	358370	312254	268704	126590	157026	155637	168565	182882	189744	185754	238936	231769	251885	351555	303398	387990	435110	
"France"	209074	232381	301844	333435	321736	260399	205029	264649	305717	287200	378804	352505	382343	352600	368136	380595	433921	228982	255233	347313	
"Lithuania"	25761	36154	33121	35279	45515	66741	59231	55253	73900	89716	97837	130737	133356	100139	130393	146487	147267	149076	242420	347080	
"Spain"	123528	122408	120172	111001	102830	89671	59707	59910	72990	75440	95653	100246	128399	147210	162831	187298	183770	161182	261779	339636	
"Türkiye"	34776	45943	42514	45361	41766	33514	27851	35197	40910	50958	56647	86733	119642	137967	122649	146640	185587	279217	331848	339557	
"Czech Republic"	38733	51699	66869	54135	57022	52957	35907	43742	51396	49457	65433	81434	96958	100453	132638	146817	153638	112774	225939	258809	
"Japan"	202573	251132	290794	325180	337672	391484	253823	382913	339041	376576	296631	334250	293642	323421	285386	333764	310912	191730	248475	250079	
"Portugal"	10670	10935	11223	11607	13537	15757	14130	13652	28825	50528	73836	94249	94692	102399	113430	118427	119375	104974	144579	175988	
"Serbia"	0	0	0	1038	508	474	243	146	70	363	690	738	1349	2519	2460	4437	40100	89446	136876	173633	
"Pakistan"	61761	56277	87685	109980	112087	93230	113241	92954	83408	67823	85145	81986	78387	74105	85567	65288	63563	90264	146935	165449	
"Sweden"	105500	139873	141025	128922	179762	162363	107893	126689	145609	130501	140453	127889	117974	120581	114040	124513	122474	119619	148670	157734	
"Denmark"	219598	218604	248073	217703	210297	184816	108503	114844	152916	167025	188865	199393	187867	152572	150800	152782	154103	123439	145447	154728	
"Romania"	64446	53133	58751	50378	38885	37567	35398	35604	43713	44367	46235	63385	52255	68610	72640	74640	81493	80168	114091	144067	
"Israel"	100745	135293	117497	122971	112464	80085	75900	76707	39920	35767	39229	51121	55576	73751	96610	94729	67927	99875	118521	128320	
"Netherlands"	36639	34619	38929	37215	33176	35917	26972	25273	30763	41581	50184	64019	95708	104528	87506	85171	84858	76079	103082	115246	
"Slovakia"	23156	36674	44134	44624	37394	45592	41226	41614	50379	48983	59829	68382	48932	45123	52098	60364	61194	42266	53762	82359	
"Colombia"	25682	32950	37078	42951	39223	37300	25584	29903	25786	23153	21184	19647	24897	27316	31559	36312	38733	46572	52641	76405	
"Hungary"	15760	30141	31417	24314	19536	22802	24064	43024	48319	48054	54712	61912	42599	49426	45435	54799	46843	31015	37667	73952	
"Norway"	45885	57272	58548	67350	73864	82101	56915	67093	63569	72476	65279	66710	54988	56391	58600	64449	30458	19590	72922	68271	
"Bangladesh"	1128	745	312	259	439	141	853	11236	11302	13592	8971	16133	13950	7566	10180	19983	17637	25680	52778	67583	
"Estonia"	1944	3058	2901	2537	4090	2937	1543	2551	4012	5213	3753	11673	13823	16237	23647	27051	29197	30399	52560	67115	
"Austria"	37658	43309	46119	50043	53770	62358	40031	39134	52146	53338	59259	60704	60684	58469	63933	64754	65313	50429	62562	66876	
"Finland"	24411	36925	26571	19467	31479	44748	17202	7721	15442	20414	13639	15783	17062	19534	36783	45034	56531	43947	56517	63573	
"Slovenia"	57628	66906	61338	70760	60853	66376	42512	38129	36015	32231	22012	26151	33549	28097	26944	23940	26676	30001	55999	55963	
"Dominican Republic"	6992	8087	7060	7029	6964	7590	7414	7126	6698	7712	8007	10717	17222	15393	11784	17845	17986	20577	31542	55563	
"Belgium"	26879	34172	40613	46419	45638	36805	32861	27874	33795	27790	43791	38849	33413	33049	36816	48851	54739	32419	45795	53703	
"Bulgaria"	19995	23587	32283	31416	33234	33026	19603	15195	18696	22104	19477	16940	18922	16250	14596	14023	14296	15622	64641	53120	
"Switzerland"	31531	29147	30665	29014	37406	36725	31245	39922	36877	35758	35348	39401	40598	44491	47206	36815	37726	32341	52167	50958	
"Australia"	23148	21703	19398	25105	20513	20698	20706	15774	23335	18750	20609	21311	25219	30324	29790	32067	41530	40453	46014	49725	
"Costa Rica"	26730	63849	63065	60907	63616	42925	20122	55061	32430	15566	16658	15145	16168	17502	19077	18997	19108	19709	36220	44134	
"United Arab Emirates"	2941	4748	6705	12111	4757	4233	6910	5039	5544	6395	7519	9256	22428	10460	9896	12602	15635	26947	52197	37909	
"Bosnia and Herzegovina"	4511	4942	4675	4477	4875	6707	6197	6113	8764	10627	9474	10111	10396	7505	9460	10977	7986	6240	13407	36948	
"Honduras"	34359	36236	38310	35276	31821	26559	11308	10264	10008	11924	15000	19194	17854	15881	22135	25827	23883	17623	29279	34905	
"Singapore"	8290	10193	16722	23809	33047	30415	16757	20670	20379	28438	22681	27519	34810	36581	20896	19229	25278	17543	20203	32734	
"Latvia"	5251	5680	7880	10192	7225	8458	9631	6644	8390	10599	11091	13373	10204	9602	10298	14499	14622	11753	14905	31445	
"El Salvador"	474	616	867	554	412	469	527	746	481	1316	1347	2273	5405	17226	11206	4465	8913	15619	29083	29399	
"Ireland"	21117	20510	18369	17385	15553	13443	8111	10662	11987	18793	29893	29754	39267	37240	28597	23592	14719	21834	18035	28228	
"Hong Kong, China"	209290	183933	146382	133585	112865	108057	58108	57108	57537	59748	66640	85928	134781	110711	124143	113952	37357	27713	28437	27855	
"Russian Federation"	4441	5622	8183	9227	9269	13763	17520	20757	33788	15022	14852	16910	10766	11327	14268	17068	13762	27440	33358	24321	
"Myanmar"	2109	0	0	0	0	0	0	0	0	0	951	993	1247	1347	1067	1278	3685	7633	8125	23684	
"Egypt"	22149	21162	22035	19944	16058	12662	7305	7061	6503	6570	6439	6578	7032	6170	6191	6554	6925	5937	16931	21250	
"Ukraine"	1970	3249	3714	3917	5517	6993	6484	3493	3059	3575	3386	4838	4876	5350	7616	9513	8081	16987	21867	18805	
"Greece"	9361	14377	6192	6255	4652	2726	1323	1575	1988	1897	4153	4034	4006	4657	4557	4646	5520	7909	11640	12969	
"New Zealand"	7666	10837	9482	13050	16598	11984	9911	11608	10008	9842	6351	7393	8734	8136	6945	6746	7157	7419	12340	11254	
"South Africa"	17598	16661	18574	26005	30640	18356	19373	23729	20877	16476	12677	12452	8964	13359	13805	12073	15392	10157	12282	10493	
"Bolivia, Plurinational State of"	8052	9012	6934	7678	9475	7821	7016	7520	5207	6368	5851	6036	7811	6508	5874	6279	5501	5257	8432	10388	
"Nicaragua"	540	617	548	1008	4518	7685	8354	10637	11895	18701	15088	17665	24866	22187	22584	19615	21229	30156	24912	10229	
"Haiti"	239	308	867	127	27	28	28	26	19	62	82	54	106	51	40	24	32	2440	7616	8964	
"Belarus"	829	1103	1636	1973	1757	2651	1311	666	140	126	853	5428	7156	7498	9760	9304	10424	12189	20214	8908	
"Sri Lanka"	1708	1586	1475	1417	617	531	897	425	369	684	356	531	707	945	1313	2147	3017	2945	2771	8631	
"Ecuador"	5857	6048	7248	4435	2955	3006	1911	2062	2081	2468	2556	2188	2964	2967	2538	3640	4175	3458	5831	7757	
"Argentina"	149150	122675	89134	86605	88952	50976	18485	16756	15052	14332	12339	13971	12849	11463	9641	9617	7091	5671	8273	6682	
"Morocco"	3371	3097	2973	3764	3402	2826	1725	2005	1766	2694	2456	2604	2898	3782	4087	4116	5310	3845	4199	6476	
"Oman"	3130	215	211	444	64	3	391	0	27	4	19	82	887	624	1281	3368	2614	2624	5302	6191	
"Lao People's Democratic Republic"	13	0	8	0	18	0	4	4	27	32	16	12	8	84	83	75	145	3207	18957	5775	
"Peru"	11255	13454	14540	14174	14933	9077	3977	4597	4983	5479	6212	6621	5101	3719	3644	4368	4367	4295	5306	5643	
"Lebanon"	11846	14686	16955	16609	13638	9401	1518	3618	4824	1737	746	488	1230	1078	807	1999	1483	1756	2088	4484	
"Albania"	0	29	0	118	43	10	10	40	63	124	125	158	142	307	527	877	705	1393	1010	4354	
"Croatia"	3574	11778	6536	5765	4633	4293	1503	3627	1668	2570	4677	3723	3695	2357	3105	2448	3733	2651	2603	4112	
"Guatemala"	6525	5712	4163	5354	3470	2284	1228	1038	1259	1706	770	823	1507	1292	1234	1976	2159	2063	2874	3533	
"Kazakhstan"	0	0	0	0	5	0	0	0	0	12	1	61	12	0	1	27	12	7	28	3266	
"Moldova, Republic of"	0	0	21	172	85	97	18	85	99	108	247	808	2930	707	1193	3444	2765	1897	2367	2482	
"Macao, China"	12371	4533	4135	6938	4647	3678	2127	2735	2769	2035	3838	4611	5089	6292	5252	3969	930	839	1312	2116	
"Tunisia"	281	126	10	48	308	397	1654	2134	982	2331	6372	9338	5200	2379	965	1890	2128	2099	1685	2047	
"Chile"	56525	68580	64860	46686	21988	18719	13240	13174	12979	10072	7835	7971	4412	1946	783	934	1178	1712	1403	2040	
"Jordan"	48	57	44	520	783	568	700	756	698	686	688	385	296	369	395	746	801	643	1031	1570	
"Benin"	0	0	0	0	0	30	0	0	1	0	0	97	118	104	350	428	184	181	850	1236	
"Azerbaijan"	0	0	0	0	0	0	0	0	0	0	0	0	30	35	57	38	19	289	985	1189	
"Belize"	81	31	169	111	38	76	0	166	267	45	85	31	1134	307	1222	1443	1060	341	2146	1102	
"Georgia"	18	0	19	9	10	6	12	15	2	32	5	29	72	127	240	215	593	145	1498	1081	
"Macedonia, North"	41	179	75	0	96	299	194	490	1879	1947	2913	3391	3487	3442	3793	3069	2909	1151	693	810	
"Iceland"	69	84	116	386	205	132	154	21	67	145	93	68	161	181	263	351	558	788	884	772	
"Venezuela, Bolivarian Republic of"	2882	2060	1622	1113	1373	851	136	127	113	97	148	417	107	170	233	221	300	206	55	699	
"Saudi Arabia"	362	256	356	240	526	494	390	437	491	744	430	654	942	522	709	443	476	549	594	654	
"Panama"	1519	1368	1853	1520	1464	623	543	347	287	410	349	410	189	729	231	204	223	487	280	629	
"Nepal"	110	231	232	326	117	376	79	134	199	130	106	114	297	186	145	121	182	105	262	615	
"Yemen"	6	11	0	0	2	2	39	80	33	106	160	136	126	0	0	16	63	209	372	597	
"Luxembourg"	14	524	446	1036	2928	8440	5206	9254	6986	5924	3849	892	474	1926	1515	1096	877	805	500	490	
"Mongolia"	26	47	69	8	101	10	68	40	13	17	21	27	28	47	45	189	136	31	39	391	
"Trinidad and Tobago"	3267	4166	5805	5987	6147	7302	3527	4359	5221	5365	5269	5685	4320	3398	2990	2272	2010	808	479	383	
"Malta"	1	113	255	148	85	88	43	31	211	10	113	245	94	104	80	203	211	179	431	376	
"Uruguay"	4490	6550	9073	2053	2518	803	136	235	180	220	88	226	193	359	212	129	235	390	294	360	
"Jamaica"	129	137	371	422	309	418	329	342	503	536	649	399	207	454	192	264	392	145	359	316	
"Cocos (Keeling) Islands"	19	179	142	49	18	2	79	39	104	158	62	159	188	24	49	162	33	103	97	284	
"Cabo Verde"	0	108	0	12	0	21	0	7	1	48	41	28	19	727	94	38	278	64	75	266	
"Ghana"	723	543	308	110	246	94	88	64	100	59	86	290	188	71	208	169	149	168	280	265	
"Samoa"	23	19	43	62	505	833	151	315	20	702	3167	2242	108	382	319	18	22	68	2	256	
"Armenia"	15	66	5	6	9	0	0	0	27	2	7	10	16	5	16	67	7	271	90	253	
"Nigeria"	0	3	86	243	47	0	5	11	12	18	9	18	11	43	31	1327	69	26	35	203	
"Cameroon"	385	227	518	869	893	1287	1167	353	172	458	897	641	252	94	969	909	423	108	300	189	
"French Polynesia"	4	0	0	7	3	0	38	9	1	0	0	5	0	1	14	11	0	7		179	
"Congo"	7	0	0	0	0	0	0	23	1	0	104	3	1	36	24	3	0	0		178	
"Marshall Islands"	3	0	0	0	15	0	16	39	0	0	2	38	0	0	118	70	281	2	25	173	
"Sierra Leone"	105	213	28	338	194	10	157	55	61	70	51	15	70	79	57	127	376	51	85	151	
"Mali"	5	20	9	0	62	7	33	8	22	58	1	1	49	20	3	3	31	7	13	138	
"British Virgin Islands"	3185	722	912	517	510	81	487	79	131	285	243	320	296	249	36	56	147	40	36	136	
"Burkina Faso"	0	3	28	0	7	0	0	6	6	13	17	6	29	4	5	12	5	8	35	136	
"Gabon"	0	0	34	0	0	12	19	2	8	16	6	15	1	2	10	58	224	0	24	129	
"Senegal"	303	202	44	13	46	47	8	94	132	49	53	37	161	71	91	82	46	44	103	129	
"Paraguay"	172	558	497	252	372	395	237	128	189	246	160	28	91	58	45	110	88	162	118	121	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	2	2	41	31	120	
"Syrian Arab Republic"	797	1009	642	1020	838	925	436	572	537	198	84	8	262	77	120	68	45	61	144	111	
"Vanuatu"	21	0	0	0	0	0	5	0	0	0	0	0	21	22	30	0	0	43		100	
"Cayman Islands"	18	10	10	0	12	22	0	7	8	211	1	0	2175	870	451	120	1	1	14	91	
"Uzbekistan"	1	0	16	0	0	27	0	0	0	15	1	0	0	0	0	5	1	12	0	89	
"Ethiopia"	15	4	21	25	21	24	37	71	17	9	5	86	54	25	32	51	23	23	33	87	
"Malawi"	0	0	17	0	10	4	0	0	4	0	3	0	29	20	28	20	54	30	21	85	
"Brunei Darussalam"	0	0	0	0	58	0	0	0	0	3	0	0	0	61	119	0	96	146	230	84	
"Cyprus"	203	165	103	132	68	85	26	45	28	328	266	121	3	120	318	184	48	144	61	83	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	7	80	
"Kyrgyzstan"	0	0	1	6	21	11	110	0	5	151	337	246	173	55	95	49	139	124	7	75	
"Montserrat"	0	27	13	97	17	5	0	35	0	31	0	3	75	22	157	11	662	2	8	69	
"Guinea"	10	64	22	5	13	0	0	9	59	58	4	11	40	15	26	154	57	88	87	58	
"Bahamas"	48	210	136	530	438	178	56	125	26	13	392	992	38	3	16	7	35	16	217	56	
"Kuwait"	27	44	11	21	60	2	50	93	144	14	3	1	6	66	3	174	24	8	2	56	
"Algeria"	0	6	9	0	0	0	7	3	2	0	4	0	8	0	0	0	4	19	69	55	
"Montenegro"	0	0	0	0	69	28	0	29	19	0	8	0	0	2	343	73	101	91	162	52	
"Saint Kitts and Nevis"	8	12	17	0	19	9	12	0	0	0	1	0	0	0	6	2	1	24		49	
"Kenya"	108	131	176	236	101	104	107	161	183	113	87	67	250	46	173	60	19	122	54	42	
"New Caledonia"	96	155	104	158	70	289	303	456	88	171	288	8	403	160	238	133	189	101	69	39	
"British Indian Ocean Territory"	0	15	182	33	12	54	17	129	0	0	25	0	40	0	85	0	25	4	5	38	
"Bahrain"	21	440	0	0	5	0	0	15	13	52	54	161	9	86	453	115	28	4	3	36	
"Niger"	6	0	0	8	43	3	0	7	53	8	40	25	7	24	45	39	7	35	42	36	
"Turks and Caicos Islands"	0	0	0	1	13	2	0	0	0	13	1	24	1	73	42	32	30	0	40	36	
"Christmas Island"	58	4	0	0	8	6	0	43	10	2	36	38	46	47	163	37	10	50		34	
"Nauru"	0	0	0	3	0	0	0	0	0	0	1	36	19	437	9	0	60	2	1	34	
"Maldives"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	136	0	0		34	
"Palestine, State of"	0	0	0	0	0	0	0	0	1	1	6	0	0	87	1	0	0	4		33	
"Tanzania, United Republic of"	27	5	9	70	74	4	18	32	30	48	320	18	39	39	20	67	19	43	13	31	
"Suriname"	0	0	0	12	0	0	0	0	3	0	2	0	0	151	48	109	69	28	5	27	
"Antigua and Barbuda"	250	3	0	0	26	0	7	2	2	0	0	5	2	31	107	1	0	0	14	24	
"Namibia"	33	10	5	79	14	0	16	3	6	15	27	45	8	115	418	298	4	30	93	22	
"Mauritius"	38	48	76	367	10	57	77	126	28	34	68	124	90	99	43	29	58	26	213	20	
"Côte d'Ivoire"	82	68	329	59	51	11	15	31	7	53	21	7	162	193	152	50	74	6	1	17	
"Mauritania"	0	4	0	42	9	0	0	7	211	4	0	0	0	9	0	0	2	0	15	17	
"Guyana"	62	143	31	34	40	70	0	0	0	1	4	25	10	0	1	13	10	1	10	16	
"Botswana"	6	0	0	6	6	45	14	6	32	3	0	5	1	13	3	21	2	0	48	15	
"Madagascar"	0	33	8	5	13	29	13	7	20	1	37	16	0	5	7	5	0	2	2	12	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	4	1	0	0	0	0	1	1	4	10	0	0		11	
"Grenada"	170	0	0	0	0	0	19	0	0	3	0	0	0	0	0	0	9	0		11	
"Mozambique"	0	19	0	0	0	0	0	4	17	11	30	158	37	66	171	40	79	18	13	8	
"Curaçao"	0	0	0	0	0	0	0	0	2	0	0	7	21	41	78	12	25	19	66	7	
"Dominica"	0	0	0	0	0	0	0	0	2	3	0	1	38	1	2	205	1	3	4	6	
"Saint Vincent and the Grenadines"	24	0	5	0	0	0	7	0	9	24	0	0	44	125	102	35	52	29		6	
"Andorra"	0	0	0	3	50	0	0	0	55	0	0	0	138	21	33	23	63	15	7	5	
"Aruba"	0	4	0	0	0	1	33	7	36	17	0	0	12	24	0	1	12	2	0	5	
"Uganda"	9	0	0	0	4	9	0	0	1	0	14	32	14	10	12	0	12	1	3	5	
"Afghanistan"	0	0	0	108	33	13	24	31	5	9	3	18	13	0	13	7	48	35	11	4	
"Zimbabwe"	492	279	173	36	15	65	22	21	18	0	63	12	36	28	9	37	8	28	49	4	
"Gibraltar"	0	601	640	166	96	0	0	1	0	0	0	8	0	0	0	0	1	0		3	
"Barbados"	0	40	80	16	6	1	6	13	27	4	0	102	2	103	10	111	5	0	5	3	
"Bermuda"	36	16	30	23	5	30	12	4	0	71	14	16	21	4	18	1	14	4	89	3	
"Bhutan"	0	0	45	0	0	5	0	0	0	1	0	2	0	2	0	0	0	0	4	3	
"Congo, Democratic Republic of the"	0	3	9	47	0	0	3	41	35	12	0	0	5	3	13	25	0	4	4	3	
"Fiji"	1140	1547	48	10	43	0	0	13	30	48	8	29	38	68	9	79	27	0		3	
"Gambia"	0	0	0	0	0	0	0	17	2	0	0	1	0	24	0	28	0	0	12	3	
"Libya, State of"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	6	3	
"Qatar"	3	0	0	12	7	15	33	5	9	39	16	2	15	31	27	1	36	11	142	3	
"Somalia"	0	33	0	0	0	0	0	0	15	0	0	0	0	1	0	0	0	0	144	2	
"Solomon Islands"	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	
"Comoros"	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		2	
"Greenland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	
"Rwanda"	0	0	5	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	90	2	
"Liberia"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	51	1	
"Anguilla"	0	0	0	0	0	1	0	1	9	1	0	0	261	22	0	37	0	473	26	1	
"Seychelles"	0	0	0	3	0	0	0	34	0	22	19	154	1059	36	60	36	482	217	43	1	
"Eswatini"	4559	966	178	766	73	9	5	19	1	3	34	1	9	7	90	37	20	67	20	1	
"Tajikistan"	0	0	0	0	30	0	0	7	28	0	0	88	0	0	1	9	1	79	7	1	
"Tonga"	0	0	0	0	0	0	0	0	0	0	0	0	0	52	1	0	0	1		1	
"Turkmenistan"	0	111	14	0	0	2	0	1	0	0	0	0	0	0	0	0	2	13	30	0	
"Chad"	75	0	0	6	0	0	0	0	2	1	0	1	9	14	9	6	5	0			
"Equatorial Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0			
"French Southern and Antarctic Territories"	0	13	0	0	0	0	0	0	4	2	4	0	0	0	0	0	0	0			
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	56	3	0	0	0	0	0	0	0			
"Niue"	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	1	0	0			
"Norfolk Island"	0	5	0	0	0	0	0	0	51	0	0	0	0	0	0	0	27	0			
"Pitcairn"	17	11	0	0	0	27	0	0	0	0	0	0	0	0	1	0	0	0			
"Saint Helena"	63	24	0	28	0	14	0	4	4	0	7	0	86	0	0	0	4	13	2		
"Western Sahara"	0	0	0	0	52	0	0	0	0	0	0	0	26	0	0	0	0	0			
"Tokelau"	68	8	66	2	386	776	125	55	236	98	13	0	17	0	3	55	11	0			
"Wallis and Futuna Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0			
"Angola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0			
"Burundi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2		
"Central African Republic"	19	17	0	10	0	0	0	1	0	0	0	15	0	0	3	0	0	39	9		
"Mayotte"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0			
"Cook Islands"	0	153	0	93	0	0	0	1	3	0	1	0	14	1	412	18	0	0	17		
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0			
"Eritrea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7			
"Faroe Islands"	0	0	0	0	0	0	0	1	22	0	37	0	41	59	2	0	0	0	23		
"Djibouti"	0	0	0	0	3	0	0	0	0	2	13	0	18	4	0	1	0	0	13		
"Iran, Islamic Republic of"	3	1	13	0	29	35	0	2	0	0	0	0	0	4	0	3	0	0			
"Iraq"	0	0	0	0	0	0	0	60	2	1	0	0	0	5	0	0	0	0			
"Lesotho"	0	0	0	0	13	0	0	0	0	0	0	5	0	0	0	0	1	0			
"Netherlands Antilles"	3	19	44	393	25	52	49	0	0	0	0	0	0	0	0	0	0	0			
"Palau"	0	4	0	0	0	0	0	0	0	1	0	0	0	4	6	2	0	0			
"Papua New Guinea"	38	263	96	28	0	3	0	0	0	0	0	1	0	3	27	0	5	0	6		
"Timor-Leste"	22	0	0	0	0	0	0	0	0	0	0	3	0	5	49	33	71	0			
"Saint Lucia"	0	0	27	0	27	0	55	0	11	2	0	0	0	0	10	2	34	0			
"Sao Tome and Principe"	15	0	0	0	21	3	0	40	3	10	0	0	12	0	0	21	0	0	569		
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29		
"Togo"	8	0	0	0	25	9	20	21	8	3	59	13	0	10	0	1	0	0	2		
"Serbia and Montenegro"	133	977	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Zambia"	1	22	0	7	0	32	4	27	1	0	0	4	0	4	19	5	0	4	2		
