Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	16282577	17640242	18860786	19543963	14326303	14216365	13676895	14363752	12715579	13739202	
"China"	4614222	5055011	5601326	6040654	4603236	5843059	6402848	7563151	7153452	7798902	
"Viet Nam"	910202	1641270	1952012	2349021	1280496	1209188	1022867	915264	598012	721657	
"United States of America"	1524209	1617412	2084091	1917087	1638566	1176862	1383194	828952	820633	626445	
"India"	626973	601465	350001	300447	193559	165823	246286	507245	354718	500551	
"Germany"	895672	911957	977630	923976	799867	553134	483632	431469	413869	466023	
"Korea, Republic of"	1367533	1735860	1630240	1637247	1048257	655675	547307	338873	341753	344080	
"Italy"	362309	416534	441111	420080	334272	363288	308851	301471	273507	339479	
"United Arab Emirates"	174979	300262	348157	364576	276246	208668	282776	234345	201351	256422	
"Malaysia"	549404	394434	344502	303975	187216	178728	178279	201063	200312	221739	
"France"	585960	489298	463112	517622	393073	533890	235544	487560	213586	220878	
"Japan"	420707	349671	398508	446567	314339	193569	202061	225104	160015	186426	
"United Kingdom"	454989	435561	385917	432779	284509	222243	256978	216833	180486	179162	
"Mexico"	303995	394563	215603	202190	146801	156238	152707	148196	144485	177078	
"Switzerland"	277683	294465	409056	351751	381521	223705	95676	107181	91379	143783	
"Taipei, Chinese"	263744	318405	245424	211656	155201	126158	99047	117036	123620	138011	
"Egypt"	79991	124761	406819	393795	274342	171100	134126	106465	85110	131408	
"Spain"	121147	192878	189703	213083	129861	122313	127171	174076	106086	124303	
"Thailand"	123358	127888	126884	124118	92021	108667	98119	114763	122619	115512	
"Finland"	289462	188273	398884	297782	112258	289935	74285	67667	121074	97507	
"Indonesia"	74973	57393	49871	43747	29990	32977	38645	39713	53118	94947	
"Netherlands"	67988	100441	99845	92384	30502	103084	76306	53030	40220	71881	
"Poland"	88676	100414	129829	143503	125087	143193	148497	136606	100270	71380	
"Czech Republic"	53309	96962	112012	136790	64199	62829	82174	76617	74621	58341	
"Sweden"	208907	214700	241166	180656	193993	97589	75938	54600	32286	56510	
"Austria"	156441	89804	124881	107956	103202	129433	83798	55153	68509	45423	
"Romania"	56022	22058	27724	57998	35562	25337	28422	39602	22849	44933	
"Singapore"	143500	90960	35193	52186	41388	31398	54858	56781	46186	44431	
"Hungary"	500358	145011	89513	127955	85781	57762	83408	80665	42714	39886	
"Brazil"	24801	18096	9749	10458	9674	8689	15430	24156	33302	37209	
"Belgium"	36625	53718	97844	42762	57867	31086	25826	46887	35200	35919	
"Canada"	95748	64367	68071	73162	64159	64845	70656	39038	30870	30308	
"Oman"	111637	96887	79913	94372	55239	38283	35590	37511	19693	28176	
"Ireland"	34042	36844	52759	53667	24655	28613	26661	29088	31582	27235	
"Russian Federation"	4466	5050	8334	5820	1833	1466	2512	6411	12639	25071	
"Philippines"	19002	19209	26943	33345	24535	28063	24803	42734	22316	21810	
"Bulgaria"	7723	19699	44853	16166	9797	14563	11827	24079	24519	21545	
"Australia"	32486	24677	15191	17007	8756	10476	14270	27335	14562	20413	
"Jordan"	25105	29756	34087	39148	29254	6635	9461	3563	6771	19405	
"Slovenia"	6292	6208	5815	10300	6350	11503	11949	16041	19286	13915	
"Portugal"	13594	13964	15878	27907	9588	25193	20654	10785	29906	12888	
"Slovakia"	19429	9921	9324	16272	12587	17813	24005	13368	17937	11201	
"Denmark"	12957	17722	21376	20558	14453	21744	14777	10800	10423	10367	
"Ukraine"	93	289	41	88	3774	6329	11614	15847	6869	10160	
"Tunisia"	3402	3299	6822	7083	5345	5318	6149	6021	11223	9431	
"Hong Kong, China"	16332	13103	5743	5841	2648	2862	6992	4490	6686	9178	
"Bahrain"	11447	14009	5986	13754	1836	1026	5472	5163	9436	8255	
"Lebanon"	79464	83073	60014	40241	19272	18585	8902	5902	8573	7496	
"Türkiye"	190455	341947	224349	349258	314863	309601	178332	211146	108189	7444	
"Lithuania"	630	826	1343	1407	1952	1078	1717	5946	4855	5737	
"Norway"	47207	61420	63163	39584	70340	19413	9004	14101	10906	5611	
"Kuwait"	518	824	2150	3327	922	570	461	196	437	5497	
"Croatia"	6178	7572	4824	13282	16627	9479	5009	865	3635	3911	
"South Africa"	12627	8398	11595	57985	33616	26299	18917	9479	12148	3762	
"Greece"	1149	2004	3044	1856	1395	3002	1753	2078	3079	3711	
"Estonia"	109041	97928	54877	30412	30277	174424	66334	37727	9903	3217	
"Serbia"	166	1200	1536	798	744	1262	600	1361	1963	3080	
"Latvia"	0	33	206	231	263	464	867	613	889	2952	
"Area Nes"	0	0	31	76620	99065	120635	0	11423	0	2095	
"Bangladesh"	286	122	0	73	51	75	232	3277	629	1866	
"Kazakhstan"	0	0	69	0	0	0	14	4	14	1756	
"Dominican Republic"	107	1419	1645	1939	2470	2545	3256	1141	2260	1274	
"Dominica"	1064	1414	2793	2524	2535	1785	2643	2499	1657	1032	
"Morocco"	339	457	248	203	1639	229	233	426	208	853	
"New Zealand"	3190	2326	1885	2851	1162	1054	4783	1356	1905	842	
"Pakistan"	6030	2988	7161	2734	937	1169	3075	2748	1688	752	
"Lao People's Democratic Republic"	0	0	0	41	0	0	370	854	1075	682	
"Colombia"	2373	3365	966	562	815	479	551	302	444	633	
"Luxembourg"	99	361	938	751	0	6491	3116	345	422	627	
"Costa Rica"	2216	1641	1271	976	493	317	964	1417	788	546	
"Cyprus"	0	371	177	227	1836	2240	1450	1590	230	503	
"Qatar"	2608	22815	1583	18298	21503	2715	0	0	0	496	
"Macedonia, North"	0	0	0	0	0	89	994	314	86	486	
"Argentina"	166	30	0	33	30	0	242	164	32	440	
"Eswatini"	137	2956	1037	0	407	0	119	123	42	373	
"Peru"	0	0	0	0	0	0	0	0	0	266	
"Bosnia and Herzegovina"	1692	73	2477	9533	743	48	1547	493	630	260	
"Malta"	479	497	437	386	124	455	244	436	193	205	
"Venezuela, Bolivarian Republic of"	123	28	0	0	0	0	11	0	0	191	
"Cambodia"	0	0	64	555	34	0	109	0	7	103	
"Sri Lanka"	378	66	531	78	119	28	89	286	170	97	
"Syrian Arab Republic"	2245	78	46	0	0	0	14	18	6	88	
"Niger"	0	0	0	0	0	0	15	0	0	87	
"British Virgin Islands"	0	0	0	0	0	0	0	33	0	85	
"Georgia"	0	0	70	79	0	0	64	100	62	79	
"Andorra"	0	0	0	0	0	0	16	0	0	77	
"Chile"	291	97	165	0	0	0	90	16	512	62	
"Aruba"	0	68	83	153	112	35	43	0	8	34	
"Belarus"	84	0	61	654	0	0	136	548	411	31	
"Cuba"	0	0	0	0	0	0	0	0	0	29	
"Iraq"	0	0	0	116	0	0	1593	28	157	24	
"Curaçao"	0	0	0	0	0	0	0	137	8	17	
"Albania"	391	75	117	0	0	0	17	4	44	16	
"Gambia"	0	0	0	0	0	0	0	5	0	15	
"Panama"	0	0	0	0	0	0	0	0	0	15	
"Armenia"	0	0	0	0	0	0	5	0	0	14	
"Kyrgyzstan"	0	0	0	0	0	0	6	0	0	13	
"Sierra Leone"	0	0	29	0	0	0	10	0	7	13	
"Macao, China"	0	0	33	493	29	0	352	87	114	11	
"Mongolia"	0	101	92	33	0	102	50	47	50	11	
"Iceland"	303	0	34	0	0	0	0	5	0	9	
"Mauritania"	0	0	0	0	0	0	14	0	11	9	
"Sao Tome and Principe"	0	0	0	0	0	0	0	0	0	8	
"Lesotho"	136	330	0	542	166	46	19	14	12	7	
"Honduras"	0	32	873	0	0	69	49	10	16	6	
"Uganda"	0	0	0	0	0	0	0	0	0	6	
"Azerbaijan"	0	0	0	0	0	0	0	4	0	5	
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0	31	5	
