Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	24357851	25970064	26303603	26800439	17781407	16479281	15470409	16847688	15431597	16493576	
"China"	4024283	4293645	4716589	4895416	3254904	3394366	3037987	3974257	4545662	4794561	
"United States of America"	5247521	5830679	5663525	5984550	3944450	3527656	3232992	3031770	2561199	2553774	
"Germany"	2981251	2996680	2993913	2736931	1755641	1500556	1557524	1347562	1259539	1379274	
"Italy"	1664688	1908450	2134274	1781890	1441480	1519779	1409408	1210831	1256694	1304807	
"United Arab Emirates"	228054	361322	337691	378822	257694	332809	387206	902396	425909	857025	
"Japan"	1348680	1218082	1526720	1530887	919210	668065	625565	754531	593894	633430	
"Korea, Republic of"	2208413	1996099	1361606	1808961	772970	489887	516662	507022	467745	493968	
"India"	442281	524814	471531	501080	330545	346918	399807	402307	371018	411155	
"France"	519497	512906	621860	635419	496571	625135	482301	523594	383264	387222	
"United Kingdom"	853752	809491	1016053	901724	564728	478429	522337	698815	506709	379694	
"Thailand"	695790	598034	617737	763220	542079	425058	319336	349897	351772	372945	
"Spain"	247050	313557	349298	299752	234693	251649	285274	211640	204301	261520	
"Netherlands"	367840	363839	335944	324732	276326	229927	218857	210522	158719	215166	
"Poland"	117573	128264	155820	207553	127534	117985	136664	154658	146245	184939	
"Singapore"	170569	211288	286017	304597	145944	163612	170323	181681	221432	182447	
"Mexico"	151330	229130	164703	171950	135086	124232	142598	219495	163684	161484	
"Taipei, Chinese"	143284	167894	149603	183776	164160	117493	105555	102082	118105	149341	
"Czech Republic"	171138	200810	194539	217508	181120	172016	235345	229754	161432	141326	
"Oman"	452	3646	2400	561	213	117	2794	5803	1226	129396	
"Sweden"	221906	240878	215440	205222	151115	115429	103956	97995	95874	103957	
"Belgium"	231299	212016	159032	181980	99023	99418	77382	121491	91454	102514	
"Canada"	262694	256947	237157	215498	146699	142400	158384	149484	79719	92296	
"Hungary"	134520	152043	148109	163370	100514	89489	72625	97160	92133	89859	
"Switzerland"	190341	290701	179301	177591	158780	108554	122184	90637	84703	89693	
"Malaysia"	215465	197452	256376	199332	134120	91905	108290	112714	83229	84335	
"Finland"	106919	155908	142291	128346	62194	73461	50118	51263	90806	83609	
"Bahrain"	122135	117383	92117	134769	103666	75640	61530	35326	70075	71690	
"Romania"	25261	54194	46909	77719	23344	44661	61438	36319	33234	70227	
"Ireland"	118788	189542	199809	138380	107824	77994	74976	166669	60258	69487	
"Austria"	147008	142507	184212	167552	98017	92827	77590	70464	80841	66680	
"Denmark"	91517	83425	78707	78526	52017	57407	60622	57240	55845	55546	
"Viet Nam"	76079	240455	371975	172502	109400	110632	85782	59570	85286	53976	
"Indonesia"	50740	61949	58944	117563	80485	59239	37455	34878	33776	39242	
"Jordan"	39103	39042	45217	51257	25539	43921	19255	25277	28497	34743	
"Brazil"	151515	122641	96756	98398	35558	22848	26477	44536	65403	31974	
"South Africa"	15788	13257	24850	18627	26668	4548	9349	15899	15044	29056	
"Philippines"	19759	10473	13240	25150	26532	30121	26714	29507	22331	28027	
"Area Nes"	120	0	0	134154	169024	171297	0	30615	0	26652	
"Australia"	49298	61531	42552	52543	36560	50579	37676	29079	26685	26380	
"Slovakia"	13398	14199	18886	13793	11073	14129	10527	13644	21897	23990	
"Norway"	12289	17365	13918	16359	11325	11347	28737	20492	12057	22409	
"Kuwait"	2600	2635	3716	4293	3848	3081	3232	2171	3103	19869	
"Hong Kong, China"	7343	4978	3836	2216	361	823	9210	90739	3108	16302	
"Croatia"	3595	7355	4641	5648	2257	1816	23558	15232	12722	15783	
"Slovenia"	5808	6145	16112	18689	7659	4819	9028	9887	20970	15680	
"Egypt"	16325	13824	8413	35801	28550	40085	19591	16877	9037	15354	
"Greece"	4698	7794	17195	8785	9449	10378	7534	6111	4049	13591	
"Luxembourg"	11843	14303	11607	18248	24982	11351	15199	22196	14088	13437	
"Bulgaria"	9197	11440	14586	15363	8337	9223	9864	5078	8182	11184	
"Portugal"	22917	24802	40181	35193	29070	47263	15280	11946	9952	10984	
"Türkiye"	209704	297005	275268	339623	244746	187492	155244	186684	123352	8320	
"Serbia"	1400	2576	2503	3045	1865	1810	2666	3327	6307	7958	
"Lebanon"	18579	23936	16318	22622	19400	15716	8121	12108	6579	6388	
"New Zealand"	5191	2949	7956	6743	3903	7459	2626	4023	4492	6162	
"Russian Federation"	1845	3394	15912	2393	2747	2862	8588	3103	3338	5744	
"Estonia"	4424	22114	8538	10761	7626	4512	2906	3789	5953	4115	
"Pakistan"	6937	11550	8270	27621	4943	3437	3948	5634	4032	3892	
"Argentina"	3134	4227	4685	3621	2298	1875	2499	3358	2927	3466	
"Ukraine"	772	1766	2625	3850	3364	2316	2945	6283	2671	2492	
"Tunisia"	1222	1057	1222	2056	1472	345	1555	1683	2258	2367	
"Aruba"	1093	2564	1321	846	320	111	331	157	393	2263	
"Qatar"	3063	1724	15760	5607	45935	35749	0	8	0	2205	
"Lithuania"	2075	220	374	1802	801	1726	1249	1418	1005	2066	
"Latvia"	443	327	903	454	381	448	298	383	1128	1183	
"Ecuador"	39	372	81	0	386	46	5	77	988	1167	
"Syrian Arab Republic"	11911	1879	159	659	159	211	320	443	652	1166	
"Malta"	404	182	435	496	417	134	738	925	704	1068	
"Bosnia and Herzegovina"	181	694	940	1337	263	380	896	613	624	1060	
"Iceland"	143	389	317	301	42	37	450	49	72	1047	
"Colombia"	3267	1466	48	748	87	1911	7236	3219	1000	964	
"Cyprus"	133	266	4684	6298	3047	204	4803	1840	700	922	
"Sri Lanka"	625	0	683	119	407	228	261	533	882	891	
"Belarus"	1599	136	90	683	727	346	4	4186	86	837	
"Dominican Republic"	79	0	113	131	0	0	229	232	219	589	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	3	567	
"Eswatini"	112	258	248	63	1249	2705	26	415	2581	350	
"Macedonia, North"	0	0	0	27	0	0	6	15	7	344	
"Kazakhstan"	0	86	0	0	0	121	5	365	6	337	
"Morocco"	3206	371	305	45	438	0	292	2073	15076	285	
"Dominica"	652	429	427	94	0	342	203	190	13	188	
"Chile"	1135	4008	536	1000	219	152	1260	904	365	149	
"Myanmar"	0	675	0	0	0	0	19	0	62	90	
"Curaçao"	0	619	149	0	0	0	34	1023	0	84	
"Costa Rica"	213	254	1500	1623	0	0	64	676	69	72	
"Saint Helena"	59	0	0	0	0	0	5	13	0	52	
"Georgia"	0	557	0	0	0	0	103	685	74	51	
"Peru"	5654	738	66	1404	43	59	111	223	72	48	
"British Virgin Islands"	135	521	37	121	0	0	0	0	10	47	
"Cambodia"	215	0	0	0	0	0	77	104	12	45	
"Algeria"	166	106	96	0	0	0	0	0	22	42	
"Pitcairn"	0	0	0	0	0	0	0	3	0	39	
"Bangladesh"	0	94	994	395	0	232	58	41	50	39	
"Iraq"	193	118	0	0	58	0	217	170	113	39	
"British Indian Ocean Territory"	0	0	0	0	0	0	235	556	0	33	
"Chad"	0	0	0	0	0	0	0	0	0	29	
"Andorra"	0	0	0	0	0	0	0	0	3	27	
"Trinidad and Tobago"	0	0	0	0	0	0	62	81	38	26	
"Lao People's Democratic Republic"	72	0	63	0	0	208	833	1108	340	23	
"Macao, China"	31	103	0	29	199	0	26	0	267	23	
"Gabon"	316	0	0	0	0	0	4	55	49	21	
"Nigeria"	317	0	0	0	0	33	6	245	0	21	
"Albania"	83	0	102	89	35	0	7	225	0	15	
"Grenada"	0	0	0	0	0	0	0	0	0	15	
"Congo, Democratic Republic of the"	0	0	967	0	33	108	7	6	5	12	
"Panama"	0	169	0	0	0	0	130	32	33	11	
"Azerbaijan"	0	0	0	0	0	0	17	119	89	10	
"Madagascar"	0	0	0	0	0	0	0	0	0	10	
"Venezuela, Bolivarian Republic of"	130	0	114	431	61	0	6	69	0	10	
"Uruguay"	0	123	0	724	98	66	15	392	17	9	
"Sierra Leone"	0	0	0	62	0	64	0	142	15	8	
"Armenia"	131	0	1210	0	0	0	15	24	0	7	
"Cuba"	0	0	0	0	0	0	849	0	0	7	
"Somalia"	0	0	0	0	0	0	0	0	0	6	
"Nauru"	0	0	0	0	0	0	8	95	49	5	
"Brunei Darussalam"	38	0	0	0	0	58	23	6	22	4	
"Ghana"	0	0	0	0	60	0	20	36	6	4	
"Mauritius"	27	0	0	41	0	0	654	0	0	4	
"Falkland Islands (Malvinas)"	0	0	183	0	0	0	23	13	0	3	
"Kenya"	119	0	98	0	0	0	10	28	0	3	
"Mongolia"	2363	60	74	0	216	71	72	53	57	3	
"Saint Lucia"	0	0	0	377	0	0	0	0	0	3	
"Uzbekistan"	0	0	3010	0	0	0	0	0	0	3	
"Zambia"	0	0	0	56	0	0	3	0	0	3	
"Angola"	0	63	0	0	0	0	19	13	64	2	
"Ethiopia"	0	0	0	0	0	0	7	5	496	2	
"Moldova, Republic of"	0	0	128	0	0	0	84	384	25	2	
"Micronesia, Federated States of"	0	0	0	0	89	0	0	0	0	2	
"Tanzania, United Republic of"	0	0	0	0	0	0	3	0	45	2	
"Yemen"	47	0	71	58	0	0	0	0	4	2	
"Bermuda"	0	0	67	0	0	0	12	3	0	1	
"Cayman Islands"	0	0	0	0	0	0	16	0	0	1	
"Greenland"	0	29	0	0	0	0	0	0	0	1	
"Guatemala"	0	0	0	174	0	0	3	10	0	1	
"Guyana"	0	0	30	34	0	0	0	14	8	1	
"Honduras"	83	369	241	34	0	0	10	46	39	1	
"Libya, State of"	0	0	0	0	0	0	31	13	15	1	
"Montenegro"	0	0	0	68	0	0	3	0	49	1	
"Nicaragua"	0	0	0	0	0	0	11	14	0	1	
"Papua New Guinea"	0	0	0	0	0	0	11	0	3	1	
"Sudan"	55	1948	319	59	61	47	20	29	0	1	
"Afghanistan"	0	0	0	0	0	223	6	0	0	0	
"French Southern and Antarctic Territories"	52	0	0	0	0	0	249	79	0		
"Gibraltar"	0	264	0	381	0	0	49	0	0		
"Korea, Democratic People's Republic of"	6302	1139	0	7707	1570	2492	780	1676	81		
"Oceania Nes"	0	0	30	0	0	0	0	0	0		
"Europe Othr. Nes"	82756	137964	75204	0	0	0	42836	0	27569		
"Niue"	0	35	0	0	0	0	0	0	0		
"Northern Mariana Islands"	0	0	0	0	0	0	0	15	0		
"Tokelau"	0	0	0	0	0	0	9	0	0		
"Turkmenistan"	0	0	0	0	0	0	4	27	3		
"United States Minor Outlying Islands"	0	292	0	0	0	0	5	5	0		
"Wallis and Futuna Islands"	0	0	0	0	0	0	0	0	50		
"Antigua and Barbuda"	0	0	0	0	342	0	0	0	0		
"Bahamas"	508	0	0	36	0	0	3	0	10		
"Barbados"	0	304	0	0	0	41	0	3	0		
"Bhutan"	0	0	0	0	0	0	17	0	0		
"Bolivia, Plurinational State of"	0	0	0	69	0	0	0	361	22		
"Botswana"	0	0	0	0	0	0	0	17	0		
"Solomon Islands"	0	0	846	0	0	0	0	0	0		
"Burundi"	252	610	0	0	0	0	0	0	0		
"Cameroon"	0	0	0	0	0	0	8	13	0		
"Cabo Verde"	0	0	0	0	0	0	10	0	0		
"Central African Republic"	40	0	0	131	0	0	3	0	0		
"Comoros"	0	0	0	0	0	0	3	0	0		
"El Salvador"	0	0	0	0	0	57	0	321	0		
"Eritrea"	0	0	0	0	0	0	0	0	115		
"Faroe Islands"	0	0	0	0	0	85	0	17	0		
"Fiji"	43	0	28	0	0	0	19	6	45		
"Palestine, State of"	0	0	0	0	191	144	127	140	0		
"Haiti"	0	0	0	0	0	0	4	5	0		
"Iran, Islamic Republic of"	1543	904	1153	563	0	0	0	0	0		
"Jamaica"	187	0	0	0	646	0	0	0	3		
"Kyrgyzstan"	0	0	0	0	0	41	0	0	0		
"Lesotho"	393	0	118	66	0	0	137	30	20		
"Liberia"	0	0	0	0	0	0	4	28	0		
"Maldives"	4387	0	0	0	0	0	0	69	9		
"Mali"	0	0	0	0	0	0	25	0	6		
"Mauritania"	0	0	0	191	0	0	59	715	0		
"Mozambique"	0	0	0	0	0	0	5	7	3		
"Namibia"	41	0	0	237	0	0	4	0	76		
"Nepal"	0	0	0	0	0	0	0	58	0		
"New Caledonia"	0	0	0	36	0	0	0	0	0		
"Vanuatu"	3192	0	0	0	0	0	50	0	0		
"Niger"	44	0	0	0	379	0	32	4	6		
"Paraguay"	0	0	0	0	743	0	0	0	0		
"Timor-Leste"	135	214	0	0	0	0	6	0	6		
"Rwanda"	0	0	0	0	0	0	0	19	8		
"Saint Vincent and the Grenadines"	152	0	0	0	0	0	0	0	0		
"Senegal"	0	0	0	0	0	35	0	0	0		
"Suriname"	292	0	81	0	0	0	188	156	11		
"Togo"	0	31	0	0	0	142	0	0	0		
"Turks and Caicos Islands"	0	0	0	0	0	0	0	13	0		
"Uganda"	0	0	0	0	0	27	16	0	0		
"Samoa"	0	0	0	0	0	0	0	0	7		
