Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	1977579	2360287	2672509	2750670	2111428	2094387	2120503	2351929	2335427	2634320	
"China"	820912	934374	993237	1089515	862108	832276	894771	1060839	1159175	1463418	
"Italy"	181990	193640	219187	264295	173556	185929	190006	217030	175016	167368	
"Viet Nam"	11447	13614	17294	23711	26600	32756	46676	73834	86856	118647	
"United Arab Emirates"	56602	90885	142325	130821	108923	114709	102510	70688	72864	107361	
"Germany"	101485	122492	126555	109279	73059	69059	80866	71380	72866	84065	
"United States of America"	168421	190897	203443	164703	114122	99214	112170	118805	91955	80693	
"India"	17155	20210	22733	33025	21888	25513	30145	46397	40158	63401	
"Malaysia"	50346	48806	53519	59120	43709	34065	39629	51824	54088	58127	
"Spain"	42099	51214	66846	68934	61620	95971	48958	55107	46618	50574	
"Poland"	31061	38860	58839	63604	55418	54449	53690	56272	50395	48499	
"United Kingdom"	35620	40924	60527	50765	22509	21453	50179	33475	25088	24516	
"France"	51606	54493	44941	47253	19060	23044	24308	23653	20928	23152	
"Netherlands"	6160	7542	7746	8309	5969	10608	6594	6728	7242	22849	
"Egypt"	93991	113876	117704	111002	83684	52938	13367	15672	14092	19679	
"Jordan"	26639	27273	30281	27085	16454	9733	5706	10078	29558	17961	
"Taipei, Chinese"	19497	22292	24569	26176	15531	14087	16198	15281	13252	15815	
"Lithuania"	6242	7013	8149	8082	7002	9359	10168	15823	14220	15367	
"Hungary"	3627	4999	9207	9430	3660	2920	6988	16346	19680	14692	
"Bahrain"	8903	11842	8193	14133	16026	17958	24785	15019	10854	14269	
"Portugal"	3427	11165	7778	9515	6888	7301	7594	9235	12005	13909	
"Romania"	12313	15473	25512	24582	32709	38892	27442	25156	15388	13757	
"Indonesia"	5237	6901	8109	13864	11414	8744	7893	8559	9601	12941	
"Mexico"	7112	15165	12771	10970	7828	8313	12994	9743	15207	12537	
"Czech Republic"	9094	8634	15509	19126	7695	13802	12817	12280	15531	11098	
"Korea, Republic of"	19553	20196	24323	23480	11983	14258	10550	8541	9045	10993	
"Switzerland"	1964	1734	2616	5328	3152	931	4304	5352	1430	10185	
"Bulgaria"	3631	6851	9243	10171	7472	8382	5417	4581	3257	9418	
"Greece"	1322	2389	4954	3816	4377	4236	4908	5661	5483	8978	
"Brazil"	839	484	699	360	321	1421	3409	5506	1721	8507	
"Oman"	11054	22512	24468	16146	15302	9989	7821	10757	10188	7866	
"Kuwait"	10347	12979	15446	16013	11227	7988	7966	11725	7337	7518	
"Pakistan"	3168	3110	4055	5477	4678	3518	3116	6071	6675	7518	
"Lebanon"	12111	17744	11205	15155	9652	11149	7626	10865	6218	6676	
"Thailand"	3880	3911	4534	5453	3617	2887	3713	4447	4417	6118	
"Finland"	1198	1719	3939	3438	3762	3319	3722	2883	5241	5919	
"Japan"	3685	4198	5027	4742	2726	2005	4087	3273	3705	5298	
"Austria"	19350	85521	101448	12918	4413	4536	5792	3566	12947	5077	
"Ukraine"	0	160	118	919	855	1698	1228	2280	2482	4929	
"Canada"	17943	9966	18490	15364	7970	7480	8814	6890	6226	4926	
"Tunisia"	0	163	29	110	0	51	196	148	69	4428	
"Denmark"	2686	4176	4052	4833	2578	3783	4478	4898	4575	4079	
"Sweden"	8798	11929	17984	13150	11518	8546	5315	6275	4022	3645	
"Philippines"	3071	2483	2646	3775	2729	2870	3830	4563	2252	3195	
"Slovakia"	3694	4839	7204	12111	22263	26611	18036	7755	3602	2821	
"Azerbaijan"	0	0	0	0	0	0	4	0	654	2749	
"Belgium"	2933	2511	4158	5736	3027	3113	4641	2343	3309	2724	
"Bosnia and Herzegovina"	630	1598	7097	5479	1698	2133	1209	1177	1798	2327	
"Serbia"	196	67	677	308	296	339	531	681	724	1918	
"Türkiye"	45954	65750	91031	135464	133015	137816	148869	170266	140742	1879	
"Australia"	2343	1710	2297	2554	1118	1156	3150	867	999	1855	
"Bangladesh"	965	2351	520	2000	1774	928	832	1635	1828	1622	
"Area Nes"	0	0	0	24070	31119	32948	0	2356	0	1346	
"Syrian Arab Republic"	2197	193	0	199	0	0	159	140	506	1190	
"Albania"	267	72	79	0	0	0	215	108	11	1185	
"Belarus"	0	0	445	177	1218	1183	4021	2400	989	1153	
"Singapore"	8466	2965	3277	1728	512	205	856	788	337	1128	
"Russian Federation"	0	69	167	842	506	167	768	1223	944	1125	
"Hong Kong, China"	99	154	352	525	725	75	627	184	306	1080	
"Morocco"	1019	430	725	285	382	145	3149	683	285	1025	
"Ireland"	578	981	960	2038	1609	958	1027	1079	831	798	
"Macedonia, North"	100	57	113	46	0	0	489	425	556	751	
"Slovenia"	1430	2303	2675	3793	1312	899	947	940	1354	749	
"Croatia"	463	491	473	365	283	633	478	4990	441	733	
"Qatar"	603	111	0	0	37	199	0	0	0	586	
"Latvia"	794	588	290	573	423	407	528	464	509	568	
"Georgia"	0	0	0	0	0	0	0	7	14	532	
"South Africa"	71	631	171	0	839	971	1930	194	217	497	
"Colombia"	29	0	0	285	28	0	5	29	494	371	
"Ecuador"	0	0	0	0	0	0	0	0	0	330	
"Norway"	449	695	176	658	0	59	146	94	787	278	
"Estonia"	781	806	297	1446	2177	1161	431	452	202	270	
"Ghana"	0	0	267	0	0	0	0	0	0	143	
"Cambodia"	0	0	0	0	0	0	15	0	191	129	
"Guyana"	0	0	0	0	0	0	0	0	0	86	
"Aruba"	0	0	72	27	0	0	0	0	45	51	
"Cyprus"	3064	810	173	445	377	0	381	84	0	48	
"Costa Rica"	0	0	0	0	0	0	22	13	104	40	
"New Zealand"	584	63	108	357	186	0	522	90	654	37	
"Curaçao"	0	0	0	0	0	0	0	52	0	31	
"Peru"	0	0	0	0	0	0	0	21	0	29	
"Algeria"	0	0	0	0	0	0	0	0	0	23	
"Dominican Republic"	0	0	0	0	0	0	4	0	0	23	
"Nauru"	0	51	0	0	0	0	0	7	0	21	
"Uzbekistan"	0	0	0	0	0	0	0	55	89	17	
"Malta"	0	0	0	0	0	0	45	0	3	16	
"Sri Lanka"	0	0	0	62	63	0	31	6	41	12	
"Afghanistan"	0	0	0	0	0	0	0	0	0	11	
"Myanmar"	0	0	0	0	69	0	0	0	54	9	
"Dominica"	0	0	0	70	46	0	22	4	0	9	
"Nicaragua"	0	0	0	0	0	0	0	38	5	8	
"Luxembourg"	0	0	0	0	0	0	6	0	0	4	
"Samoa"	0	0	0	0	0	0	0	0	0	3	
"Turkmenistan"	0	0	0	0	0	0	0	15	0	2	
"Burundi"	0	0	0	0	0	0	0	40	0	2	
"Moldova, Republic of"	0	0	0	0	34	0	0	126	30	2	
"Saint Kitts and Nevis"	0	0	0	0	0	0	0	0	0	2	
"Tanzania, United Republic of"	0	0	0	53	0	0	0	0	0	2	
"Argentina"	44	43	110	196	0	0	35	10	0	1	
"Palestine, State of"	0	49	145	145	115	0	24	720	5	1	
"Honduras"	0	0	0	0	0	0	3	0	0	1	
"Maldives"	0	0	0	0	0	0	0	0	0	1	
"Mauritius"	0	0	0	0	0	0	0	0	0	1	
"Senegal"	0	0	0	0	0	0	0	19	13	1	
"Yemen"	307	101	0	0	0	0	5	0	0	1	
"British Virgin Islands"	0	0	0	0	0	0	0	0	15		
"Gibraltar"	0	0	0	0	41	0	0	0	0		
"Korea, Democratic People's Republic of"	198	140	0	124	0	0	0	0	0		
"Europe Othr. Nes"	3345	4255	7973	0	0	0	3498	0	1559		
"Northern Mariana Islands"	0	0	0	0	0	0	0	3	0		
"Marshall Islands"	0	0	0	0	0	0	0	7	0		
"Saint Helena"	0	0	0	0	0	0	0	6	0		
"United States Minor Outlying Islands"	0	0	0	118	0	0	0	0	0		
"Bahamas"	0	0	49	0	97	0	0	0	0		
"Armenia"	0	0	0	0	95	0	0	0	0		
"Bolivia, Plurinational State of"	0	0	0	0	0	0	0	0	6		
"Botswana"	0	0	0	248	0	0	0	0	0		
"Brunei Darussalam"	0	0	27	0	0	0	0	7	0		
"Cayman Islands"	0	0	0	29	0	0	0	0	0		
"Chile"	0	0	0	0	181	0	0	0	0		
"Ethiopia"	0	0	0	0	0	0	0	0	68		
"Gabon"	0	0	0	0	0	0	0	5	0		
"Gambia"	0	426	0	0	0	0	0	0	0		
"Greenland"	0	0	34	0	0	0	0	0	0		
"Iceland"	0	0	0	0	0	0	0	3	0		
"Iran, Islamic Republic of"	142	0	0	0	0	0	0	0	0		
"Iraq"	0	0	0	0	0	44	0	0	0		
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	3		
"Kazakhstan"	0	0	0	0	0	0	0	91	27		
"Kenya"	0	0	47	0	0	0	0	0	3		
"Kyrgyzstan"	0	0	0	0	0	0	0	989	0		
"Lesotho"	0	42	0	44	0	0	5	23	10		
"Liberia"	49	0	0	0	0	0	0	0	0		
"Macao, China"	0	60	0	0	0	0	53	5	14		
"Madagascar"	29	0	0	0	0	0	0	0	0		
"Malawi"	0	0	0	0	0	0	5	0	0		
"Mongolia"	169	70	0	29	0	96	18	121	63		
"Montenegro"	0	0	32	40	0	0	0	0	0		
"Namibia"	0	0	0	0	0	0	0	477	0		
"Nepal"	0	0	0	0	0	0	0	5	23		
"Vanuatu"	0	0	38	55	0	0	0	0	0		
"Niger"	0	0	0	0	0	0	3	0	0		
"Nigeria"	0	0	0	0	0	0	0	6	0		
"Paraguay"	0	0	0	0	0	0	0	0	5		
"Zimbabwe"	0	0	0	0	0	0	0	17	0		
"Suriname"	0	0	0	0	0	0	0	0	5		
"Eswatini"	0	0	0	0	0	0	0	71	0		
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	28		
"Uganda"	0	0	0	0	0	0	0	5	0		
"Uruguay"	0	0	0	0	0	0	9	0	0		
