Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	303213067	319671075	333456191	335582652	355992790	366231793	351073776	343401025	415442291	477145907	
"China"	120118587	129804433	135927010	131696596	150052430	155938401	128542370	114456405	134883233	145807696	
"Mexico"	57634169	58357706	63407362	61767542	61604912	63273931	63311054	59554748	70565125	79662031	
"Viet Nam"	2002727	3803999	8382770	10520183	11062596	11128021	21768384	27550847	36321435	46761173	
"Malaysia"	15012839	18112992	21614606	24617205	24725506	25524473	26186986	26357602	32070484	31089062	
"Taipei, Chinese"	14146178	14959127	14430283	14018608	14295890	14397154	16334576	18953818	23904421	29686073	
"Korea, Republic of"	14870217	15636707	14836266	16112372	15270642	14058110	14307967	14866636	19555082	23404432	
"Japan"	18691420	17588242	16866088	16403379	17487044	17989030	16905675	16426974	19476328	20585939	
"Thailand"	6412862	6892482	7530911	8118586	8562638	7991110	7763772	10173056	12376356	17231342	
"Germany"	7811579	8473452	8316917	7945851	8309847	8941462	8800861	8232070	9701646	11144522	
"Canada"	7968708	7976710	7583887	7395986	7581211	8006933	7887727	6589166	7505072	8888629	
"Philippines"	3496406	3699658	3893542	3889636	4183611	4570920	4575878	4510756	5667516	7154320	
"India"	1308823	1379414	1317448	1323356	1382449	1755159	2138402	2978284	3637233	6048732	
"Indonesia"	1624848	1769478	1655669	1694865	1517280	1282233	1490575	2206218	2532623	4533297	
"Israel"	1424953	1523720	2409934	2061803	1701869	1461070	1597404	1870557	2526957	3483107	
"Italy"	1691208	1687425	1761439	1791839	1956957	2041055	2081891	2290667	2899884	3353368	
"United Kingdom"	2588774	2689725	2679385	2567582	2586491	2950738	3225302	2795709	2875541	3244210	
"Singapore"	2687711	2480514	2592352	2344414	2297020	2844697	2466983	3043462	3043467	3054450	
"Ireland"	164552	200426	382716	2882125	2431598	1282674	1181953	829402	1902557	2824698	
"France"	1893543	2041361	2138052	2330550	2403025	2386307	2488508	1967090	2154481	2545580	
"Poland"	895084	1022886	1178135	1153498	1170591	1241299	1065569	1053561	1252898	1926919	
"Hungary"	684054	857107	842703	986470	1048626	1140681	1330230	1517865	1508042	1798380	
"Switzerland"	1135447	1249112	1310761	1301442	1294302	1311991	1410153	1277442	1518093	1635035	
"Czech Republic"	708018	736621	853446	862753	886131	899924	1176183	1225032	1388552	1559546	
"Spain"	462672	570306	614493	895702	1033389	1026115	1151297	1249722	1297292	1371533	
"Austria"	1155573	1236684	1293835	1136506	1472964	1480282	979631	818360	1000025	1336809	
"Cambodia"	2216	2780	5028	985	984	5458	42408	269923	496906	1284371	
"Costa Rica"	8064434	5762363	674644	374260	291521	319508	320100	305720	427202	1200365	
"Brazil"	540853	561630	493884	507996	550945	615218	691374	757140	933342	1029700	
"Dominican Republic"	489353	486137	500364	498199	527453	799589	863050	847902	887292	950883	
"Netherlands"	537193	629422	515875	584583	614665	744529	697945	769467	898483	921572	
"Honduras"	627281	577912	628632	581473	561581	598977	472747	411168	729019	906782	
"Romania"	307115	460183	423562	501794	566646	731425	595674	572193	740654	877569	
"Sweden"	936905	853497	812330	655408	612740	676906	730080	623420	673490	849436	
"Estonia"	224326	366058	285269	789896	332196	608139	588199	679159	1348006	695897	
"Nicaragua"	488131	482383	517237	581199	531342	510175	450680	338975	548511	666200	
"Denmark"	402382	632694	599219	565150	493382	493710	455324	546100	621880	626406	
"Belgium"	519509	484943	415306	446952	440123	443815	538181	453867	569112	586508	
"Hong Kong, China"	715948	799063	899236	901334	951428	1006962	465649	337966	387082	571375	
"Türkiye"	116389	134682	189397	136844	176869	289253	338595	329907	394891	544131	
"Australia"	225665	194736	217070	220803	233044	275835	313269	277741	375653	484869	
"Portugal"	188087	227824	235398	207370	255547	295437	306695	322872	386035	482501	
"Finland"	337142	354401	341155	263434	430654	495304	465885	386745	365500	435074	
"Slovakia"	161589	205474	212096	200384	207046	202116	218088	233742	297961	404191	
"Morocco"	115192	128572	125287	116998	118380	128297	110501	76760	226832	357357	
"Norway"	328621	212528	218822	151489	153477	188539	208096	244835	253842	248136	
"Slovenia"	116693	120892	96824	117968	116054	133411	139083	125344	190936	223004	
"Colombia"	31757	36634	38898	58308	57678	73483	96067	141108	146134	213506	
"Bulgaria"	39603	46295	51927	55430	62280	98150	108661	101877	145085	172697	
"Malta"	153905	110405	106587	102056	106592	113260	106406	91044	165646	170988	
"New Zealand"	101874	94702	112647	121882	121597	130779	130532	123003	153871	166385	
"Greece"	114622	120110	74490	63339	47232	56482	66053	73903	138190	162170	
"Tunisia"	92158	100916	100379	91097	116947	97669	104158	85323	109963	131986	
"United Arab Emirates"	46236	53842	69104	81757	138837	138701	128906	57941	83307	129761	
"Russian Federation"	61916	74679	69912	71608	75054	109587	113818	98833	131648	123082	
"Ukraine"	30044	32710	33918	39520	47512	60438	102472	90681	99364	119157	
"Croatia"	15020	19426	29399	34271	30218	41730	53786	65994	81380	118711	
"El Salvador"	30808	60312	59839	61731	64558	79328	76837	60576	89275	115522	
"Serbia"	24131	46241	36960	65603	22435	32316	78585	76067	72411	112659	
"Lithuania"	16990	21785	28665	32329	28577	32973	35811	50759	80603	102746	
"South Africa"	61326	66718	74290	89050	64531	74863	77841	58769	65071	93546	
"Latvia"	24502	27541	35930	38847	47893	44697	47817	59834	79886	80530	
"Venezuela, Bolivarian Republic of"	39718	43842	39079	38926	40491	41093	27383	17010	39485	70586	
"Ecuador"	13847	13325	10370	14268	22188	30708	45833	47190	52529	70313	
"Lao People's Democratic Republic"	0	0	3	11547	56224	82668	79092	46381	41137	40688	
"Chile"	8192	9120	8897	7341	9729	20152	19740	14186	21823	40031	
"Myanmar"	0	0	33	3345	25125	21118	37409	47707	33630	31505	
"Macedonia, North"	1294	2728	2152	2849	33409	34044	44351	29231	25607	29001	
"Sri Lanka"	12114	9737	12234	16375	22297	20586	19316	19012	21192	28903	
"Peru"	1669	1738	3827	1955	2620	4899	7424	10410	10161	27876	
"Kenya"	21882	1983	438	1604	743	23018	618	1174	1452	22066	
"Cyprus"	17861	29228	6434	24210	17098	33885	17474	12886	14989	18699	
"Saint Kitts and Nevis"	44560	44543	39939	33643	33115	32121	35390	33545	26887	17907	
"Pakistan"	3547	2242	2414	2338	3528	3124	4607	4063	6176	15384	
"Argentina"	10329	8936	6133	5044	5960	8159	12769	6984	9398	14905	
"Jordan"	415	1351	1377	6160	2680	5140	10732	3338	9007	13668	
"Brunei Darussalam"	80	138	39	225	390	369	171	113	1362	12916	
"Ethiopia"	514	509	1129	816	603	18873	45012	19291	11596	12791	
"Luxembourg"	5964	8603	5927	8390	9943	14284	13489	10707	10244	11919	
"Oman"	109	223	386	2655	3537	6955	9541	7382	9733	11317	
"Panama"	19026	9648	12239	12533	19641	13167	18091	12125	7890	10964	
"Bangladesh"	371	921	842	812	328	690	2246	985	3737	10848	
"Paraguay"	81	71	319	2029	8696	14517	14545	13002	10885	10271	
"Armenia"	1936	375	105	24	62	79	420	92	629	9900	
"Cayman Islands"	207	194	167	912	7349	9327	7644	8388	7008	8069	
"Saudi Arabia"	52364	69222	70561	73696	66744	21551	11709	6825	9838	7960	
"Bosnia and Herzegovina"	406	674	1225	678	1153	1353	6291	6649	8682	7689	
"Iceland"	3166	2320	4222	3243	5818	3399	4073	4087	4792	7211	
"Egypt"	2524	2823	3097	4135	4295	4179	6337	3034	3835	7007	
"Sierra Leone"	1214	982	1701	1929	1131	5327	1073	5374	4057	5737	
"Bolivia, Plurinational State of"	1512	450	404	2235	3141	7321	2659	1019	5902	5122	
"Andorra"	95	267	736	1056	665	190	814	235	1719	4540	
"Curaçao"	2845	1615	1201	461	845	1989	2930	3731	2542	4499	
"Lebanon"	389	512	173	405	351	451	549	385	1270	4325	
"Guatemala"	1732	1372	1702	1201	3881	4903	3780	3181	4739	3846	
"Georgia"	621	156	1564	864	643	711	974	797	1688	3504	
"Haiti"	2282	2304	3164	1817	1670	1853	2077	3006	2975	3399	
"Moldova, Republic of"	1433	604	76	59	265	4617	481	2971	4589	3129	
"Montenegro"	676	1239	145	451	319	496	1117	1053	3618	3125	
"Macao, China"	5110	4390	3392	4930	4509	7981	2879	1351	2707	2954	
"Saint Lucia"	11664	11346	13297	9158	7835	5744	4770	3715	2797	2791	
"Cameroon"	1895	3493	2374	5643	4295	7356	2595	1506	1887	2561	
"Kazakhstan"	139	129	104	587	131	911	372	264	333	2309	
"Lesotho"	568	481	443	785	1057	1835	2174	1727	2570	2268	
"French Polynesia"	84	75	105	43	58	83	194	59	128	1861	
"Jamaica"	920	1455	1034	1188	1356	1199	1034	858	1255	1765	
"Nigeria"	360	277	254	311	231	275	408	357	1111	1633	
"Nauru"	182	199	116	174	89	1273	2795	2869	1594	1581	
"Uruguay"	518	703	981	403	351	714	1428	134	648	1473	
"Suriname"	580	2392	6731	6007	4227	7098	2422	3263	4333	1425	
"Niue"	30	55	11	46	77	2	13	7		1393	
"Belarus"	418	496	548	758	387	743	789	877	1769	1205	
"Mali"	114	242	505	577	660	479	367	770	997	1187	
"Eswatini"	552	536	297	274	1174	850	291	229	640	1021	
"Palestine, State of"	0	3	0	0	60	79	216	131	831	935	
"Qatar"	1027	624	377	218	331	497	118	484	630	737	
"Mauritius"	2131	3393	782	3141	1139	1148	1497	10271	795	579	
"Albania"	336	195	2407	233	105	401	273	288	564	557	
"Belize"	172	121	312	321	180	302	271	287	1693	487	
"New Caledonia"	871	168	803	499	844	1092	257	154	207	479	
"Seychelles"	38	197	442	106	154	538	540	93	711	472	
"Pitcairn"	0	0	0	0	6	5	8	97	4	455	
"Niger"	484	276	252	174	211	770	138	144	497	420	
"Congo"	37	111	23	60	445	46	656	207	19	374	
"Bahamas"	2049	804	424	728	507	402	419	574	1652	353	
"Antigua and Barbuda"	43	41	0	190	509	252	155	169	153	345	
"Mozambique"	294	785	487	116	81	131	251	99	215	344	
"Mauritania"	38	114	27	57	42	10	113	74	34	340	
"Trinidad and Tobago"	1513	830	196	387	786	1638	223	272	321	339	
"Montserrat"	386	331	216	101	126	179	219	494	175	331	
"Saint Vincent and the Grenadines"	39	105	4	283	208	136	131	143	529	316	
"Guyana"	144	101	64	122	112	188	161	214	195	306	
"Mongolia"	318	160	425	761	191	92	208	248	342	296	
"Ghana"	42	485	42	338	169	559	89	91	86	283	
"Saint Helena"	137	78	508	203	214	218	176	936	49	280	
"Greenland"	0	0	3	2	0	22	8	0	45	274	
"Namibia"	979	545	518	797	1181	500	327	943	421	259	
"Christmas Island"	79	241	204	376	19	135	37	293	22	245	
"Algeria"	87	1562	855	78	134	166	230	226	159	236	
"Senegal"	145	178	85	114	238	343	209	368	158	228	
"Kyrgyzstan"	32	0	5	26	123	31	8	34	51	208	
"Fiji"	162	104	247	238	173	215	206	182	300	202	
"Cocos (Keeling) Islands"	49	538	647	650	50	199	227	113	555	196	
"Congo, Democratic Republic of the"	16	29	43	77	50	102	55	367	72	192	
"Sao Tome and Principe"	89	672	228	82	137	86	221	141	228	189	
"Barbados"	4913	5269	5535	4883	4597	5391	4389	4838	2765	186	
"Chad"	19	0	0	9	78	935	684	37	9	175	
"Botswana"	23	164	122	38	18	76	85	125	53	175	
"Rwanda"	13	0	5	21	250	64	24	113	129	170	
"Cabo Verde"	15	557	99	533	615	140	78	1082	214	167	
"Guinea"	105	113	330	245	153	183	486	755	205	158	
"Bahrain"	526	132	108	465	264	549	1361	514	161	157	
"Côte d'Ivoire"	670	230	1835	714	386	145	2	182	287	148	
"Gabon"	586	35	157	383	909	82	473	45	20	147	
"Iraq"	112	106	11	14	163	199	203	722	180	147	
"Tonga"	56	5	6	0	9	13	16	11		147	
"Gambia"	3	0	89	30	57	32	11	19	12	144	
"Uzbekistan"	15	26	48	441	221	23	13	8	39	144	
"Yemen"	9	0	11	0	7	0	72	0	19	143	
"Liberia"	40	49	330	12	50	7	655	73	94	142	
"Faroe Islands"	295	448	4046	745	600	93	475	128	142	140	
"Angola"	5	0	5	0	0	0	75	41	10	138	
"Marshall Islands"	332	549	0	490	809	529	382	233	2869	135	
"Afghanistan"	504	111	7	1309	850	647	905	1407	304	135	
"Madagascar"	52	29	59	608	45	39	76	7	14	127	
"Aruba"	50	162	226	83	52	280	59	24	52	112	
