Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Cook Islands"	80	456	205	396	292	417	70	84	179	108	
"Turks and Caicos Islands"	32	40	51	15	40	98	65	93	222	105	
"Timor-Leste"	56	20	114	80	166	136	171	150	772	104	
"Azerbaijan"	79	27	871	83	575	723	2506	756	480	90	
"Zambia"	26	6	6	13	11	41	13	4	78	90	
"Falkland Islands (Malvinas)"	9	14	23	0	8	19	0	5		86	
"Nepal"	99	73	105	12	29	162	41	84	395	85	
"Dominica"	34	25	53	176	38	78	167	96	180	84	
"Bermuda"	133	530	249	1826	1486	142	330	166	90	79	
"Kuwait"	151	623	892	1304	896	248	487	413	325	78	
"Uganda"	71	657	73	144	26	371	106	17	2	66	
"Comoros"	39	6	6	6	3	16	8	0		58	
"Papua New Guinea"	475	71	188	147	42	493	102	147	37	58	
"Equatorial Guinea"	13	10	13	0	46	3	22	0		55	
"Togo"	19	0	0	7	40	0	23	290	22	51	
"Burkina Faso"	27	85	159	24	9	3	87	8	81	50	
"Tanzania, United Republic of"	50	70	36	120	78	13	38	276	524	45	
"Grenada"	103	33	37	478	79	18	17	21	60	43	
"Djibouti"	0	4	0	56	88	182	343	112	13	42	
"Tajikistan"	16	33	0	39	17	94	84	133	32	39	
"Anguilla"	32	0	29	4	19	195	63	62	91	37	
"Solomon Islands"	0	0	0	17	31	13	234	15	4	36	
"Vanuatu"	0	29	22	1341	0	0	0	0		36	
"Syrian Arab Republic"	0	0	0	0	5	0	3	0	95	30	
"Micronesia, Federated States of"	40	0	260	13	21	49	50	178	352	29	
"Samoa"	88	114	146	26	173	43	52	0	70	25	
"French Southern and Antarctic Territories"	0	0	0	0	0	0	0	0		23	
"Tuvalu"	0	42	145	0	68	4	42	11	13	23	
"Bhutan"	68	0	2	3	3	0	6	227	17	22	
"Malawi"	5	0	0	128	140	87	41	71	9	19	
"Maldives"	21	85	44	48	298	385	31	75	8	17	
"British Virgin Islands"	809	270	444	395	259	206	80	165	269	15	
"Turkmenistan"	43	38	2	13	5	2	11	0	46	15	
"Eritrea"	3	32	0	16	33	6	14	7	13	15	
"British Indian Ocean Territory"	10226	5680	3765	2631	8239	3	295	13	14	13	
"Wallis and Futuna Islands"	295	21	4	37	10	0	4	700	8	13	
"Somalia"	3	0	0	2	34	206	63	79	33	9	
"Libya, State of"	0	0	0	3	6	61	112	40		9	
"Gibraltar"	0	8	84	0	8	21	23	3	4	6	
"Sint Maarten (Dutch part)"	126	31	0	0	0	0	0	0			
"Norfolk Island"	0	15	12	28	0	0	0	3	3		
"Saint Pierre and Miquelon"	4	0	0	3	4	10	29	7	14		
"South Sudan"	0	12	0	0	0	0	0	0			
"Western Sahara"	671	13	4	39	4	75	0	0			
"Tokelau"	0	23	0	0	287	2475	317	60			
"Burundi"	0	15	0	3	3	42	0	0			
"Central African Republic"	15	17	217	12	60	8	8	0	15		
"Mayotte"	2	0	0	0	0	0	0	0			
"Benin"	7	9	5	47	0	0	3	0	28		
"Kiribati"	0	5	13	26	2	11	0	15	4		
"Iran, Islamic Republic of"	0	0	0	0	0	0	4	0			
"Palau"	46	16	6	22	6	29	2	54			
"Guinea-Bissau"	0	0	0	0	0	0	0	116			
"Zimbabwe"	0	0	0	0	47	8	31	121	15		
"Sudan"	0	0	18	61	253	0	12	0			
