Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Belgium"	7863	17673	19807	33921	24607	5061	10916	81081	13126	19334	
"Poland"	8717	8276	10489	9234	18278	29879	22317	22704	14849	18988	
"Hungary"	5532	12687	11720	19664	11310	13767	38081	37456	21708	14862	
"Finland"	12556	17736	11289	11161	9573	7774	10758	11413	19073	14797	
"Thailand"	6390	9521	10010	11291	4899	6159	9247	11600	13344	14451	
"Czech Republic"	6843	13840	8573	14349	6984	10519	9715	13072	12424	12035	
"Area Nes"	0	0	0	53666	64466	57453	0	36924	0	10048	
"Romania"	1045	709	2308	2128	6607	1414	10961	10350	5232	6772	
"Dominican Republic"	648	1818	156	900	593	392	674	1030	4400	6428	
"Norway"	12473	7874	3612	3605	3122	3499	14941	4936	5857	5885	
"Oman"	55	92	219	383	312	293	3849	5266	4449	5809	
"Ukraine"	122	0	297	91	120	430	546	1838	755	5483	
"New Zealand"	7065	4983	4653	4013	4286	2569	2873	4646	17370	5205	
"Indonesia"	8257	749	5677	5857	4592	4983	5895	5952	3575	4508	
"Dominica"	3459	4594	6096	3733	2450	10628	18110	11306	4210	4189	
"Bahrain"	5011	5813	4258	6178	4621	2251	2771	3269	2479	3850	
"Slovenia"	13923	8422	4145	10388	10945	7849	3111	4696	2504	3390	
"Pakistan"	859	1162	1971	1245	459	673	1244	1549	1667	2996	
"Russian Federation"	701	163	2250	2517	2188	22457	1757	4143	2147	2875	
"South Africa"	1614	3153	4029	1987	2226	1825	2550	1271	1473	2794	
"Slovakia"	8412	9777	1741	2827	7334	6348	6234	8878	1580	2705	
"Philippines"	3166	4983	3376	2811	3582	4535	4718	5484	4031	2504	
"Brazil"	1093	1154	2158	504	1977	29718	2090	2530	2049	2464	
"Serbia"	414	1127	985	1862	0	2161	3203	4194	3527	2295	
"Greece"	646	7405	2489	7130	1759	1325	1486	1353	1158	2235	
"Hong Kong, China"	103	193	161	418	157	9892	3060	1185	1424	2152	
"Bulgaria"	139	271	236	214	376	619	762	937	952	2058	
"Egypt"	2391	2640	3696	2204	2235	8791	2597	2776	1879	1564	
"Jordan"	0	92	392	585	710	574	823	1710	702	1502	
"Lithuania"	497	1320	1014	1056	592	482	852	2028	1941	1488	
"Belarus"	374	686	3146	358	546	357	398	1847	2893	1268	
"Portugal"	402	502	1234	413	897	820	1146	2459	1638	1264	
"Latvia"	183	44	30	0	274	29	477	248	865	1071	
"Bosnia and Herzegovina"	0	0	0	0	0	0	87	40	232	1044	
"Tunisia"	0	0	125	0	0	62	71	356	670	721	
"Estonia"	339	143	225	159	31	869	1017	1120	996	637	
"Luxembourg"	139	183	149	413	96	135	354	915	379	623	
"Bangladesh"	166	0	0	0	0	0	102	7	24	550	
"Andorra"	0	0	0	0	0	0	3	0	3	524	
"Malta"	425	353	539	643	431	345	791	339	84	451	
"Croatia"	0	121	259	379	55	0	67	1012	494	416	
"Türkiye"	15572	13458	12069	17622	10645	47083	19553	12106	7678	393	
"Kuwait"	111	45	157	107	35	47	463	539	415	356	
"Qatar"	0	611	1080	1416	921	356	0	0	0	338	
"Iceland"	489	159	277	465	299	622	801	342	11	331	
"Syrian Arab Republic"	0	0	0	0	0	0	4	4	10	287	
"Macedonia, North"	0	0	0	0	0	0	158	250	602	277	
"Lebanon"	194	790	844	332	0	165	1030	68	198	245	
"Morocco"	0	0	0	0	57	0	260	17	31	142	
"Cyprus"	366	0	1350	35	981	0	31	101	156	140	
"Georgia"	62	62	0	0	0	0	230	1507	12	140	
"Aruba"	0	94	28	0	1192	0	9	0	999	136	
"Argentina"	479	889	429	98	399	0	2014	4847	393	112	
"Guatemala"	0	0	61	0	0	0	4	18	24	103	
"Chile"	0	65	0	1083	90	0	9	94	3	86	
"Peru"	0	0	0	0	0	0	0	70	4	82	
"El Salvador"	0	0	0	0	0	0	0	27	0	70	
"Gabon"	327	0	0	0	0	0	0	0	11	48	
"Eswatini"	67	88	0	0	45	0	72	331	185	43	
"Trinidad and Tobago"	0	0	0	0	0	0	5	98	0	43	
"Colombia"	199	57	203	35	274	245	55	154	112	37	
"Nicaragua"	0	0	130	0	0	0	19	208	215	37	
"Mauritius"	0	0	0	0	0	0	0	0	30	30	
"Lesotho"	0	0	0	0	0	0	7	0	0	26	
"Cuba"	0	0	0	0	28	0	0	0	368	24	
"Nigeria"	312	0	0	0	0	0	0	0	18	21	
"Curaçao"	97	181	0	0	0	101	0	0	0	20	
"Barbados"	0	0	0	0	0	0	53	0	24	17	
"Cambodia"	0	103	121	0	0	71	195	61	0	17	
"Sri Lanka"	0	0	642	1931	179	0	196	83	53	15	
"Iraq"	0	0	0	72	0	0	11	4	24	15	
"Myanmar"	0	0	0	0	0	0	19	13	0	14	
"Madagascar"	0	0	0	0	0	0	3	0	13	11	
"Uruguay"	0	0	0	64	126	0	22	18	0	9	
"Chad"	0	0	0	0	0	33	0	0	0	8	
"Angola"	0	0	0	0	0	0	12	0	26	5	
"Cameroon"	0	0	0	0	0	0	0	0	0	5	
"British Virgin Islands"	0	0	0	0	0	0	0	0	0	4	
"Mauritania"	0	0	0	0	0	43	47	12	5	4	
"Albania"	0	0	0	0	0	0	0	0	0	3	
"Ecuador"	80	0	0	0	0	28	58	0	7	3	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	3	
"Lao People's Democratic Republic"	0	0	0	0	0	0	11	0	17	3	
"Mongolia"	0	0	0	0	0	0	22	0	4	3	
"Niger"	0	0	131	0	0	0	0	4	0	3	
"Uzbekistan"	0	0	0	0	34	0	0	27	0	3	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	0	0	0	10	3	
"Brunei Darussalam"	0	0	0	0	0	0	159	9	0	2	
"Kazakhstan"	0	0	0	29	0	0	9	27	25	2	
"Saint Vincent and the Grenadines"	0	0	36	0	0	0	0	102	0	2	
"Algeria"	0	0	0	0	0	36	11	0	0	1	
"Palau"	0	0	0	0	0	0	0	0	0	1	
"Suriname"	0	34	0	0	0	0	0	4	0	1	
"Tajikistan"	0	0	0	0	0	0	5	0	0	1	
"Yemen"	0	0	0	0	0	0	0	0	7	0	
"British Indian Ocean Territory"	0	0	0	0	0	0	0	13	0		
"Korea, Democratic People's Republic of"	298	376	290	721	138	244	235	26	25		
"Nauru"	0	0	104	0	0	0	0	21	14		
"Europe Othr. Nes"	27336	34445	26612	0	0	0	37424	0	8130		
"Saint Helena"	0	0	0	0	295	0	0	0	0		
"Tokelau"	0	0	0	0	0	0	0	0	21		
"Wallis and Futuna Islands"	172	0	0	0	0	0	0	0	0		
"Afghanistan"	0	0	0	0	0	0	0	0	511		
"Azerbaijan"	0	0	0	0	0	0	28	4	4		
"Armenia"	0	0	37	0	186	0	58	24	13		
"Bhutan"	0	0	0	0	0	0	13	0	0		
"Bolivia, Plurinational State of"	0	87	0	0	0	0	0	0	0		
"Botswana"	38	0	0	0	0	0	0	0	0		
"Cabo Verde"	0	0	0	0	0	0	0	3	0		
"Central African Republic"	45	0	105	0	0	0	0	0	0		
"Congo"	0	0	0	0	0	0	0	225	0		
"Congo, Democratic Republic of the"	0	0	0	0	0	0	0	47	0		
"Ethiopia"	0	0	0	0	0	0	149	0	65		
"Fiji"	38	0	0	0	0	0	28	57	118		
"Palestine, State of"	0	0	0	0	0	0	0	0	3		
"Greenland"	0	0	0	0	0	0	0	0	3		
"Guyana"	0	0	0	0	0	0	0	0	6		
"Honduras"	0	0	0	214	0	0	0	0	37		
"Iran, Islamic Republic of"	175	152	51	0	0	70	0	4	0		
"Jamaica"	0	0	0	0	0	0	0	8	68		
"Kenya"	0	0	0	65	0	0	7	7	0		
"Libya, State of"	0	0	281	0	0	0	0	7	0		
"Macao, China"	0	0	0	0	0	0	6	0	0		
"Maldives"	0	0	0	0	0	0	26	39	49		
"Moldova, Republic of"	0	0	259	0	0	0	0	0	0		
"Montserrat"	0	0	102	0	0	0	0	0	0		
"Mozambique"	0	0	0	0	0	0	0	0	3		
"Namibia"	0	0	0	0	0	0	27	0	0		
"Vanuatu"	0	0	0	0	0	0	0	0	20		
"Panama"	0	0	0	0	0	0	0	0	45		
"Paraguay"	0	0	0	0	0	0	0	132	0		
"Saint Lucia"	0	0	0	0	0	0	0	0	35		
"Seychelles"	41	28	0	93	47	0	4	0	0		
"Sudan"	0	326	0	0	0	0	0	0	0		
"Tanzania, United Republic of"	0	0	0	0	0	243	0	0	0		
"Samoa"	0	0	954	111	0	0	0	0	0		
