Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	3193364	3654825	4057833	3698645	2873505	2901065	3565365	3765254	3742324	3628842	
"United States of America"	1070872	1200168	1340566	1152032	1019650	886092	1071274	1083676	845502	896007	
"Germany"	546909	553481	604335	536180	351126	384988	488732	464815	440356	455646	
"China"	225653	217111	283926	254216	185729	190863	245396	300353	850431	380691	
"France"	184572	237628	225924	252865	91726	104588	110820	176756	135095	173529	
"Mexico"	52476	82663	93067	107456	81380	100681	123043	171590	151430	171564	
"Italy"	131757	147534	169724	121130	97650	101377	133526	144350	138535	157454	
"United Kingdom"	168296	173151	221612	154353	114433	117119	152004	173234	120781	154361	
"Japan"	148106	171200	181693	151999	116216	128601	150504	174827	132647	130740	
"Ireland"	48869	60541	73593	75978	53856	69010	76717	96832	95922	119728	
"United Arab Emirates"	14575	19536	32003	47200	62646	85259	183612	63831	50558	117590	
"Switzerland"	108349	135809	159933	147563	76710	74715	100281	101662	97242	113679	
"Netherlands"	52160	57211	67410	53374	49562	54916	68278	70743	50121	76630	
"Korea, Republic of"	61889	97144	82642	100161	54303	52072	65988	58839	56138	69709	
"Singapore"	32886	63993	83005	51348	69621	42152	53488	58275	75575	65323	
"Canada"	24313	36638	38100	37372	23360	28325	32689	39162	22672	48343	
"Spain"	21457	13904	23632	32854	48000	35079	36302	26978	24137	45981	
"Sweden"	25851	34014	41474	35757	16973	22218	39165	33325	73985	36380	
"India"	22598	26348	32641	33299	29476	28067	42311	49120	39112	35830	
"Costa Rica"	5807	10754	12300	11381	9581	12460	16762	22213	19804	32325	
"Taipei, Chinese"	16575	19971	25807	26021	15885	14233	19369	18280	22328	28709	
"Austria"	19917	27053	34059	19126	17078	16422	14221	22289	20685	26256	
"Viet Nam"	1871	1524	3976	4498	8559	6085	11535	14006	16126	24057	
"Denmark"	13382	15832	11673	17787	10736	11349	15652	17141	17917	23845	
"Malaysia"	18377	26450	24315	24205	44124	20776	36962	28863	27496	23682	
"Australia"	7326	22857	10560	7709	5464	7292	12510	18415	18709	22820	
