Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	1130065	1556413	2714594	5310354	5567005	8374232	10772430	8462675	10701340	12945475	13739630	10118914	11293135	11693203	8713203	9954351	12039816	11800163	7550874	11679976	
"Korea, Republic of"	72789	95663	196936	326371	567278	791788	1155810	1079121	1310099	1660294	1658864	1469276	1691914	1831484	1567078	2075361	2543233	2510552	1522495	2452355	
"China"	8568	16006	63141	263791	499840	1464749	1741572	693553	2142633	1993604	1694319	1044064	2262416	2417862	1647465	1630585	1372564	1261533	835082	1178122	
"Japan"	121906	137923	189082	254338	361761	495517	746993	684606	988100	1205259	1381632	1538628	1300899	1591943	974918	1167295	1259108	1154748	645632	978789	
"Indonesia"	3718	3646	13954	49951	76742	73687	41875	32704	41581	38122	33501	33508	83596	222985	203709	288282	457775	815176	248916	928794	
"United Arab Emirates"	45362	75907	121274	135392	160004	202653	354788	214072	321271	458003	577815	462865	588528	459041	294576	376548	700676	615852	386331	794509	
"Singapore"	26880	39659	55596	65365	65729	88364	96713	68203	103492	126107	147690	112257	196261	248299	172482	172448	411737	444808	288061	473522	
"United States of America"	84137	71423	160943	298020	358237	570414	665615	703407	603359	764118	816261	463967	329716	501076	431948	458586	507128	522104	395916	466840	
"Malaysia"	5513	7853	22213	51225	104448	192396	152232	82295	152554	181285	230992	202506	256741	270316	170612	259387	336062	326353	253106	298612	
"Germany"	74390	147053	188210	292182	256385	443160	627273	516054	434306	518700	702633	490806	310195	298993	244882	209243	320016	293685	186624	282032	
"Taipei, Chinese"	4997	11412	27780	50679	86254	144531	171064	110548	148854	200107	180819	175963	175829	172228	139670	197808	249689	184488	141347	244963	
"Netherlands"	17501	19793	19677	97816	164255	260877	160936	136305	256583	291244	323463	192240	201317	135455	83489	119936	196811	210250	140388	240079	
"Bhutan"	7741	15460	16424	28209	24584	40333	75303	88367	120215	130077	114222	98689	86615	93552	82995	111351	157551	155490	128894	230091	
"Belgium"	31716	51653	84064	139359	155897	261555	320132	266646	190555	270163	297578	141136	166284	147176	122920	100560	223661	278082	215062	216730	
"United Kingdom"	122732	151413	162334	351486	204853	182498	486668	471188	463247	584482	763706	461953	460567	422976	310127	231650	352727	375922	226844	198198	
"Viet Nam"	0	0	653	3606	7345	9311	14076	2462	27490	103758	50588	45711	56459	40472	48813	200813	241482	111089	117185	187285	
"Sweden"	19899	41892	48003	88866	107311	152953	187562	107875	156663	211590	195110	141577	155103	100011	94434	116300	152196	137011	107911	175098	
"France"	41698	39123	51607	86673	77272	107182	212674	222277	179765	179410	293964	171107	215902	128827	150053	168821	124044	117545	120909	163690	
"Thailand"	17926	21485	39370	84656	88015	302261	195271	75460	78263	114632	111717	114392	149103	150528	136896	119145	195577	145192	109055	163157	
