Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Canada"	10559	14614	29897	51022	34693	49723	57460	87570	50170	67165	99285	76185	47148	51009	61773	65721	131609	154797	105783	139041	
"Russian Federation"	96620	142684	336971	565507	445985	533701	532426	523884	547370	485710	676453	267726	243341	358414	245685	223648	172106	148350	83983	133507	
"Italy"	10427	12820	41886	44168	65168	87285	119665	109448	125920	171097	128886	62214	85888	90672	65273	66177	114535	134837	106302	119590	
"Brazil"	9338	9540	13445	32444	105583	79811	80720	226128	238672	301404	304730	149176	187413	263870	202643	198066	123642	100170	104883	105115	
"Hong Kong, China"	821	978	1978	1428	4640	6874	12465	3755	9228	10815	7826	7943	5535	14500	41356	65258	141530	109423	53018	97144	
"Australia"	18542	20923	35101	68960	62917	54122	51197	40240	52676	81178	78844	95914	146887	132485	84448	102886	116183	99658	97371	95844	
"South Africa"	28259	33498	65507	198620	147014	155309	263668	192989	241600	394402	612436	492130	492682	441753	166010	179339	233769	222606	131573	92443	
"Türkiye"	4237	2585	19382	50438	10825	39817	76273	96566	24248	26081	55384	17599	49379	22353	49760	76191	75475	57882	64048	83271	
"Saudi Arabia"	6516	3243	9840	21617	53162	107673	181778	65106	88981	157290	102191	87682	45128	30769	30588	42540	39229	40994	45716	75993	
"Kuwait"	12438	22654	28705	52750	54550	68269	84422	29598	49146	73061	93122	56466	61848	22573	14504	26225	52628	42824	39382	61319	
"Switzerland"	13370	4235	2841	6544	11982	6897	10721	6798	7609	11307	9710	6086	7253	8223	9883	10389	60896	50044	32876	60946	
"Oman"	1430	809	2688	11794	6767	3729	9584	11791	12452	207730	397996	158709	52945	50067	28005	17262	28486	26883	26945	50626	
"Yemen"	2358	4850	3889	646	363	365	77	0	0	0	15	557	0	50	0	0	0	388	1405	47916	
"Bangladesh"	27	67	245	469	4690	6031	4956	4087	14349	15250	16440	10409	12019	8558	11695	20072	22388	26360	22226	46909	
"Bahrain"	5300	6224	7241	16029	13578	16770	25038	20134	41286	51156	51273	36684	45882	30366	18001	21180	34989	29147	34006	46459	
"Poland"	1074	921	3617	14913	13875	14700	31056	46675	50009	83533	94162	70934	76227	34021	46237	30240	35133	43214	28048	45850	
"Venezuela, Bolivarian Republic of"	96	268	853	2193	31085	932	782	14841	10433	5183	3269	295	50801	14349	62	14	631	6530	13481	39627	
"Spain"	22106	26597	35374	74300	59711	121638	94298	114151	111785	111290	114179	58406	46809	51558	29937	35392	33679	39659	25081	36975	
"New Zealand"	342	375	1002	1520	4165	4673	9259	16645	13099	13390	27865	24047	20154	31396	24595	26604	25614	33068	33914	31423	
"Albania"	0	0	0	0	0	0	0	0	0	0	2030	0	354	10584	7405	35313	12919	59920	3689	27616	
"Mozambique"	35	158	2967	10395	8936	6642	13286	2474	4531	7604	12628	13392	8098	8132	4131	9154	17035	18955	13545	26588	
"Denmark"	5637	2609	13031	29446	15927	14483	22364	15295	24131	23379	32683	23071	31036	22891	22998	20133	21701	19787	21743	26109	
"Slovenia"	1897	3061	1613	2510	6067	11325	14933	15413	17812	17216	21443	23582	21291	19355	24152	19066	35598	37059	25661	23944	
"Mexico"	1116	1490	2937	6363	6617	26397	287049	20784	49242	82123	38555	27713	25158	27353	13672	15712	23815	29250	39746	23092	
"Israel"	207	230	896	3142	2690	3010	8438	3380	1170	3816	2599	3280	5034	4318	5269	10158	11812	13876	15321	22530	
"Norway"	3057	6706	11198	15713	9138	20523	32799	13742	24878	27831	24963	32317	23666	24139	22924	25121	23010	25270	18646	22108	
"Finland"	670	3014	4835	10492	5778	39181	65418	54097	62853	82903	54887	46837	40149	36568	22701	28075	29795	24970	20401	21141	
"Senegal"	163	411	962	3435	5541	6367	22217	8288	15508	23871	20052	6672	16008	21603	12792	22777	28697	19437	12278	20213	
"Mauritius"	2356	2803	3061	3947	6322	5960	10144	3424	6119	8158	9754	7864	6444	5181	3198	727	923	1800	8603	19992	
"Philippines"	5691	3036	16334	13118	21977	33256	15373	4698	3491	5917	6321	7585	4083	2849	7743	13065	24881	17751	9064	17642	
"Greece"	290	136	283	6973	2837	5500	18943	8600	27111	33298	35841	40302	63880	47191	6862	15309	12082	14799	12039	15587	
"Dominican Republic"	0	787	2898	1335	1333	1482	8886	2849	1149	1804	1547	4613	1417	1865	33705	42202	19900	6916	9963	15245	
"Ukraine"	69159	131450	132170	475627	331522	288463	337953	465102	450942	487234	275607	232587	191094	132601	36712	60874	94468	68418	17331	14889	
"Honduras"	0	0	203	0	93	199	2742	2132	1034	3539	11068	20039	22152	15741	5925	7304	6233	17407	5828	13494	
"Austria"	10439	9050	23802	20160	34698	30650	88638	36255	62445	161076	65426	60551	50906	85209	162638	47689	36217	26789	15352	12959	
"Qatar"	43	2139	4716	3255	1758	3156	12756	35591	19659	21775	13149	4500	5010	3203	3701	6172	11341	14332	5999	12929	
"Chile"	215	85	248	902	1417	776	13481	3853	4466	2450	8101	6968	5551	13645	21079	16300	16878	20704	14070	12524	
"Czech Republic"	22	129	932	1167	4430	3791	6487	10217	14615	9470	10504	4503	3925	5447	8059	5539	4532	7004	8215	12267	
"Peru"	0	91	289	249	1048	718	305	623	279	435	384	120	53	167	242	955	3198	3841	2189	11279	
"Colombia"	726	218	1163	1361	52426	88425	12146	7720	11585	9142	18722	33269	19840	7176	33728	33774	6233	5171	4863	11194	
"Morocco"	50	217	3957	2015	2051	4546	3799	2700	5793	4163	2380	1306	3224	2431	1998	4531	6132	6306	4348	11130	
"Egypt"	1532	1880	20990	89904	12106	20843	16740	15852	6419	12282	18378	14218	10650	3013	3511	7908	2517	6908	6587	10137	
"Maldives"	100	231	300	953	1122	1503	2316	1434	2201	2789	3987	2343	2954	1903	1517	2156	2569	4140	4647	9992	
"Jordan"	284	690	10648	14538	2872	3682	2075	2723	1065	2009	409	1029	2802	1397	1482	4356	4261	3947	2761	9735	
"Sierra Leone"	104	1044	2156	2809	645	2663	6647	2607	3889	1882	3415	2740	5262	8373	4273	7970	5971	8738	6924	9229	
"Equatorial Guinea"	0	2	13	18	158	0	36	72	88	410	4179	3268	2249	2015	975	1747	3276	7431	7120	8687	
"Somalia"	358	768	2512	7254	4182	529	0	0	14	0	13	7	0	92	0	0	213	21	373	8458	
"Namibia"	57	35	34	490	1101	484	198	477	473	2109	6119	9901	5449	8916	4507	2183	3409	4123	6999	7338	
"Paraguay"	0	0	0	0	71	0	0	81	97	0	716	1543	1450	4964	4176	5622	12679	16624	10336	7084	
"Nepal"	22948	28206	44323	29413	21790	56684	110349	72517	91854	90113	24035	34283	60732	40424	26640	31552	36580	30277	13366	6773	
"Lebanon"	30	343	3932	5590	155	483	1383	852	717	3884	1386	2104	1417	871	1165	2185	2631	5126	3253	6541	
"Luxembourg"	1036	939	1591	3068	2246	1607	486	1125	6888	3207	5456	1161	2418	5997	1223	2240	2593	1424	2254	5946	
"Congo"	0	681	6169	19005	5722	4990	5440	5373	8600	17769	12335	11311	734	1045	161	7852	17269	11719	932	5566	
"Panama"	625	1441	7824	9677	5614	5795	3505	3946	778	1099	154	71	139	608	357	83	946	3410	1342	5358	
"Ireland"	23	201	369	740	1568	2236	2014	1115	3937	11227	14212	8562	5589	8065	3806	3166	2514	4792	5715	5352	
"New Caledonia"	1564	6410	9002	7088	15823	11053	13851	2284	6446	7825	22746	30698	23930	32095	41219	12205	23	0	0	5237	
"Ghana"	692	865	1066	5894	3788	4828	20844	8186	14123	21634	22500	8864	12778	4711	3372	3886	9171	8012	3396	4982	
"Gambia"	42	13	505	1022	884	1340	2112	798	148	247	362	564	649	2077	1473	3449	4326	4391	3605	4948	
"Costa Rica"	0	119	1893	1483	412	5152	723	2072	767	1051	875	480	364	1275	12	503	990	2345	3066	4779	
"Bulgaria"	0	23	145	733	5837	2696	1478	917	458	1491	1848	1136	3250	2283	2371	6463	8789	10373	6413	4461	
"Portugal"	0	0	93	1064	317	453	476	191	796	972	768	474	4268	2926	2780	4871	3068	4974	1726	4347	
"Romania"	13950	27549	71447	174853	120199	197765	148524	136297	65175	39765	20687	22608	15300	5950	4832	6452	5352	3547	2620	4149	
"Kenya"	609	904	2799	3320	3847	3581	7107	2452	6873	5695	3798	451	1212	1436	673	1346	2377	1294	1444	3566	
"Guinea"	469	1313	5239	16187	9965	10253	18020	5894	9474	17080	14340	10736	11876	10156	5986	10201	14843	14181	1776	3416	
"Myanmar"	49	109	78	295	0	0	0	126	0	2068	4020	10	0	0	0	13236	8809	1090	1438	3171	
"Kazakhstan"	3399	2871	7739	13713	9460	10516	32409	72968	28623	5793	11503	12155	13559	8361	24029	17936	2665	1657	3860	3100	
"Lithuania"	0	0	124	12636	2151	334	2212	3648	2590	7427	4814	2834	2980	1325	1024	1087	2135	1177	446	2842	
"Libya, State of"	0	0	31	0	23569	0	0	9256	0	101	0	167	806	108	866	2971	3028	1688	2511	2693	
"Sri Lanka"	3531	6282	16867	13766	6136	3583	4289	2017	2837	6545	6399	2452	842	689	5310	6946	12130	3785	2673	2613	
"Mauritania"	25	14	1038	667	400	382	4342	1608	785	126	3468	5318	9309	8774	2299	409	3428	3409	627	2570	
"Latvia"	0	31	15	391	1546	1810	166	1939	12908	44760	37020	21089	8353	7399	5901	4881	9854	11783	3257	2558	
"Togo"	0	586	5880	14110	9961	9311	26481	7162	7817	10419	21293	22349	22926	35591	14623	30785	51161	38744	2265	2544	
"Cabo Verde"	0	0	0	0	8	0	324	110	421	1937	2118	3000	1794	1928	588	1106	1124	1317	1185	2520	
"Ecuador"	0	214	2017	5594	2446	2249	1029	874	1022	278	748	476	13	598	399	289	1151	2989	1164	2499	
"Tanzania, United Republic of"	1024	3964	2914	2976	4750	4681	8281	4048	8790	19212	17724	7286	8430	6487	3516	5851	9502	3701	1434	2153	
"Area Nes"	2584	2224	10812	61057	42217	45283	43863	29437	22021	74001	10823	2065	1220	647	1176	4830	3559	2331	1893	2011	
"Cyprus"	29	23	140	899	204	355	328	1456	1849	3545	4480	3746	2750	1077	49	1147	756	1400	1478	1816	
"Nigeria"	7123	20725	11764	1382	4376	2615	1870	317	1198	3898	2116	749	1541	2614	348	368	788	1566	1115	1754	
"Trinidad and Tobago"	45	607	17017	1187	892	910	4304	1442	1123	1744	1651	7312	402	3835	2641	2450	3981	4168	1623	1702	
"Guatemala"	0	0	37	59	32	93	584	222	1288	884	251	440	85	88	102	0	122	273	564	1543	
"Estonia"	0	0	3	2295	3083	1920	1241	1161	399	3862	11874	7275	5331	5031	1303	2556	3877	3477	1790	1399	
"Tunisia"	43	787	135	115	1199	2662	4083	580	1627	849	1258	38	293	24	45	656	1375	1772	828	1356	
"Congo, Democratic Republic of the"	0	0	397	832	2007	2020	813	10	0	0	1515	2688	4502	2092	78	133	1029	494	363	1322	
"Seychelles"	59	29	414	329	284	797	1157	547	451	1218	1433	773	686	524	308	508	1029	1461	648	1249	
"Nicaragua"	47	193	7	0	0	84	482	39	0	0	0	0	0	0	0	0	0	484	854	1186	
"Suriname"	829	88	88	1346	222	233	763	905	77	9	259	74	0	34	6	314	598	874	182	1106	
"Curaçao"	0	0	0	0	0	0	0	0	0	3560	285	177	934	385	444	125	240	1053	933	1045	
"Angola"	0	0	661	2460	2392	2019	5187	2991	11640	50117	52796	43203	48745	13963	18	369	631	591	1567	949	
"Comoros"	29	0	0	163	88	86	30	0	167	901	1247	876	773	270	71	298	525	575	354	835	
"Slovakia"	64	865	3070	10837	599	15328	634	641	903	1058	2316	2009	1879	1761	616	894	354	777	203	667	
"Argentina"	818	18	67	1396	970	4805	3621	3851	9869	12480	7037	3995	1584	641	1147	1234	945	1299	83	640	
"Malta"	0	0	60	139	96	80	1163	881	584	2486	4765	753	853	386	398	673	405	370	465	545	
"Iran, Islamic Republic of"	5820	7511	48763	152120	140778	90188	9230	48916	36896	2842	77656	74038	34390	247	22111	18262	1205	15065	357	527	
"Papua New Guinea"	0	0	446	596	2283	1540	1728	581	456	706	1373	1901	0	24	0	0	9	235	403	481	
"Georgia"	12	552	8822	12975	2474	617	5840	4240	9197	26475	26247	5707	503	604	541	401	426	3328	598	394	
"Eswatini"	0	0	0	0	13	5	3421	34	168	149	3	24	141	160	52	0	0	59	397	377	
"Uruguay"	0	1	0	0	0	0	0	21	0	3722	105	1322	433	1280	1093	1220	1231	1158	762	365	
"Brunei Darussalam"	0	0	5	23	14	0	82	0	0	101	291	66	0	0	0	0	0	208	195	297	
"Gabon"	110	245	2837	2405	2353	5729	8146	2906	2501	3679	5290	7480	2140	123	5	0	306	686	624	284	
"Hungary"	12	35	155	3350	1378	363	708	14080	3061	2330	19067	2060	209	113	106	262	234	253	338	261	
"Guinea-Bissau"	47	246	1075	257	142	625	1749	213	926	1359	508	103	289	357	6	421	814	594	117	254	
"Sudan"	0	0	0	0	0	0	0	0	0	0	9749	1807	292	181	126	103	84	216	57	251	
"Bolivia, Plurinational State of"	0	0	0	15	0	12	0	150	61	216	0	0	0	62	0	0	0	260	24	247	
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	6	0	0	64	182	
"Côte d'Ivoire"	1338	3320	7023	16193	6617	12054	18288	7110	6248	5961	10217	5843	708	582	339	274	1093	293	115	180	
"Guyana"	0	0	329	1640	733	1826	1600	765	470	23	4	0	0	244	0	125	292	788	214	171	
"Cuba"	0	0	2308	77	329	0	0	11	0	0	0	0	0	0	0	0	0	0	15	151	
"Croatia"	0	0	34	1331	170	455	1509	2146	1251	684	50	0	0	0	0	0	30	546	0	133	
"Lao People's Democratic Republic"	0	0	14	0	0	0	0	0	0	0	210	0	0	0	0	0	11	0	0	120	
"Bahamas"	0	0	0	105	124	0	617	186	484	229	46	242	98	59	31	29	328	4	5	119	
"Malawi"	0	0	11	8	109	0	0	34	542	568	279	43	0	0	0	0	136	291	823	119	
"Fiji"	0	0	58	684	355	224	280	720	318	583	84	10	0	0	126	31	163	245	88	113	
"Serbia"	0	0	0	0	2170	2880	11161	7682	1859	2717	0	0	0	7999	725	1060	1	0	96	112	
"El Salvador"	0	0	147	395	87	119	110	0	7	706	373	1815	2978	2306	169	498	164	22	189	109	
"Korea, Democratic People's Republic of"	529	784	0	821	7742	19212	27810	34	2657	5	0	996	1535	1093	1163	1476	229	47	166	103	
"Algeria"	0	133	2626	2278	878	1333	1076	212	132	110	0	0	0	0	0	0	8552	20	0	91	
"Saint Lucia"	0	0	0	0	0	0	141	41	130	172	342	231	22	182	59	117	167	107	91	67	
"Madagascar"	10	41	1500	9905	6957	7656	7895	4316	8610	16530	14980	372	0	448	30	70	20	18	0	66	
"Djibouti"	12	444	1334	1903	884	947	1978	986	311	1000	1507	1113	164	255	25	18	87	0	24	65	
"Bosnia and Herzegovina"	0	0	0	0	0	0	0	10	0	520	0	0	2	24	23	92	57	81	54	61	
"Cambodia"	0	0	27	0	22	0	88	29	0	0	0	0	0	0	0	0	0	0	0	57	
"Ethiopia"	94	39	199	244	268	277	120	6	6	56	213	17	0	0	0	0	0	0	0	56	
"Barbados"	0	0	0	0	0	0	9	131	35	0	23	0	0	0	0	0	110	68	0	53	
"Jamaica"	58	0	1524	1944	222	661	192	471	111	9	72	29	224	7	80	122	90	351	135	38	
"Dominica"	0	76	196	142	0	0	153	759	24	129	35	1187	0	0	654	0	0	22	3	36	
"Norfolk Island"	15	0	0	65	0	25	78	0	0	0	0	32	23	0	0	0	0	8	80	33	
"Haiti"	0	118	1151	62	17	1488	1370	366	98	109	0	38	610	1880	1408	294	751	1040	180	32	
"Solomon Islands"	0	0	0	0	0	2	495	171	0	0	916	0	0	0	0	0	0	0	0	28	
"Zambia"	148	136	312	6	0	0	92	0	164	195	79	0	0	27	178	139	471	175	81	28	
"United States Minor Outlying Islands"	0	0	0	626	71	6	133	42	91	40	0	285	253	0	0	82	0	5	0	27	
"Benin"	129	522	7883	18605	6514	6315	23435	6788	10458	13556	17561	11750	5150	13140	6469	8850	15862	6230	65	24	
"Aruba"	0	0	18	0	0	0	0	0	0	24	148	34	0	67	0	0	0	0	0	24	
"Antigua and Barbuda"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	
"Botswana"	6	28	0	6	0	0	0	0	9	0	30	0	12	58	3	3	0	25	28	17	
"British Virgin Islands"	0	0	0	33	0	4	0	47	0	0	0	0	0	0	0	0	38	0	16		
"Chad"	0	0	0	0	0	0	0	0	0	0	0	2450	0	0	0	0	0	0	0		
"Christmas Island"	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0		
"French Southern and Antarctic Territories"	0	0	0	0	0	0	40	0	0	0	0	0	0	28	0	0	0	0	0		
"Gibraltar"	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	51		
"Nauru"	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Northern Mariana Islands"	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	289		
"Saint Helena"	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0		
"Saint Pierre and Miquelon"	0	0	0	3443	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Turkmenistan"	22	0	53	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0		
"Afghanistan"	17	14	121	167	0	0	0	0	0	119	0	0	0	0	0	0	24	50	0		
"Andorra"	0	0	0	0	0	0	0	0	0	0	18	0	0	0	60	0	0	0	0		
"Azerbaijan"	0	0	42	0	133	0	45	0	0	0	0	0	0	0	0	0	0	0	0		
"Armenia"	0	22	317	1628	630	261	890	499	129	1083	405	11	545	0	0	61	129	825	0		
"Bermuda"	0	0	0	0	529	0	25	108	0	0	0	0	0	0	0	0	0	0	0		
"Belize"	0	0	0	0	0	0	8	0	0	0	0	0	43	125	0	0	0	118	131		
"Burundi"	0	16	3	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0		
"Belarus"	0	0	1464	13046	2476	2671	5240	12146	911	9	155	43	73	550	1204	971	981	110	0		
"Cameroon"	0	1064	4977	5229	2002	6735	21850	6954	2423	3434	705	584	195	174	89	187	266	567	40		
"Central African Republic"	0	81	185	200	61	159	180	36	76	455	63	100	0	0	0	40	56	0	0		
"Eritrea"	0	58	123	418	13	193	423	76	462	1371	0	0	81	137	0	0	0	0	0		
"French Polynesia"	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0		
"Kiribati"	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0		
"Greenland"	0	0	0	0	0	0	0	0	0	0	0	0	0	38	103	0	0	0	6		
"Grenada"	0	0	15	0	52	0	0	7	39	0	0	0	0	0	0	3	5	56	0		
"Iceland"	91	2	51	89	453	57	0	4253	758	1719	157	43	0	0	243	1164	5663	3123	2035		
"Iraq"	23	0	41	279	0	0	0	0	747	122	1065	0	1	0	0	0	0	0	0		
"Kyrgyzstan"	19	16	0	8	45	0	628	0	0	0	525	0	0	0	0	0	0	0	0		
"Liberia"	1799	1112	4751	6381	6016	5310	10587	5207	3690	2077	2619	4175	2099	8869	2376	3903	3268	3422	100		
"Macao, China"	0	0	0	5	0	33	0	10	0	0	0	0	0	0	0	0	32	0	0		
"Mali"	0	99	95	22	237	413	41	0	176	0	43	56	401	81	246	240	20	0	14		
"Mongolia"	0	0	0	13	0	0	0	71	0	0	0	0	0	3	0	0	0	0	0		
"Moldova, Republic of"	0	32	29	207	0	0	0	1017	80	33	0	373	0	0	0	27	0	0	0		
"Montserrat"	0	0	0	0	43	0	0	0	0	0	0	3	0	0	0	0	0	47	0		
"Netherlands Antilles"	0	0	0	26	0	0	11	0	163	0	0	0	0	0	0	0	0	0	0		
"Niger"	1	11	157	0	418	0	0	0	0	0	0	0	75	0	0	0	0	0	91		
"Micronesia, Federated States of"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0		
"Palau"	0	0	0	0	0	0	21	5	0	0	0	0	0	0	0	0	0	0	0		
"Pakistan"	0	345	333	391	306	4250	2330	122	1816	3514	4781	2867	660	0	0	0	0	7	0		
"Timor-Leste"	0	0	0	0	18	0	55	0	0	341	0	60	364	1	0	0	0	0	0		
"Rwanda"	0	0	0	7	46	74	47	0	0	0	77	0	0	0	30	0	0	0	15		
"Saint Vincent and the Grenadines"	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Sao Tome and Principe"	0	0	0	0	0	0	0	50	0	0	248	0	0	0	0	0	0	0	0		
"Zimbabwe"	666	192	669	215	0	0	0	0	0	0	0	505	3347	1462	22	0	0	47	0		
"Sudan (before 2012)"	927	2705	6359	9453	9097	9390	30736	4686	32625	21482	0	0	0	0	0	0	0	0	0		
"Syrian Arab Republic"	0	0	339	56	0	0	161	77	0	69	77	0	0	0	0	0	0	0	0		
"Tajikistan"	0	0	0	0	0	0	17	0	57	0	0	449	143	0	38	0	0	0	0		
"Tonga"	0	6	0	106	113	0	0	0	0	0	74	11	0	0	0	0	40	0	0		
"Turks and Caicos Islands"	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
"Uganda"	0	0	25	3	3	724	1923	419	196	67	432	79	90	78	40	0	0	1	0		
"Macedonia, North"	890	0	0	762	0	206	535	24312	2520	4888	26913	25825	5519	7055	20259	31797	32843	20764	547		
"Burkina Faso"	41	38	168	53	28	1019	2480	0	0	0	25	0	0	0	0	0	0	0	0		
"Uzbekistan"	0	18	0	1	0	0	0	30	0	112	0	0	0	0	0	0	0	0	0		
"Samoa"	0	0	0	32	16	0	0	0	0	49	213	0	0	0	0	0	0	0	0		
"Serbia and Montenegro"	0	0	827	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
