Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	36226292	31945783	31193506	32065645	32514067	35989487	43347407	44479054	35201384	48414563	
"China"	10234001	9768293	9770035	10590699	10727511	12798898	13666050	13873013	12371502	18796332	
"Germany"	4481945	3818277	3642596	3540830	3500203	3760133	4486485	4071708	2941920	3862502	
"United States of America"	3067527	2770512	2846054	2976016	3969298	4115971	3946153	4383559	2801651	3230934	
"Singapore"	977367	981016	1093262	1187968	1109020	1109548	2340669	2758395	2242246	2979320	
"Japan"	3595516	2872709	2527080	2270900	2781905	2574235	3316443	3306825	2092267	2738913	
"Hong Kong, China"	159332	159687	164676	173596	116100	131640	1077784	1298916	1531022	2168135	
"Korea, Republic of"	2094664	1737217	1629355	1723203	1448570	1575531	2457652	2301725	1610133	1861636	
"Italy"	1887015	1632062	1564815	1495806	1448744	1621081	1783635	1750440	1324387	1697553	
"Thailand"	1313511	1239889	1335341	1390457	1171957	1306165	1393860	1318775	1018873	1478348	
"United Kingdom"	844506	701748	679057	699493	598011	681404	1122766	1187791	809902	1009498	
"Taipei, Chinese"	669985	583175	603096	585940	583759	710692	922320	988638	685914	993550	
"Malaysia"	891970	754780	703701	697350	504485	559659	757562	780891	640022	879540	
"France"	747420	533930	539714	490100	431056	539624	590946	776156	514853	775366	
"Netherlands"	337035	223184	264776	239222	179758	211670	404041	506234	431500	761970	
"Belgium"	337217	290553	287766	298531	248825	258174	585083	824507	492515	688916	
"Viet Nam"	131401	223798	194368	308937	340556	409814	351727	335015	363077	430121	
"United Arab Emirates"	270474	116550	104709	80987	63476	70491	285160	366487	310171	354506	
"Switzerland"	550592	480712	403955	451720	425147	382716	388645	342778	250048	326816	
"Türkiye"	111567	82752	117142	84209	105746	142739	282241	285352	293767	295940	
"Sweden"	369889	271738	250467	258002	256399	260446	254316	220653	224797	282382	
"Ireland"	71708	107183	118592	178528	108643	172758	116894	230422	134669	250962	
"Spain"	384375	386280	277888	250514	254511	225321	264287	267017	179031	218691	
"Indonesia"	114991	98829	154151	130657	129822	170260	169338	187498	146089	217287	
"Austria"	213880	212280	144759	151258	149445	167152	159057	124963	108608	170820	
"Czech Republic"	177933	194293	161231	164726	192349	223944	142063	101450	143590	158831	
"Denmark"	136665	109979	92701	78089	106235	134803	125556	134304	104193	138341	
"Canada"	167567	131252	128355	197638	151398	228783	203082	184886	124957	134514	
"Philippines"	96742	79729	65545	95635	93840	123756	134858	147756	82801	129593	
"Brazil"	91389	75869	67151	62755	68928	79532	161796	171939	80388	124248	
"Finland"	255196	132654	105330	96678	136460	150549	131810	114875	136102	116287	
"Romania"	49548	63168	67698	110230	107193	139971	163620	134149	80951	109643	
"South Africa"	75712	95330	141084	130529	149606	153817	133617	125051	76598	108621	
"Mexico"	90481	79323	98022	128820	146279	126226	174783	149039	141332	108589	
"Israel"	110837	118603	125680	120115	105329	89207	133401	103407	94510	105039	
"Russian Federation"	138143	84905	63409	67996	109996	114648	80198	69441	92215	79679	
"Poland"	84747	110137	95332	56849	61555	55686	64816	61648	66963	72200	
"Slovenia"	27445	34149	19961	9749	10876	12933	42639	66624	84575	63131	
"Slovakia"	20633	17562	23793	25546	35949	37569	23357	18905	10613	53856	
"Jordan"	1099	607	256	984	18	292	657	230	1287	46650	
"Hungary"	105936	87301	90013	84458	68147	60641	45822	24895	23880	44216	
"Australia"	86609	60673	53016	72253	51490	50530	86913	61062	38897	38748	
"Ukraine"	42284	19321	18792	10817	10081	14474	17399	23563	24641	27721	
"Croatia"	1660	3110	5272	17665	7766	9864	2104	31333	10732	25832	
"Bangladesh"	2733	1753	2277	5607	1367	5801	6476	9905	10494	25179	
"Luxembourg"	21895	19862	18924	42891	24074	22396	39815	22658	18285	19499	
"Saudi Arabia"	36500	8434	1046	2803	3133	6740	21005	29337	13758	19153	
"Sri Lanka"	36097	13955	8379	23421	22404	6279	52803	21828	23401	16936	
"Norway"	87179	50550	37750	18365	11905	33102	12008	14589	16698	16336	
"Portugal"	29809	20339	25080	16589	19412	14892	19122	22131	10880	15710	
"Kuwait"	2735	247	146	294	343	1367	11119	2652	19958	12933	
"Bulgaria"	6685	7362	15031	6557	13067	17240	17941	16176	8982	12473	
"Costa Rica"	138096	163454	120093	1979	625	562	1676	1121	8443	10899	
"Estonia"	6095	1211	301	2542	1957	2308	862	1847	19730	10501	
