Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Argentina"	10860	4632	4540	6673	1379	4319	5879	9093	6101	7876	
"New Zealand"	40954	11073	10782	5683	7231	9548	9951	6051	39847	7798	
"Qatar"	7271	533	1439	455	469	457	6014	15229	5113	7230	
"Malta"	1142	718	1782	968	4146	1931	3865	4542	2526	5615	
"Peru"	315	77	150	1780	65	715	2797	3919	2144	5269	
"Greece"	14866	6339	6409	7704	4064	6206	12297	5786	1415	5159	
"Oman"	9563	11418	38667	70337	69437	2084	4740	9483	6567	4704	
"Egypt"	4438	1607	567	2879	915	1214	5094	5539	4791	4296	
"Bahrain"	3319	295	1063	939	2405	961	4291	3619	2022	3655	
"Nepal"	741	2642	1234	2040	1440	2831	1165	2329	2179	3507	
"Bhutan"	0	0	0	0	0	755	845	2177	2029	3215	
"Korea, Democratic People's Republic of"	0	5483	16919	13546	15570	10790	344	87	684	3045	
"Mauritius"	620	628	105	1213	502	426	760	2339	1289	2580	
"Macedonia, North"	67	97	0	3	2	1	8	26	26	2552	
"Colombia"	1489	277	415	194	899	87	2495	2420	2035	2456	
"Curaçao"	889	499	1409	986	3802	1460	1686	836	1088	2417	
"Area Nes"	70556	42660	4340	8921	12412	43251	19000	3455	5742	2247	
"Latvia"	1079	2052	1172	768	750	1418	4513	1818	1076	1790	
"Lithuania"	957	1379	2223	1032	949	1130	1698	1253	657	1698	
"Tunisia"	594	78	361	253	552	981	1572	420	389	1680	
"Serbia"	163	237	5467	6429	3480	4131	7017	3604	2014	1427	
"Nigeria"	2030	101	1476	299	755	230	18140	717	935	1419	
"Cambodia"	79	28	63	24	80	113	104	193	479	1296	
"Cyprus"	3809	7225	3818	2334	2011	1547	5563	2244	1403	1250	
"Papua New Guinea"	0	89	24	33	0	0	61	0	55	1213	
"Kenya"	1398	635	514	99	214	151	1085	2671	746	1177	
"Mozambique"	267	0	1034	1246	26	0	586	2865	1144	1176	
"Chile"	3142	355	1010	626	3286	1203	1552	4660	1278	976	
"Belarus"	1116	1289	1648	1147	1501	1564	341	686	890	902	
"Eswatini"	5406	2236	4073	6114	2172	3703	1697	923	1045	831	
"Lebanon"	391	1567	945	367	380	206	741	1296	1204	741	
"Ecuador"	183	189	1099	220	8	75	355	765	337	738	
"Uruguay"	242	2	129	12	412	144	116	124	170	615	
"Guatemala"	1002	698	606	628	1	0	39	118	0	526	
"Myanmar"	8153	21	82	496	187	13	631	306	98	511	
"Panama"	1038	205	21	48	1	35	37	228	617	510	
"Brunei Darussalam"	81	0	27	8	122	723	418	483	791	406	
"Trinidad and Tobago"	48	0	0	25	547	607	558	4092	39	380	
"Macao, China"	447	29	0	6	10	56	111	3	46	348	
"El Salvador"	33	91	0	6	19	0	79	0	0	329	
"Morocco"	1207	104	112	2076	64	565	7695	545	236	323	
"Afghanistan"	2671	29	1	0	2	0	4	0	9	308	
"Paraguay"	396	6	1	0	0	13	69	139	0	279	
"Venezuela, Bolivarian Republic of"	74	84	28	148	0	51	97	244	30	260	
"Maldives"	52	1	4	66	153	590	750	48	302	182	
"Uganda"	278	6	16	479	91	141	74	192	47	151	
"Ghana"	886	134	43	20	72	3851	1133	125	3226	140	
"Georgia"	526	268	147	252	120	117	97	420	358	132	
"Honduras"	267	6	11	4	35	316	202	353	101	121	
"Senegal"	319	0	11	25	116	44	221	150	298	121	
"Bosnia and Herzegovina"	53	57	3140	2	88	198	124	80	36	114	
"Angola"	95	0	330	0	26	159	750	3286	896	108	
"Ethiopia"	1248	6	121	20	2	73	8	4844	39	103	
"Iraq"	401	1	6	479	72	194	123	41	98	99	
"Sierra Leone"	1	0	244	4	8	10	0	1	0	97	
"Norfolk Island"	26	85	0	9	0	76	0	77	0	95	
"Jamaica"	256	4	13	86	7	0	5	38	130	94	
"Dominican Republic"	396	56	38	11	2	141	153	15	132	88	
"Seychelles"	3	21	9	22	18	32	90	262	305	55	
"Tanzania, United Republic of"	625	48	166	165	194	155	435	417	164	53	
"Anguilla"	0	0	0	0	0	0	18	0	0	50	
"Gabon"	881	0	29	76	113	132	80	128	295	47	
"Sudan"	815	10	217	210	103	43	175	90	11	44	
"Cameroon"	2	116	19	8	1	1	371	11	11	43	
"Burundi"	2	0	0	0	6	50	0	23	2	40	
"Azerbaijan"	6	0	0	23	33	11	137	1226	208	37	
"Namibia"	65	25	7	41	10	0	712	212	12	37	
"United States Minor Outlying Islands"	55	29	28	132	15	227	153	186	27	35	
"Montenegro"	0	0	7	2	0	1	0	0	0	35	
"Zambia"	3	119	2	66	2	128	36	67	49	34	
"Antigua and Barbuda"	25	0	200	2	0	3	0	0	1	33	
"British Virgin Islands"	137	69	484	1	32	250	3091	167	18	28	
"Bolivia, Plurinational State of"	0	100	0	2	19	0	0	7	41	28	
"Kazakhstan"	1683	0	0	8	2	23	1162	39	50	26	
"Nicaragua"	16	0	0	0	0	2	0	1	0	25	
"Iran, Islamic Republic of"	6407	2715	524	1626	1611	759	1041	1100	17	23	
"Algeria"	71	0	0	18	103	22	16612	29	700	18	
"Chad"	0	7	4	97	0	34	0	0	0	14	
"Rwanda"	0	0	6	0	0	11	108	4	34	14	
"Gambia"	12	7	0	8	1	0	1	0	2	12	
"Congo, Democratic Republic of the"	0	0	0	0	0	170	194	30	0	11	
"Lao People's Democratic Republic"	358	0	0	3041	0	0	0	0	0	8	
"Armenia"	10	186	10	6	25	0	25	53	0	7	
"Iceland"	86	52	406	65	20	306	122	402	37	5	
"Fiji"	3	8	0	934	84	23	75	45	120	4	
"Mali"	71	1	0	0	137	0	24	1	0	4	
"Congo"	5	0	17	22	3	217	462	490	1	3	
"Grenada"	0	0	0	0	0	0	20	0	2	3	
"Côte d'Ivoire"	759	773	0	1	0	280	296	4	1	3	
"Moldova, Republic of"	26	18	79	52	82	57	7	2	0	3	
"Samoa"	0	11	0	60	0	0	76	8	22	3	
"Botswana"	0	0	43	8	0	4	0	3	0	2	
"Uzbekistan"	175	0	1	0	0	39	64	235	105	2	
"Guinea"	656	98	0	0	0	24	2	154	5	1	
"Liberia"	427	1	158	85	0	0	2	44	0	1	
"New Caledonia"	0	0	28	0	0	0	0	0	72	1	
"Djibouti"	8	0	0	0	297	0	0	134	0	0	
"Madagascar"	2701	0	0	13	11	0	0	0	0	0	
"Malawi"	549	156	8	16	114	2	627	314	249	0	
"Christmas Island"	0	59	0	41	0	5	0	0	0		
"Cocos (Keeling) Islands"	0	0	0	0	0	4	0	0	0		
"Equatorial Guinea"	2292	0	0	0	0	0	97	0	0		
"French Southern and Antarctic Territories"	0	0	0	0	0	0	20	0	0		
"Nauru"	0	11	0	0	0	14	160	42	0		
"Niue"	2	10	11	15	0	0	0	0	0		
"Northern Mariana Islands"	0	0	0	235	29	164	0	0	0		
"Marshall Islands"	816	0	0	0	0	0	0	118	1		
"Saint Helena"	0	22	0	0	0	22	2	10	11		
"Somalia"	963	0	78	0	0	0	0	0	0		
"South Sudan"	0	0	0	0	0	0	0	6	6		
"Tokelau"	63	1	2	0	0	0	0	0	8		
"Turkmenistan"	0	1	0	0	0	0	82	13	1		
"Wallis and Futuna Islands"	0	0	1028	233	0	11	0	0	0		
"Albania"	21	0	58	36	1	0	228	15	27		
"Andorra"	3	0	0	0	0	1	2	0	0		
"Bahamas"	0	46	0	16	2037	0	2045	0	0		
"Barbados"	0	0	100	0	0	0	0	0	0		
"Belize"	0	0	1	9	4	175	31	1	0		
"Solomon Islands"	0	0	0	21	0	0	68	0	68		
"Cabo Verde"	5	0	0	0	0	18	0	0	0		
"Cayman Islands"	0	0	0	0	0	0	33	42	69		
"Central African Republic"	0	17	0	0	0	0	0	0	0		
"Cook Islands"	0	0	3	0	0	0	0	0	34		
"Cuba"	13	0	0	0	0	0	0	13	0		
"Benin"	832	0	0	0	0	0	6	1	0		
"Dominica"	55	0	0	0	0	0	0	0	0		
"Eritrea"	0	0	0	0	0	0	0	0	0		
"Faroe Islands"	0	0	0	0	0	0	4	0	0		
"Guyana"	1	6	103	40	80	0	24	0	2728		
"Haiti"	18	0	4	0	0	25	0	276	0		
"Kyrgyzstan"	1176	0	0	0	44	0	0	0	0		
"Lesotho"	6	0	0	0	0	0	0	0	0		
"Libya, State of"	0	1	0	0	0	5	0	0	0		
"Mauritania"	6	0	0	15	0	0	0	1	1		
"Mongolia"	0	0	0	8	4	8	0	2	3		
"Montserrat"	0	0	0	0	0	0	0	8	0		
"Aruba"	0	0	0	0	745	0	0	0	0		
"Vanuatu"	0	0	0	0	0	0	0	0	16		
"Niger"	3	0	57	50	0	21	9	3	7		
"Palau"	0	0	0	0	0	46	14	0	0		
"Pakistan"	7692	265	505	218	296	295	4034	825	5		
"Guinea-Bissau"	165	0	0	0	0	0	0	0	0		
"Timor-Leste"	9	69	36	36	0	0	23	0	0		
"Saint Kitts and Nevis"	0	2	14	0	0	0	0	0	0		
"Saint Lucia"	0	0	0	0	0	0	0	211	0		
"Sao Tome and Principe"	20	0	13	3	0	0	0	0	25		
"Zimbabwe"	39	52	0	19	3	2	11	0	1		
"Suriname"	33	13	6	0	0	0	1	18	0		
"Syrian Arab Republic"	573	6	1	16	0	8	55	5	23		
"Tajikistan"	134	0	0	0	0	0	0	0	0		
"Togo"	91	0	4	0	0	0	4	0	0		
"Tonga"	0	10	0	0	0	0	7	0	0		
"Turks and Caicos Islands"	0	0	0	21	0	15	0	0	0		
"Tuvalu"	5	0	0	11	0	0	0	0	0		
"Burkina Faso"	3	0	1	22	0	0	0	1	25		
"Yemen"	374	5	126	45	0	3	47	4	0		
