Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Netherlands"	1225064	1410494	1497521	1519706	3053603	2589515	1778760	2352969	3897515	3339419	2779870	4742832	3551976	2809077	3575291	4445724	5163214	4224468	4073372	4122438	
"Austria"	830313	904582	1150856	1294095	1653365	1660633	1330472	1540667	2819126	2376907	2306964	3025508	3036544	2712860	2801075	3041823	3020496	2697050	3526836	4118077	
"Singapore"	7816691	7631780	6912386	6824925	6006983	5525247	4717864	5378425	5276938	4956936	3439532	2861779	3450577	3782875	4212595	4517817	4167022	3955434	3596050	3911461	
"Switzerland"	1529747	1792649	2015418	2157109	2061552	2362072	1699724	1948161	2461503	2453172	2468653	2711778	2740751	2629690	2802556	3033128	3119535	2813949	3263511	3530069	
"Philippines"	1950634	1325636	1281224	1183184	1186307	1084422	854179	964389	921926	1169511	1650046	2046984	1924517	1887612	3016101	3541733	3527729	2869223	3565603	3480810	
"Sweden"	1892355	2176538	2650507	2737534	2811164	2718883	1805524	2106380	2606330	2853021	2571023	2679945	2524527	2166025	2475738	2670919	2880546	2260581	2903110	3282776	
"Poland"	223025	322906	381387	601206	605407	563012	448416	696215	1015058	1236175	1300736	1413733	1480202	1497699	2165198	2489971	2648900	2817055	2429950	3175744	
"Brazil"	1710444	2183071	2673740	3039710	2469694	2825522	1519639	1816605	2424482	2735168	1912064	2001484	1705101	1619792	1886404	2141016	2421985	1948298	2485034	2673486	
"Spain"	849509	832550	705501	831645	888972	1134477	757176	803893	1066293	1519070	1572994	1721938	1762669	1666444	1892201	1898095	2093929	2022525	2469344	2393406	
"Czech Republic"	469108	477910	616396	623315	650331	586035	445025	615769	897090	1031657	1094349	1221834	1340874	1202870	1218645	1318368	1381629	1484600	1712702	1945019	
"Türkiye"	164725	186659	239365	288060	347481	380963	310550	469287	556809	722197	809810	891047	852053	898899	962685	1201285	1335666	1158011	1532051	1782604	
"Israel"	679529	774835	970612	1166642	1549639	1483874	1173445	1209522	1288089	1330435	1416798	1479730	1405954	1417463	1407356	1357956	1398387	1242794	1451858	1644084	
"Hungary"	724095	920182	989805	905005	950349	979419	698142	822270	1157332	1397304	1472703	1458345	1352079	1520800	1383641	1464862	1345003	1142195	1373886	1531131	
"Denmark"	493472	587863	655536	731810	984293	1018989	685118	743199	900003	952394	842241	955924	901200	903473	974650	1222225	1208036	1306819	1390526	1508453	
"Indonesia"	553805	635009	607423	545588	616546	719092	537465	603117	598893	717069	561027	594379	651827	507085	564446	684446	709267	836184	1183793	1446102	
"Belgium"	829062	1022030	1164923	1250532	1173842	1376361	944718	1064586	1358682	1571897	1409167	1364580	1304534	1248775	1280984	1327842	1558331	1421828	1471673	1401031	
"Finland"	404959	483333	636858	744228	770569	768250	556590	520181	616955	747341	701873	740040	766999	766703	828927	1016266	969938	794897	972127	1127905	
"Ireland"	1505667	1400062	1557846	1820530	1552253	1495838	1354228	832128	691953	681754	719468	682297	725527	666222	660411	805994	972686	1021790	793243	974561	
"Australia"	340296	368971	398491	422284	540252	514499	359620	422592	505651	548900	506587	523673	496438	441758	483663	462888	477526	488265	594600	763083	
"South Africa"	198328	222714	324715	355488	444735	402668	280141	361905	460228	445206	413597	472742	538139	466191	377315	392744	423074	354869	480175	621503	
"Slovakia"	66603	97865	122381	155109	200315	220802	131610	180253	206809	240603	284062	300433	325005	311660	363434	418076	421010	401319	488422	574969	
"Romania"	70155	113807	148726	180244	236468	293655	238274	262946	346760	361421	385696	466332	476481	403580	441565	463609	416452	358924	408033	543911	
"New Zealand"	127000	169223	219994	235127	209580	175314	106935	160487	187041	207380	217492	235798	291343	231798	257467	275186	273152	277863	336558	419523	
"Norway"	234279	227307	207939	295845	432211	433343	381486	336404	297726	385051	407493	429223	493873	297991	339389	471277	402466	287083	337413	371077	
"United Arab Emirates"	54579	8929	16759	24214	30838	37047	27730	45148	62951	88477	84429	101958	74203	69669	100766	99747	184749	138462	280694	277294	
"Portugal"	236839	393029	536341	568168	169946	111664	86962	106008	115567	110738	114294	126324	164770	140825	177206	185608	154576	188123	295874	276883	
"Bulgaria"	13274	17358	26766	34643	39261	44869	25478	34418	62275	71375	87404	98645	108249	103137	103753	110335	120547	109686	146404	257931	
"Slovenia"	25429	46768	47100	55579	68048	58147	40289	53360	69028	81389	96085	128700	121358	128851	152217	169011	163948	156982	194740	239582	
"Argentina"	68878	88237	111325	117706	133474	140232	103324	104837	148635	138756	103748	107028	106943	96369	93062	117861	148426	97863	104684	150889	
"Dominican Republic"	12396	36857	185859	96233	99007	66182	16887	19035	120491	103001	16469	16828	15366	19630	13676	13141	27095	65053	97956	148993	
"Croatia"	10853	10345	14479	16155	9132	15914	19605	26417	29389	28117	47951	52582	84672	60649	58152	53296	69441	62726	133490	129897	
"Hong Kong, China"	452699	437870	343694	330327	347075	365247	215671	298789	328727	308033	297103	241744	250571	261389	360435	327202	152298	108606	124974	115972	
"Serbia"	0	0	0	5103	6405	6039	7720	6697	14824	17430	15374	15725	32906	39964	47078	42635	55260	63372	76821	106908	
"Sri Lanka"	16850	24284	27739	29624	33126	33613	14819	22535	33171	42043	52438	52678	59456	53113	58078	75060	83878	69878	94815	102517	
"Russian Federation"	54448	52045	54828	54047	67900	54600	50190	113285	147705	156731	161092	197619	252021	238714	338523	315308	218792	112583	254612	99105	
"Chile"	31770	36308	44610	35794	51150	41509	29098	30171	29972	53525	107572	122961	66361	49713	70598	67483	63006	82773	51777	79568	
"Colombia"	15399	20680	27998	44098	56321	49205	37185	44614	59058	58578	49690	71167	62099	60934	53100	46463	44229	61748	61881	74770	
"Latvia"	1856	2630	4095	8019	14000	16453	16556	20256	30237	15645	13399	19087	28193	23676	143994	406522	426214	167914	100494	70871	
"Estonia"	1311	4825	9287	15774	15180	13678	6339	8207	10024	16871	18760	14804	32694	30179	38121	84332	116735	56130	64419	67208	
"Luxembourg"	80098	54731	67044	59797	61675	61109	33349	33431	53811	51424	46411	41553	42647	38863	62416	63161	82702	50768	64531	65470	
"Tunisia"	6678	3473	5102	7204	6941	10093	12718	26396	37923	71470	42030	44007	43218	41772	39953	50232	49818	31309	51996	62646	
"Costa Rica"	118323	132780	267292	357980	434504	440281	2612056	2848642	234499	159904	124475	107023	43418	28444	24305	30211	24710	27928	26271	59196	
"Jordan"	2831	4417	8408	7961	8648	10327	8845	4638	8411	7103	3740	7631	16330	22817	25130	42735	46392	29982	62282	57859	
"Morocco"	306	455	432	835	599	535	1816	2256	9037	13217	9150	9984	37315	35218	25696	28127	36184	46289	39684	56700	
"Cambodia"	22	45	355	200	223	282	93	42	174	72	176	466	963	3019	3620	1406	5718	13779	27999	50310	
"Peru"	7783	10377	17508	14649	18668	19410	14658	17784	31054	26283	26369	25396	26369	27442	20468	26710	38739	16656	22842	47622	
"Lithuania"	1927	3349	2325	2254	2461	2900	1671	4433	5449	8468	7413	9584	9289	15474	18247	18801	25057	48339	36360	46903	
"Saudi Arabia"	9806	11219	11771	10820	12766	21871	11651	21074	19180	18705	24277	20077	19181	41203	23531	24696	25631	33765	31508	41436	
"Ukraine"	4268	7222	10976	30050	24329	16650	14003	15934	17232	26020	16857	22450	23974	19792	37220	18944	25547	34200	37268	40363	
"Guatemala"	3646	3409	6283	8417	14599	8917	8405	14319	13981	7347	8514	8515	14818	9932	6349	9680	9709	11829	24874	35726	
"Macedonia, North"	247	626	181	14	46	92	68	182	177	482	353	319	7896	6575	8299	9211	6536	3138	6653	32226	
"Greece"	6597	6594	6067	5772	7631	7588	14874	9621	12357	10416	6702	11641	13067	11665	14398	23949	18949	18438	13692	28026	
"Malta"	6416	8783	10561	13102	9770	8890	5819	10589	13359	9916	7451	5691	7169	8175	12441	16283	15355	12979	15159	20331	
"Egypt"	3261	3154	3628	3318	2715	1969	991	1413	2985	2709	6549	8524	5845	11506	5480	3681	10050	11456	7414	19525	
"Iceland"	17425	17034	22484	17155	18919	13833	18023	25084	21748	16739	12411	11852	16449	15321	20153	17595	16093	13253	17601	14469	
"Oman"	8	32	139	33	5645	239	443	182	396	707	792	1319	1892	2066	4159	2442	10714	1367	4440	13653	
"Ecuador"	2957	3152	4266	5200	9944	9178	5899	6561	9385	5941	6580	6550	10541	7704	5804	4870	6552	6305	7418	11933	
"Ethiopia"	43	55	32	19	0	129	203	42	4	50	148	107	176	730	126	24308	27641	12609	19273	11320	
"Bosnia and Herzegovina"	533	286	502	447	1021	394	488	431	2111	2685	2537	2509	2759	1735	2457	5148	3550	4601	9286	9960	
"Honduras"	3940	2336	2124	1008	1619	2517	1646	1066	2085	1421	3076	4949	5456	4155	3944	5812	3821	3725	7993	9308	
"Uruguay"	3539	2741	1778	1593	3185	2828	2239	2002	1166	2256	7055	1252	1848	5433	2527	1074	895	512	1401	7767	
"Pakistan"	822	2688	2148	2460	3027	2340	2306	4610	5496	5258	2442	2964	3036	3393	2590	4757	2883	4155	3012	7171	
"Lebanon"	1188	1640	2852	5054	6074	7677	7848	10877	11078	6739	2657	1094	2556	3154	3793	3893	3118	8832	10804	6142	
"Nigeria"	199	296	873	2065	449	983	246	667	1157	823	1241	666	1753	977	1149	626	1691	1297	873	5647	
"Panama"	1534	3311	5022	1726	4651	4621	3661	5277	3211	3847	3606	3331	9330	7434	7606	14295	12321	3096	3795	5103	
"Trinidad and Tobago"	741	2607	891	4129	1629	8905	4373	1415	2431	2587	2957	5191	5556	3320	3188	7022	4181	2757	6316	4593	
"Bangladesh"	24	128	171	471	214	106	244	305	209	181	132	1028	261	732	102	206	1717	2844	3526	4355	
"Belarus"	614	827	393	443	670	629	541	482	840	450	1099	1083	480	2659	2275	3471	2164	3222	3106	3853	
"Kazakhstan"	154	90	204	204	730	775	20	127	314	158	386	160	119	1185	931	431	1090	11645	1704	3566	
"Uganda"	10	83	17	34	8	12	8	36	73	64	94	239	1086	155	57	120	53	525	238	3539	
"Nicaragua"	232	391	955	997	4891	791	770	1287	779	1195	505	932	1209	1237	2129	1084	1074	1687	2021	3410	
"Suriname"	184	265	1016	1159	1327	1155	546	2057	2347	1962	1816	4654	2867	2328	3526	2662	3133	3887	3817	3355	
"Bolivia, Plurinational State of"	847	1344	742	2567	1744	1110	542	994	967	872	977	2068	1400	1184	6144	1577	650	1804	2389	3195	
"Bahrain"	268	1018	38	109	355	250	206	4934	5086	4966	5574	7904	4415	843	1519	2220	446	355	2157	2902	
"Myanmar"	0	0	0	0	0	0	0	0	0	0	0	0	0	52	149	545	1023	1565	1314	2727	
"Georgia"	622	921	1159	1521	3750	5000	7478	4257	1736	1312	968	2133	3389	3119	2657	2662	4030	1011	1686	2610	
"El Salvador"	1128	1746	1386	1254	2316	2581	1289	2908	2476	4129	2369	1433	1384	7562	1709	6265	1644	1286	3929	2608	
"Cyprus"	1325	1033	556	1737	1001	461	354	286	405	568	1772	4043	2665	1647	2791	2147	1490	1269	5219	2440	
"Sierra Leone"	275	346	1159	294	312	308	138	762	1864	600	559	1805	1235	1859	1645	24714	8955	1482	2328	2137	
"Antigua and Barbuda"	224	38	383	151	275	141	343	104	396	175	2	0	0	13	543	115	154	355	1345	2027	
"Guyana"	592	1225	562	1749	471	773	795	599	1371	1958	1643	1341	410	900	773	679	612	3418	1381	2024	
"Ghana"	35	464	161	100	260	29	609	650	594	443	310	899	735	104	610	718	423	708	308	1916	
"Niger"	117	298	292	148	1053	863	451	295	1992	2281	234	606	201	898	312	804	1118	1470	4192	1699	
"Paraguay"	122	441	581	422	908	334	130	224	45	362	194	1050	1348	1139	598	469	473	549	837	1675	
"Samoa"	12	0	51	0	78	25	0	0	5	3	41	140	332	1012	359	625	346	434	2478	1549	
"Jamaica"	1100	2108	2945	1405	1513	6645	435	754	683	556	863	983	1104	576	866	644	846	802	602	1470	
"Bahamas"	576	588	747	1080	1091	1270	840	831	1670	971	5165	1377	1642	976	1604	1250	591	780	1066	1309	
"Zimbabwe"	22	0	17	0	2	30	292	0	29	0	0	6	0	0	72	7	0	194	6	1303	
"Venezuela, Bolivarian Republic of"	18305	22828	16092	14023	14192	13245	10523	11658	12201	12691	5354	2604	2748	2766	1512	5901	1908	890	1477	1140	
"Djibouti"	30	90	18	0	0	22	12	32	0	16	13	0	5	0	2121	121	1349	54	175	1087	
"Qatar"	94	180	191	210	393	448	171	444	1214	1846	545	806	2104	747	744	2232	1241	1422	3361	1077	
"Eswatini"	268	405	1900	1171	830	3138	787	673	2028	777	325	1161	1994	1643	2124	782	1085	443	674	1070	
"Kyrgyzstan"	57	261	61	68	57	111	571	86	81	1188	10	0	488	23	2290	1995	1275	1296	1028	1051	
"Saint Helena"	242	363	306	240	68	132	84	212	26	152	140	14	47	208	99	27	22	51	149	980	
"Belize"	261	152	835	885	194	211	145	929	254	145	266	1585	1032	2727	132	284	443	2147	228	946	
"Brunei Darussalam"	27	3	82	14	28	8	0	428	172	426	91	428	752	22	276	64	587	107	520	892	
"Moldova, Republic of"	78	78	63	110	38	164	23	116	442	64	36	59	49	90	75	412	763	665	730	890	
"Iraq"	0	27	101	1220	92	40	2079	786	91	37	0	0	0	5	118	115	193	207	685	844	
"Kenya"	3032	978	2339	2876	1098	894	3341	2728	1129	1742	1388	478	817	1281	693	1460	155	352	475	840	
"Montenegro"	0	0	0	0	534	43	13771	106	97	30	15	353	114	181	442	785	501	200	986	801	
"Turks and Caicos Islands"	849	62	20	15	111	3	1478	633	15	328	125	12	305	65	615	114	40	11	132	797	
"Cameroon"	3366	877	924	1952	2990	3927	1605	408	277	1924	1206	1235	705	1325	1962	4847	838	393	732	747	
"Senegal"	846	242	653	241	231	506	54	97	161	12	60	354	694	76	392	1049	742	757	1044	719	
"Namibia"	0	85	69	74	289	13	5	676	16	311	140	214	367	323	457	590	1120	386	574	717	
"Tonga"	0	21	6	122	0	4	0	4	0	0	2	0	49	0	29	42	196	50	143	700	
"Mongolia"	549	30	35	84	55	33	32	71	161	116	171	47	550	195	207	303	666	1401	1253	662	
"Seychelles"	47	156	150	130	364	201	329	2093	231	79	182	131	1121	754	1162	221	648	346	273	606	
"Guinea"	90	330	194	58	114	76	108	344	358	497	125	717	327	151	281	325	496	367	168	599	
"Gabon"	49	25	207	318	33	112	25	146	552	275	83	132	590	336	178	591	222	384	4212	556	
"Curaçao"	0	0	0	0	0	0	0	0	1858	4411	3331	3265	3271	1023	672	1249	1101	694	337	537	
"Côte d'Ivoire"	704	1181	332	444	624	201	12	1335	288	735	127	1773	261	200	1050	197	68	215	134	532	
"Tanzania, United Republic of"	30	19	120	4	19	33	15	405	79	94	159	83	235	145	268	115	654	12505	463	486	
"Mozambique"	60	5	0	6	25	4	4	420	26	53	176	145	394	194	90	73	286	809	309	468	
"Kuwait"	1141	322	310	484	1501	435	1524	1309	441	493	532	304	1024	662	721	396	431	336	230	449	
"Algeria"	49	411	378	51	730	119	15	49	58	485	53	162	123	324	328	348	508	100	48	429	
"Andorra"	25	257	49	458	15	161	7	53	33	17	293	225	1147	163	127	720	216	459	340	417	
"Montserrat"	520	119	68	277	256	20	26	187	92	144	131	21	366	319	92	44	25	602	670	416	
"Nauru"	88	15	34	38	15	22	10	77	196	207	88	113	260	84	525	812	685	402	174	381	
"Tajikistan"	92	0	54	18	16	351	7	14	121	0	0	0	0	0	62	25	0	2	108	379	
"Mauritius"	1000	647	1545	1286	177	3909	201	68	151	768	447	900	440	593	640	1411	579	341	1089	370	
"Timor-Leste"	12	0	0	0	0	0	0	0	0	0	3	0	12	55	51	125	488	32	168	351	
"Albania"	187	1438	204	107	99	49	47	116	64	47	30	157	70	709	149	252	872	762	1371	348	
"Armenia"	53	162	327	312	405	335	49	50	419	52	28	31	382	165	233	151	865	971	319	333	
"Cayman Islands"	240	545	54	380	428	697	338	569	445	335	304	511	572	964	1459	776	838	658	353	332	
"Madagascar"	14	15	0	34	0	40	21	85	113	239	118	238	436	79	497	313	298	113	79	320	
"Gambia"	6	253	319	72	0	22	692	6	0	4	33	17	176	3	201	108	5	0	5	313	
"Palestine, State of"	15	0	0	8	26	3	10	19	103	201	44	14	12	5	109	0	7	44	23	311	
"New Caledonia"	40	3	1103	380	1054	615	493	200	809	1952	655	485	1116	3274	667	1415	1641	827	290	306	
"Congo, Democratic Republic of the"	13	9	135	1121	55	116	66	82	103	64	296	89	1657	51	190	309	373	334	341	302	
"Azerbaijan"	20	1015	198	82	33	361	40	165	390	85	95	374	351	138	585	2083	827	123	693	288	
"Sao Tome and Principe"	9	12	27	9	100	0	0	11	160	214	30	52	240	129	60	72	313	180	148	274	
"Barbados"	453	621	331	559	71	331	150	2108	180	311	176	159	240	37	139	507	274	138	267	273	
"Cocos (Keeling) Islands"	37	27	24	52	60	116	37	480	172	86	529	1878	2238	963	304	1277	1508	266	49	268	
"Zambia"	0	20	25	5	203	32	54	32	0	21	286	228	26	485	77	0	11	16	39	248	
"Liberia"	64	18	4	12	5	0	594	5	14	74	19	23	25	24	125	3	55	27	21	233	
"Haiti"	90	363	418	510	465	91	49	252	773	430	398	1034	539	341	320	789	339	116	500	228	
"Macao, China"	3119	3127	4665	7433	5757	4284	6429	11282	9850	12214	9068	9788	7956	5289	4266	3023	802	431	1242	184	
"Papua New Guinea"	3	13	75	10	10	0	50	142	693	836	472	2840	1384	182	206	87	262	999	1099	180	
"Mali"	296	73	407	1127	265	209	26	100	148	76	82	32	430	182	21	1160	145	164	123	165	
"Saint Kitts and Nevis"	542	195	363	199	1336	817	208	106	147	82	97	34	151	137	108	131	281	62	207	162	
"Nepal"	227	104	496	141	178	26	120	79	36	110	48	71	39	114	946	64	46	59	160	153	
"Saint Lucia"	65	81	49	99	92	122	52	98	115	20	263	50	71	148	30	115	1003	263	19	152	
"Faroe Islands"	54	5	39	87	155	203	15	7	0	0	265	5	1748	203	287	92	135	191	204	140	
"Mauritania"	74	0	47	9	57	1162	0	13	5	0	3	5	120	4	6	267	25	39	3	124	
"Bermuda"	34	94	347	121	110	103	295	149	286	284	300	123	86	270	1136	102	151	24	116	123	
"Micronesia, Federated States of"	0	0	0	8	0	9	0	74	0	0	4	0	0	3	0	33	28	73	325	122	
"Angola"	448	54	53	665	250	13	59	185	0	0	0	0	0	0	0	0	5	1443	6	113	
"Cabo Verde"	47	0	7	50	409	90	198	43	495	48	164	154	134	965	200	121	503	120	44	108	
"Niue"	30	29	0	22	5	7	0	7	0	48	24	71	31	6	30	12	135	26		103	
"Yemen"	191	130	44	10	113	1428	3	56	190	0	0	0	0	155	434	78	370	9	117	103	
"Christmas Island"	5	43	84	0	1030	17	8	100	35	96	839	533	1078	876	563	93	55	36	133	94	
"Wallis and Futuna Islands"	0	0	18	0	3	0	0	0	0	0	0	0	0	14	4	12	19	38	7	93	
"British Indian Ocean Territory"	6	284	17	408	10	122	175	555	4237	13290	7717	8314	11120	9110	16	38	64	0	43	92	
"French Polynesia"	116	211	7	49	90	440	179	36	63	32	290	54	136	115	283	7	82	42	148	92	
"Cook Islands"	72	0	116	51	8	88	49	159	64	142	41	29	73	108	1944	97	45	90	58	80	
"Malawi"	10	11	0	7	4	0	94	4	4	11	0	0	0	0	23	4	0	10	3	78	
"Aruba"	193	199	516	88	427	245	93	108	110	654	147	1416	59	233	2087	217	121	415	342	78	
"Lao People's Democratic Republic"	0	11	13	11	0	25	68	16	0	0	0	0	138	194	241	3804	2619	107	267	73	
"Grenada"	48	26	98	77	27	73	32	139	57	24	49	11	19	359	47	192	27	24	8	60	
"Rwanda"	68	4	14	26	77	13	3	10	0	0	0	0	0	0	183	490	735	576	273	58	
"Syrian Arab Republic"	345	71	59	43	90	35	45	228	125	0	0	0	0	0	15	10	5	13		56	
"Central African Republic"	260	28	2	7	12	501	45	20	145	248	46	9	165	64	66	157	129	0	6	53	
"British Virgin Islands"	955	650	1169	846	4178	1013	356	381	438	1452	262	240	477	345	898	439	293	22	122	48	
"Fiji"	180	87	15	15	3	13	5	20	0	44	53	29	63	47	26	20	137	20	25	43	
"Saint Vincent and the Grenadines"	0	12	0	3	29	15	18	0	18	35	14	22	0	77	25	3	20	4	13	42	
"Equatorial Guinea"	647	98	5	309	76	2	103	82	161	511	114	17	91	0	2	0	2	274	31	35	
"Togo"	0	8	0	3	26	85	62	22	42	0	0	0	3	0	92	283	186	21	16	33	
"Uzbekistan"	20	335	437	0	27	4	3	157	11	38	15	0	238	1108	41	621	286	9	16	33	
"Botswana"	29	72	828	74	65	17	0	28	22	65	628	511	84	56	45	55	208	0	25	32	
"Eritrea"	5	7	14	34	0	0	132	6	0	12	3	2	18	66	23	13	0	0	15	31	
"Solomon Islands"	6	50	275	0	37	10	0	4	73	0	0	0	0	0	126	15	15	48	7	29	
"Marshall Islands"	379	31	506	116	221	3	48	459	247	16	37	1478	11	748	226	3	7	169	3	25	
"Anguilla"	3	66	15	17	0	4	0	311	1796	22	1353	1780	828	142	233	5	20	3	20	22	
"Falkland Islands (Malvinas)"	0	0	95	0	3	2	0	0	0	0	3	0	8	10	5	5	2	24	7	20	
"Chad"	10	3	0	59	24	27	6	14	16	5	0	0	0	0	53	98	284	2	257	19	
"Afghanistan"	410	42	17270	148	41	2136	175	282	0	0	0	2	23	0	757	1817	725	672	1022	17	
"Burkina Faso"	75	3	0	0	570	15	72	108	0	4	64	6	7	25	22	109	37	51	6	15	
"Comoros"	0	7	0	0	0	0	0	0	0	0	0	0	76	37	0	26	0	6	3	14	
"Congo"	45	105	316	184	450	153	53	148	127	178	177	162	199	175	2857	69	57	79	215	14	
"Bhutan"	70	0	46	172	0	0	5	8	178	167	0	19	0	13	23	256	8	16	22	12	
"Lesotho"	0	0	0	3	0	0	0	0	0	36	8	2	0	5	76	0	0	83		12	
"Benin"	0	210	0	3	0	0	3	0	0	2	6	33	0	34	0	36	2	0	6	10	
"Palau"	0	3	0	7	0	0	5	5	0	0	0	65	34	4	109	589	1023	3	18	9	
"Gibraltar"	0	3	174	22	236	25	73	7	7	7	12	3	16	49	72	13	42	21	356	8	
"Greenland"	37	0	3	166	0	0	0	3	0	13	3	12	16	36	11	0	46	0	17	8	
"Dominica"	75	0	21	71	25	133	418	111	18	47	31	30	36	31	33	266	501	5	183	6	
"French Southern and Antarctic Territories"	0	0	0	0	8	0	5	0	0	0	122	106	0	0	114	0	118	0		5	
"Norfolk Island"	1261	2281	39	0	5	0	358	0	5	19	3	0	1161	3	0	0	0	5	42	5	
"Turkmenistan"	0	11	4	4	0	0	57	118	43	0	39	59	0	3	0	80	4	0	10	5	
"Pitcairn"	40	5	0	0	27	10	0	0	0	0	0	0	0	0	28	0	0	0	18	4	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	21	37	14	0	0	12	12	4	
"Somalia"	0	22	43	0	6	2	0	4	0	0	0	45	0	0	323	15	9	22	17	3	
"Burundi"	0	26	3	0	0	0	0	0	0	13	32	0	8	57	0	12	10	0	11	3	
"Maldives"	0	6	8	87	6	0	2	6	17	20	49	41	518	14	39	22	299	0	18	3	
"Saint Pierre and Miquelon"	2	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	2		2	
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	7	105	195	128	0	0	0	0	0	0			
"South Sudan"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0			
"Western Sahara"	0	0	0	0	0	0	0	0	0	20	38	114	23	3	0	0	3	0			
"Tokelau"	961	363	476	408	190	634	486	634	1096	1431	128	0	34	0	1266	1100	343	126			
"Mayotte"	0	0	0	0	306	0	0	0	0	10	0	0	0	0	0	0	0	0			
"Kiribati"	0	0	0	52	0	9	0	0	0	0	2	3	0	10	16	10	0	33	107		
"Iran, Islamic Republic of"	0	0	15	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	421		
"Libya, State of"	0	0	5	0	8	0	0	0	0	0	0	0	0	0	4	0	26	24	15		
"Netherlands Antilles"	1270	1718	1445	2315	4585	4875	1309	0	0	0	0	0	0	0	0	0	0	0			
"Vanuatu"	14	3	0	0	104	98	0	12	0	8	6	0	0	220	0	42	0	2			
"Guinea-Bissau"	0	0	0	276	0	0	0	4	0	58	15	17	6	12	5	19	147	0			
"Tuvalu"	0	3	12	0	0	27	0	0	0	0	9	0	0	9	83	4	0	15			
"Serbia and Montenegro"	526	1083	2324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
