Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	174756454	205712898	228042378	250076929	256322763	255213353	207524194	255407350	294378904	315095389	311300329	331205458	330271770	315350475	348572807	384981508	377872961	361173660	427918555	475932653	
"China"	31065530	45401976	54525686	64277454	66092322	67369185	64202094	85109509	97822528	102177823	103144985	108162322	107055315	100047876	112208729	119243974	94079636	100143191	115364627	112770281	
"Mexico"	17466087	20139200	21542518	23630854	25050612	24961511	22219293	33829836	38787939	42543176	42945179	45237457	49265394	50990275	54095138	63489793	66098389	62489285	71486830	86572296	
"Japan"	25834928	29467182	31879146	32818470	30958222	30275850	19978703	25514405	32097369	34969622	31338945	31826303	29899460	29665841	31673359	32967226	34954055	27440825	33250372	39338339	
"Germany"	13454613	15944238	18274608	19714290	21265723	22111436	15019924	16826766	20694219	22580815	22310532	24245206	24584738	23304054	24946513	27731260	27711106	24520789	27530945	30049634	
"Taipei, Chinese"	9655706	9172608	7940286	7753112	6378699	5701101	4171384	5320594	6698774	6793037	6805244	7227491	6912099	7016789	8398802	10040985	15809101	18861502	24236216	28936873	
"Canada"	16153637	18127550	19557861	20313413	22185736	21823667	15853632	17827524	20071152	20847314	20037750	21214250	20193866	19331356	21494675	23441289	23569904	19819350	23033065	27498187	
"Korea, Republic of"	5870325	6696211	6976252	7751721	8071568	7741308	6997786	9708717	10718334	11599239	11207484	11899871	12176019	10363439	12859098	15720980	15471241	17048844	21625445	23750686	
"Thailand"	2436131	3073071	3437798	4355696	4761971	4968639	4158921	4622397	4443724	5874485	6432473	6986760	7597318	7477859	7848492	8125548	8566865	10410010	13631464	15843084	
"Italy"	4801453	5673435	6332280	6740577	7259475	7604523	5460185	5428459	7086728	7757649	8098175	9452234	9164710	8602217	9566943	10903132	11472159	9850021	12568214	13617515	
"Viet Nam"	69130	64967	132285	231269	298376	366757	395941	552666	608484	1039253	2106621	2839900	2604794	2446169	3265770	2872961	3773954	6991851	11153963	13212068	
"United Kingdom"	6708920	7244867	7627559	8176547	7859932	7816133	5821649	6271361	7784358	8647561	8783755	9285330	8739312	7230642	7687402	9409817	10488163	8132472	9078800	10549883	
"France"	4326847	4816880	5809964	6097267	6956111	7595034	6389573	6422915	7147043	8391099	9086961	9620839	9686243	8862806	9338978	10175303	13056134	6430780	7386383	9264647	
"Malaysia"	10325619	11568198	13115140	15229168	14728595	12255060	9042244	6291861	4108325	3802499	4100483	3952245	3888126	3950773	3903452	4042463	4066135	5522101	7280146	7685823	
"India"	362039	527431	772583	1016921	1184076	1517279	1143884	1395925	1897182	2248590	1949011	2415434	2486791	2172457	2642099	3474156	3803950	3250030	4726573	6443925	
