Exporters	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Nigeria"	286	570	179	230	460	175	120	139	152	111	
"Ghana"	300	869	274	214	171	327	123	88	194	103	
"Tanzania, United Republic of"	304	941	243	404	599	640	273	215	227	101	
"Gibraltar"	1	0	0	0	0	0	0	0		94	
"Bangladesh"	17	127	242	265	324	131	97	45	189	81	
"Côte d'Ivoire"	63	125	5	25	84	8	24	55	23	81	
"Sierra Leone"	53	23	14	4	24	5	65	48	27	77	
"Burkina Faso"	65	11	1	25	153	60	89	53	45	74	
"Chile"	129	259	36	92	1925	102	359	157	196	73	
"Oman"	3	28	6	1	2	47	0	65	29	72	
"Algeria"	22	23	8	3	0	73	0	2	12	69	
"Seychelles"	78	143	70	1020	264	298	248	145	74	69	
"Kazakhstan"	0	1	881	57	10	34	15	0	3	68	
"Guyana"	0	0	0	0	0	0	0	46	0	65	
"Nicaragua"	0	0	0	7	18	40	54	66	136	62	
"Nepal"	60	106	78	70	67	20	110	43	27	59	
"Brunei Darussalam"	0	2	0	0	0	0	0	0	0	58	
"Bahrain"	86	117	142	133	1737	3254	1307	416	481	57	
"Armenia"	3	0	1	32	3	7	11	2	54	53	
"Angola"	235	334	391	942	259	100	108	119	168	52	
"Rwanda"	311	13	74	12	7	34	148	43	102	49	
"Madagascar"	50	100	21	5	138	86	54	128	71	38	
"El Salvador"	0	1	9	0	0	2	67	3	3	32	
"Macao, China"	32	43	30	22	41	138	13	24	32	29	
"Jordan"	7	18	77	1	33	1	2	1	5	22	
"Mauritania"	4	50	0	11	10	2	9	2	16	21	
"Barbados"	42	31	18	12	26	11	5	22	14	20	
"Lesotho"	66	190	76	51	34	35	162	109	75	19	
"Peru"	59	8	23	111	218	62	15	1	4	18	
"Qatar"	41	91	31	17	48	31	18	20	12	18	
"Gabon"	111	31	8	8	129	12	1	2	5	17	
"Ethiopia"	32	231	131	96	35	463	104	16	13	15	
"Mali"	20	20	3	47	52	104	29	19	15	14	
"Mongolia"	1	0	3	2	0	35	0	0	0	14	
"Cyprus"	84	250	36	2	5	6	98	15	16	12	
"Iraq"	0	1	0	1	0	1	17	0		12	
"French Southern and Antarctic Territories"	0	0	0	0	2	0	1	0	4	9	
"Tokelau"	5	16	40	3	19	16	9	1		9	
"Syrian Arab Republic"	0	0	0	4	0	32	0	0		9	
"Christmas Island"	0	0	0	1	0	4	0	0		7	
"Cambodia"	0	0	0	8	30	1	2	3	1	7	
"Ecuador"	5963	2	179	42	16	11	43	15	11	7	
"Andorra"	0	0	0	0	6	17	0	26	13	5	
"Dominica"	23	0	0	4	216	3	1	2	5	5	
"Lao People's Democratic Republic"	0	0	1	1	5	2	13	2	2	5	
