Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Togo"	0	0	0	0	28	0	0	0	19	686	300	1724	460	2642	3291	4727	5849	5856	8165	16630	
"Bulgaria"	129	136	135	403	1147	727	1211	1016	363	41994	7037	3832	3774	4374	14974	12095	20818	14940	17025	15884	
"Kuwait"	170	766	103	307	531	39	86	55	124	830	1603	1217	4068	1637	7612	11859	15344	23507	9592	15679	
"Macao, China"	4	59	11	14	0	62	9	36	87	153	104	459	32	41	9	24	2255	139	13234	12899	
"Croatia"	8	9	0	195	259	312	128	2271	1096	9035	6841	4356	5482	1453	1023	1572	1742	1141	5156	10421	
"Libya, State of"	0	0	0	0	0	0	0	0	13	0	0	11427	4455	425	0	5594	10023	4386	3766	9902	
"Portugal"	3197	878	2977	2651	2765	2806	11535	9510	13775	111069	210103	138046	12912	10306	14164	12210	10003	10821	10269	9355	
"Slovakia"	79	212	300	3809	1837	3184	3462	2250	5184	11108	16666	13719	19715	18962	13446	16007	16767	10605	4554	9271	
"Ghana"	0	0	0	0	110	0	0	4	192	1373	655	972	422	541	1581	5598	13465	8726	55	9122	
"Lithuania"	85	42	4460	3056	4099	4060	2866	3628	2638	4938	4254	3457	4105	3453	2637	3866	2971	2013	2514	8849	
"Norway"	7988	16043	16983	27252	40867	141345	170348	46593	61747	36199	64742	28567	31515	33177	17886	16170	17723	17185	14138	8842	
"Latvia"	179	54	13	105	1235	1882	2622	2429	2758	2835	828	1040	2456	7058	9065	6562	6219	5645	7622	8563	
"Costa Rica"	7	74	99	236	484	1606	928	665	231	3945	3622	670	1848	1268	910	1285	645	448	1021	8465	
"Estonia"	32	3	7	399	4992	1234	4399	2965	3847	15763	30636	26482	31160	46366	13413	26654	12515	8997	7851	8013	
"Guinea"	0	0	0	177	5	116	0	0	36	176	227	298	762	2636	3494	2763	4387	4136	2621	6884	
"Cambodia"	40	24	34	4	23	12	3	48	4	292	63	301	133	0	4	210	617	5921	6489	6745	
"Djibouti"	0	0	0	0	74	0	0	1	20	112	1058	96	66	0	179	504	1728	1375	1121	6419	
"South Africa"	19469	8895	23268	23805	13793	14712	26667	10407	10224	29139	11462	5996	11615	24959	11125	7438	6045	10122	8228	6386	
