Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"World"	39367222	45253338	47650939	51346296	54743106	58263423	50803943	59793862	67081200	69799847	72111007	76226166	78543473	80548282	85994600	93313384	96566965	90552472	105979496	115032958	
"Mexico"	5998005	6062578	6382954	6815293	7592497	7569641	7321564	8829137	9767145	10393486	10748543	11592927	12268588	13197252	13935979	15052995	16024754	15028030	17122430	18874318	
"China"	3386284	3968676	4327421	5004298	5791057	6411326	5772636	7278359	8137849	9045073	9802985	10641062	11407052	11589671	12307511	13031755	11599748	12364277	14043719	14084051	
"Germany"	4634561	5702040	6301233	6865154	7671625	7665874	6491133	7385408	8863080	8932823	9033966	9335648	9150446	9113011	9750937	10736485	11114826	9887869	11637844	12410178	
"Ireland"	3157673	4485966	4152164	3883087	3945376	5167524	4620859	5097039	5200613	5308289	5786574	5786185	5781533	5940349	6536814	7649150	8234199	6848724	7565510	8701429	
"Japan"	6045947	7092394	6956954	6955084	6456505	6541355	4918100	6234969	7034767	6976532	6751023	6747973	6632119	6572458	6723094	7143165	7073532	6092634	7357302	7589692	
"Switzerland"	1621569	1614788	1626171	1648192	1813999	2164795	2073122	2384969	2905588	2778393	2935315	3170006	3197819	3155918	3548522	3931140	3981281	3798011	4274491	4449495	
"Canada"	1753401	1984582	2203864	2444608	2557772	2743081	2259760	2586174	2844580	2969257	2848460	2804164	3029665	3140098	3452600	3647065	3702696	3370341	3901035	4424203	
"Singapore"	806446	956133	1011990	1061527	1351429	1218351	1037834	1262561	1684728	2020073	2099744	2382838	2556269	2443170	2670750	2858741	3644603	3609306	3901007	4174956	
"Costa Rica"	485186	486069	532751	601416	660149	809296	801154	889676	903205	1096069	1121523	1285482	1502266	1678859	1874630	2108643	2373537	2592935	3366589	4009494	
"Malaysia"	400713	562367	631197	781922	973672	1157631	961438	1413199	1437941	1613420	1702721	1849773	1934655	2014160	2103120	2382129	2561053	2622990	3061667	3746978	
"United Kingdom"	2124082	2357568	2532868	2682541	2983120	3054610	2546463	2774307	3165603	3305561	3237502	3259514	3339697	3318032	3347737	3470552	3389137	2945455	3278889	3451571	
"Italy"	892790	1013159	1130279	1269205	1356606	1240195	981521	1111938	1294888	1363378	1494276	1638422	1671103	1762949	1882306	2012660	2056340	1794510	2588242	2840589	
"Taipei, Chinese"	768904	745925	758484	788736	812250	817704	722461	919023	1042299	1126720	1124370	1296423	1259278	1172312	1362841	1622616	1957557	2247599	2574625	2718687	
"France"	1106510	1278928	1422021	1604781	1892543	2028904	1860478	2161793	2279403	2133734	2233767	2377709	2378977	2391993	2461973	2520512	2577401	1904622	2322967	2531501	
"Israel"	745046	914768	888490	1127938	1179502	1135608	986470	1050057	1276624	1260974	1341522	1373933	1395654	1460984	1622211	1832104	2072249	1816612	2066412	2309772	
"Korea, Republic of"	321299	364486	445223	564006	782837	1101883	915016	865599	1008085	921829	1032626	1110055	1126347	1110290	1166918	1266383	1298450	1284431	1591274	1763429	
"Thailand"	320405	312607	369237	405374	520452	502608	417471	543495	550305	543122	676896	797519	813775	877229	961881	1079016	1180357	1126717	1406049	1695904	
"Dominican Republic"	454648	421715	444788	441613	444318	509444	536854	595737	605228	674343	736246	830790	876395	963005	916245	954883	991430	1033255	1153764	1452687	
"Viet Nam"	5936	4883	4701	8387	29863	67908	71199	89560	127990	166701	207312	248214	311970	458084	491368	549052	840125	918850	1310142	1238041	
"Netherlands"	1346030	1449706	1615712	1990265	1008309	1016046	803702	978974	1052280	1062229	874563	950553	957723	1085300	1130836	1234894	1127008	1032759	1227816	1201503	
"Poland"	90030	119797	132781	104181	81388	139522	143929	168453	283116	399726	238120	282647	291235	305676	524856	817643	901702	884416	1072261	1132214	
