Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Sweden"	384935	462698	518718	535103	669445	652390	559282	662158	705509	749898	785432	790343	756097	827052	786716	812149	870780	993467	984638	1058164	
"Australia"	282130	310792	438254	538773	657560	726768	655203	769002	808897	708429	699171	736452	726247	755357	894296	728785	751614	687539	874120	1033680	
"Denmark"	354844	452255	522711	540791	583769	649492	630796	666820	690728	543624	712590	726069	815402	778911	728247	579730	603375	622278	830755	917943	
"India"	130740	157929	169018	186432	205183	275664	231240	281681	292359	322506	296607	362603	388128	396111	452189	541254	552845	488000	634877	781343	
"Austria"	294475	304968	327193	330877	393942	427056	356104	384401	420207	470974	491940	490573	506337	492443	525988	597339	629135	545903	701986	700196	
"Finland"	259908	271782	290858	319822	295450	346298	283104	296303	322299	366502	373166	394670	363693	403955	379375	419163	473738	445806	544222	561049	
"Czech Republic"	62958	105246	89215	105429	106454	138777	118256	112946	167815	175235	183203	199596	212170	264107	331835	380957	418605	390006	427153	550205	
"Philippines"	124165	130390	148733	211194	308854	276851	234881	303028	315979	345019	361364	349861	385327	403771	437129	494955	570261	375340	533298	545790	
"Spain"	75253	113861	110618	116869	130185	145356	106178	178715	186293	209730	258982	266279	281048	258780	270431	274419	280182	267508	332857	431702	
"Hungary"	64775	53850	55401	176056	212936	166845	106108	180906	229347	253519	266702	272166	311825	377694	368439	336405	286932	250608	346802	390082	
"Brazil"	68580	71199	80282	102404	101425	108720	98609	103379	117695	128362	125312	122944	137919	118144	172945	164314	201600	176283	243239	312196	
"Indonesia"	150515	177043	209092	214222	213857	235600	228816	220593	233934	292422	279477	336358	317045	267548	285374	253145	258996	235114	249503	271344	
"Norway"	118856	166532	155156	203255	211113	217505	202794	195871	200199	221405	272556	306546	270073	204375	198586	212590	232193	203978	236645	217757	
"Bulgaria"	1322	1424	6840	9896	18877	12661	8352	14688	29094	30341	32430	39139	35778	38115	65510	98437	150897	103578	188939	199637	
"New Zealand"	57160	71746	90002	111587	126686	138398	132536	135070	122835	130058	146369	167550	181021	195246	188001	163910	173687	247192	225714	198405	
"Portugal"	9148	8624	7209	7113	8338	15043	10226	12462	15453	14510	34929	45156	28274	25390	65078	127702	143173	125693	178407	196880	
"Belgium"	60832	73006	112811	82578	95072	120939	109032	102614	118555	115550	108560	135619	117476	135510	130950	165221	149614	150475	166158	191390	
"Estonia"	8279	19439	10275	7854	9703	9976	12743	16340	29858	32596	35549	45306	48108	47325	45395	48473	76207	111640	153257	172514	
"Romania"	3096	4721	6022	10540	16565	23013	35282	46741	58278	59446	58227	79657	93955	100544	103759	103796	108452	93970	134541	152536	
"Pakistan"	30126	34668	36522	40484	48758	60113	58050	55149	66022	75313	76801	83390	98255	96372	93598	103171	123093	112281	133129	146965	
"Lao People's Democratic Republic"	0	0	9	0	0	0	4	0	0	0	0	455	1550	1893	2675	4225	4895	18969	97376	129246	
"Iceland"	24170	30150	34739	43156	36709	42715	34491	41584	46510	48426	46425	54477	53788	65827	69317	73706	75665	49297	72880	111867	
"Lithuania"	4276	5269	6803	9144	9509	12648	12794	17504	18370	21355	24647	29475	39048	44841	55764	64443	71819	80336	101865	109583	
"Türkiye"	4315	6427	3679	5242	6162	12443	18094	27140	10450	10955	20292	24985	24550	22771	32613	59261	71940	52966	72205	88629	
"Hong Kong, China"	190435	167019	159290	138386	123426	128085	109620	99898	114294	105951	112181	108848	123985	116929	122606	140684	81464	66205	64699	73356	
"Slovenia"	7221	5882	6782	10579	9828	12680	8668	12971	16899	18537	23911	29640	29601	29562	39625	40699	50254	55527	74773	72912	
"Slovakia"	2586	3998	3164	16114	9195	11771	9786	19506	29335	21348	16256	23512	28497	28955	41371	64497	60087	49508	63729	65559	
"Latvia"	1222	1540	1739	5441	8268	12763	3389	4834	6432	7397	9251	9242	11597	15071	18059	15174	16715	17535	35777	58169	
"Myanmar"	0	0	0	0	0	0	0	0	0	0	0	0	64	206	126	311	2557	9451	27895	44850	
"Russian Federation"	27309	31718	45029	45807	48108	54079	31983	45403	41825	45701	53958	52062	48621	44395	53150	57220	55305	41205	57261	36470	
"Tunisia"	2236	866	147	434	1035	1064	1224	1363	2337	4056	4858	7076	6953	9109	12216	11031	18754	23260	26969	33998	
"Bangladesh"	210	337	1407	2715	2626	1818	2473	2582	3684	5046	4942	5091	5808	8493	9975	12196	17507	22762	29145	33643	
"South Africa"	9496	14954	23871	21692	25286	24710	27148	28159	39407	27699	26735	28149	17705	20632	17389	21406	31237	31771	37691	32714	
"Sri Lanka"	161	977	1436	2587	8241	11923	10259	8561	10012	9725	7680	9748	13073	13613	20016	10202	10999	17516	22449	29466	
"Serbia"	0	0	0	93	105	491	589	483	316	406	620	619	931	1574	2484	3680	5334	8711	23048	28712	
"Uruguay"	705	1111	2267	1756	976	916	1053	1179	897	3042	4477	4125	29754	38247	38188	43561	44934	17552	22328	24650	
"Greece"	935	1379	1246	3755	1157	1903	1199	864	1156	784	2097	1463	2740	6735	4947	9009	17025	13622	13836	24382	
"United Arab Emirates"	1981	3072	3443	5111	6744	5345	5171	4496	9298	6312	5515	5874	8750	8125	8780	10034	8834	8190	8797	17833	
"Luxembourg"	4646	9051	13912	23185	17082	12369	6574	7649	9294	8196	9001	7347	8594	10374	11429	11178	14249	10293	17840	16666	
"Cambodia"	18	0	0	2	142	50	75	62	78	323	225	24	29	110	34	270	813	9051	13533	15031	
"Nicaragua"	0	23	103	321	496	1466	1321	1087	1506	1433	1663	2784	4192	4107	4881	8216	13238	10742	12623	14882	
"Colombia"	3881	2795	5159	9940	7344	10782	8761	5541	7420	10636	6711	7410	5872	7867	9887	10541	9475	9479	12299	14600	
"Belarus"	3776	4823	4603	8271	10573	7369	11792	8652	11002	14784	16070	19524	17476	20030	21971	20405	12552	11460	22962	11679	
"Argentina"	4189	4851	7131	11929	11537	11117	5691	6460	7806	8839	11032	8236	8222	8793	8097	11088	12587	6255	7848	10389	
"Croatia"	7977	14928	16363	16791	16670	15290	11279	11599	12457	11565	12797	10960	8890	4667	3866	5490	6143	7607	7696	9852	
"Guatemala"	9462	12137	5552	4446	7304	4758	9313	10122	9685	7903	7069	8342	7821	8131	7730	7634	7904	6543	6440	8410	
"Ukraine"	5174	4967	5461	5199	4428	7302	6925	10893	9612	9072	7667	7455	8897	8643	7911	8607	10485	8008	11180	8253	
"Barbados"	2004	1802	1525	1593	2024	1986	762	6630	5539	6752	6454	5577	21971	4669	6723	6832	6200	5279	5318	8181	
"Chile"	1482	1420	1095	2017	2475	1783	1239	2537	2965	2826	2994	2957	2745	3177	7637	18453	9625	7425	4271	6988	
"Mauritius"	2392	4219	4061	5513	6631	5288	7327	7767	7811	7626	7703	6889	6974	7046	8428	8337	7911	4561	6108	6471	
"Saint Kitts and Nevis"	207	83	69	23	126	151	53	0	61	25	33	65	2538	3909	3938	4785	4261	3456	4901	5120	
"Trinidad and Tobago"	3193	2618	3462	3184	3153	4041	3169	2300	7004	2314	2328	2492	3325	2683	2976	3041	3093	2154	2934	3856	
"Lebanon"	181	325	280	25	59	18	0	10	74	81	33	355	207	412	355	371	340	1443	2827	3746	
"Morocco"	546	99	69	83	392	2313	1462	3640	3383	1303	331	188	532	3647	7707	4063	2354	2360	2672	3472	
"El Salvador"	254	202	400	1019	756	384	552	438	450	470	458	519	640	591	1024	1280	1495	1298	3229	3404	
"Malta"	785	889	2082	2659	2169	3440	1900	1992	2803	1420	1961	1517	1372	3053	2638	1864	3193	2385	4297	3161	
"Saudi Arabia"	242	379	532	573	679	655	470	669	3133	3504	1211	3288	2411	2471	1513	2046	1981	2452	3127	2428	
"Peru"	227	253	614	487	425	506	871	920	3405	1553	436	728	1332	1363	1825	1720	1378	2227	1524	1799	
"Macao, China"	2064	3642	3122	3323	2458	1981	1552	4799	4353	2145	2571	2713	3718	1918	1156	1753	1926	1613	3325	1771	
"Guyana"	30	11	4	13	25	13	4	20	0	156	29	28	99	150	13	149	262	97	1411	1604	
"Cayman Islands"	0	14	11	68	1054	54	233	9	20	29	10	40	77	54	495	522	522	279	1007	1490	
"Ecuador"	840	338	1097	571	831	504	1202	2610	1273	1814	1888	978	1306	522	1285	1741	1227	991	1276	1422	
"Seychelles"	3707	4583	4681	7979	6811	4248	4089	3604	3228	2410	2613	2592	606	81	1301	399	1052	187	834	1366	
"Panama"	1256	415	899	1242	1142	1093	4066	3172	1546	4942	1642	1244	1564	3132	2775	2645	4236	1558	1455	1264	
"Honduras"	47	65	111	188	253	419	502	874	1144	717	973	998	1383	1284	1154	1497	1203	2586	1486	1263	
"Sierra Leone"	67	71	76	51	39	706	115	128	259	220	541	1307	1539	1158	1803	1167	1282	690	2138	955	
"Bahamas"	52	87	69	83	125	175	102	94	92	143	81	201	150	117	123	113	231	109	198	801	
"Ethiopia"	15	24	0	24	0	9	123	6	18	16	116	102	148	41	38	566	1006	579	274	724	
"Qatar"	30	137	170	92	307	222	325	496	870	1161	1902	1635	1140	225	330	231	964	325	635	628	
"Egypt"	1663	935	751	436	743	857	701	1748	651	890	809	451	949	3415	529	737	1140	424	808	600	
"Bermuda"	714	115	550	227	1097	205	133	135	584	145	230	170	199	301	344	123	1086	36	142	567	
"Georgia"	165	697	92	233	839	441	166	465	340	304	179	309	1750	508	444	716	3918	969	622	567	
"Cameroon"	154	23	209	465	442	90	226	303	112	107	337	631	283	807	403	483	372	340	303	514	
"Curaçao"	0	0	0	0	0	0	0	0	585	1185	564	358	695	192	60	239	773	131	524	513	
"Nigeria"	77	70	38	142	117	84	186	219	210	208	543	198	178	444	288	158	387	467	902	481	
"Jamaica"	34	102	434	429	674	709	414	338	277	122	128	276	162	154	102	814	103	250	455	457	
"Kenya"	130	515	253	732	433	2696	902	200	549	321	345	570	240	511	480	647	920	201	260	419	
"Gabon"	12	42	0	16	102	0	28	22	10	54	43	8	27	32	110	12	80	23	97	417	
"New Caledonia"	56	9	66	116	481	88	101	94	84	105	34	45	156	81	59	110	18	8	73	405	
"Cyprus"	486	433	1576	40	130	851	1352	65	327	500	557	149	207	621	924	1107	800	174	343	404	
"Timor-Leste"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	22	17	7	404	
"Oman"	16	42	25	164	32	5	22	123	235	59	6	386	252	330	767	791	724	510	356	395	
"Jordan"	113	41	143	340	265	220	191	175	149	135	204	252	640	323	1033	734	511	330	581	373	
"Bahrain"	84	131	148	279	317	546	288	228	346	496	488	400	532	458	248	757	590	370	485	362	
"Montenegro"	0	0	0	0	38	4	10	249	1043	59	79	212	39	8	32	80	45	420	527	350	
"Armenia"	21	26	0	20	71	107	59	84	346	180	142	168	80	143	606	190	218	230	445	317	
"Eswatini"	100	143	75	81	131	194	277	161	367	572	288	307	229	533	603	440	1736	194	649	307	
"Kazakhstan"	30	23	54	64	44	176	103	34	43	74	42	121	265	27	247	260	246	161	120	299	
"Moldova, Republic of"	18	3	3	9	5	3	3	0	4	28	37	507	95	15	3	187	96	469	437	292	
"Mauritania"	2	0	71	0	0	4	21	0	0	0	39	10	13	56	17	0	76	90	39	266	
"Mali"	0	30	331	133	27	13	63	4	7	19	109	45	141	100	153	114	88	87	45	257	
"Bolivia, Plurinational State of"	64	80	90	164	180	196	29	196	285	331	524	518	528	297	396	880	262	62	92	241	
"Ghana"	5	24	39	84	60	2	30	770	63	72	73	90	87	53	92	189	532	170	426	224	
"Togo"	0	0	48	0	0	0	0	0	0	0	0	9	0	0	0	80	0	9	76	211	
"Macedonia, North"	4	5	7	3	36	61	117	86	51	22	76	77	251	282	361	301	355	157	150	210	
"Andorra"	35	0	58	1323	4	53	0	0	5	97	841	97	254	856	1140	405	441	176	302	207	
"Tanzania, United Republic of"	0	4	34	14	0	0	4	11	7	47	4	37	101	17	104	103	105	18	55	185	
"Belize"	0	12	18	478	197	344	32	13	0	64	47	13	8	44	132	100	294	31	79	163	
"Mongolia"	0	11	239	96	18	21	22	9	77	191	229	140	112	56	40	367	72	948	72	156	
"Nepal"	7	60	9	29	44	150	65	25	87	46	132	117	172	73	169	79	4	47	22	150	
"Niger"	436	18	50	23	26	67	23	58	206	214	135	251	117	65	144	69	105	343	248	149	
"Iraq"	0	758	387	26	79	12	122	690	208	61	85	70	180	70	82	47	30	37	468	144	
"Cocos (Keeling) Islands"	0	0	2	84	109	0	2	33	0	20	11	15	158	110	0	137	144	137	31	143	
"Suriname"	7	30	22	56	4	52	9	43	102	83	34	75	168	129	48	55	27	37	395	138	
"Sao Tome and Principe"	5	6	16	10	11	22	22	154	3	0	0	15	99	48	98	373	328	288	217	133	
"Brunei Darussalam"	29	13	0	95	41	0	17	40	3	7	82	164	102	73	30	74	59	22	49	131	
"Djibouti"	3	10	46	0	11	39	1116	82	5	14	2	39	129	35	183	134	17	49	20	129	
"Kuwait"	65	54	460	33	111	32	19	60	34	27	297	43	140	246	461	431	1093	43	52	124	
"Senegal"	0	113	105	35	23	43	0	11	67	7	59	156	26	60	126	181	84	96	99	124	
"Gambia"	47	7	5	0	0	0	8	0	0	0	2	3	0	22	76	15	8	180	38	116	
"Congo, Democratic Republic of the"	52	15	0	27	212	9	23	4	0	45	21	17	4	37	14	0	47	5	26	111	
"Botswana"	43	5	10	0	0	0	0	84	9	50	217	73	49	14	2	37	0	0	5	110	
"Nauru"	0	29	40	2	9	16	0	12	36	70	149	12	12	14	411	205	250	255	117	109	
"Christmas Island"	20	0	3	20	33	26	11	121	120	10	58	7	11	11	28	13	9	13		103	
"Fiji"	3	0	8	23	0	9	4	12	13	0	88	0	0	78	45	0	8	16	4	102	
"Dominica"	13	2	14	55	178	37	39	4	0	7	7	93	17	112	52	143	171	88	55	101	
"Antigua and Barbuda"	48	81	105	96	126	211	225	95	181	231	180	190	86	150	316	34	97	152	111	96	
"Guinea"	18	9	3	49	26	241	517	18	74	274	97	42	70	127	87	40	53	165	65	90	
"Kiribati"	0	0	0	20	0	0	0	0	0	4	0	0	0	294	0	0	0	16		88	
"Namibia"	0	3	15	30	14	25	152	2	57	13	94	138	114	128	263	154	69	788	167	87	
"Uzbekistan"	6	0	2	0	40	0	8	5	48	4	82	0	35	128	0	0	49	457	111	84	
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	10	0		83	
"Marshall Islands"	0	0	0	0	3	2	0	0	0	0	0	0	105	3	0	0	3	0	56	81	
"Saint Helena"	20	11	2	36	371	156	10	531	182	188	274	126	34	457	85	0	195	78	43	81	
"Malawi"	5	0	0	0	10	0	0	9	0	0	0	0	51	0	177	0	2	124		75	
"Micronesia, Federated States of"	0	0	0	0	3	0	3	11	0	46	26	5	3	0	230	149	0	13	92	73	
"Madagascar"	6	0	39	0	0	0	5	7	10	5	0	14	26	63	31	112	79	53	170	65	
"Tonga"	0	0	0	0	0	0	0	0	20	0	0	0	173	3	0	0	4	186		63	
"Chad"	0	0	3	0	0	0	0	0	13	0	5	0	29	6	0	63	7	12	22	62	
"Aruba"	19	45	13	7	19	0	37	45	25	50	10	19	22	48	133	291	34	25	269	61	
"Montserrat"	212	0	32	0	26	13	26	14	26	499	58	92	16	71	39	142	41	135	15	60	
"Greenland"	6	0	0	2	0	3	3	18	125	0	38	0	0	46	5	23	0	3	9	59	
"Burkina Faso"	0	0	0	0	0	34	4	40	7	0	48	51	58	0	30	0	33	0	4	58	
"Albania"	70	55	92	79	133	18	60	27	11	23	98	17	62	21	39	40	76	482	210	55	
"Côte d'Ivoire"	20	92	75	221	55	57	94	24	35	52	28	37	145	71	256	8	15	36	707	55	
"Haiti"	5	2	71	15	103	186	199	3	14	96	57	13	38	218	9	3	7	31	100	51	
"Anguilla"	0	0	138	15	203	58	0	128	234	251	12	5	460	4	3	91	0	0	10	50	
"Bosnia and Herzegovina"	124	325	172	332	623	266	124	150	68	174	33	38	40	40	14	6	82	40	33	46	
"Algeria"	2	11	0	41	19	0	99	17	81	142	68	54	62	103	197	485	225	330	14	44	
"Kyrgyzstan"	0	3	0	2	19	3	8	0	2	5	11	36	99	0	98	2	5	58	62	42	
"Lesotho"	0	0	0	0	0	0	0	0	10	0	0	185	0	0	0	7	6	3		38	
"Uganda"	0	21	0	5	0	0	5	6	112	4	74	193	154	751	55	896	14	30	12	36	
"Falkland Islands (Malvinas)"	12	0	14	22	30	0	0	0	0	4	0	18	16	0	11	0	19	46		27	
"Central African Republic"	61	6	0	35	136	13	7	5	35	0	27	0	0	23	254	22	12	0		27	
"Grenada"	0	752	48	0	13	78	0	0	12	6	48	23	96	61	13	79	26	10		27	
"Paraguay"	14	0	28	43	77	88	123	39	62	47	65	61	136	321	91	121	35	18	58	22	
"Maldives"	0	0	31	8	0	0	17	0	0	8	5	81	0	4	81	65	17	12	21	21	
"Equatorial Guinea"	9	0	4	0	323	7	0	0	107	49	47	0	29	7	0	10	0	0		20	
"Venezuela, Bolivarian Republic of"	649	1080	2050	8557	1001	927	1621	466	1395	548	269	189	402	267	502	170	44	30	145	20	
"Turkmenistan"	0	93	3	50	0	31	0	0	48	0	0	0	0	0	131	9	50	0	93	19	
"French Southern and Antarctic Territories"	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0		17	
"Azerbaijan"	2	0	35	9	19	15	0	31	44	36	0	0	11	1689	1086	155	429	304	50	16	
"Cook Islands"	0	5	43	4	26	29	57	33	3	58	22	17	10	183	157	23	8	6	68	16	
"British Virgin Islands"	22	3	338	96	0	118	38	0	11	68	82	83	14	133	15	58	18	42		15	
"Papua New Guinea"	0	0	141	0	5	9	12	60	117	112	36	96	178	25	5	83	39	29		14	
"British Indian Ocean Territory"	0	44	141	0	0	3	0	50	60	459	22	21	122	5	0	0	0	58		13	
"Congo"	23	57	21	29	31	0	38	399	81	108	314	187	441	260	217	51	25	13	16	12	
"Mozambique"	0	4	22	0	0	76	0	30	16	3	4	414	21	84	54	433	113	51	147	12	
"Cabo Verde"	264	2	0	0	130	0	248	261	18	11	10	9	6	109	39	0	0	82	15	11	
"Palestine, State of"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0		11	
"Niue"	0	6	0	0	50	0	5	0	2	2	0	48	0	2	10	0	0	0		10	
"Saint Lucia"	130	1383	4007	4942	5184	3504	1701	2516	2324	97	6	0	11	15	43	15	209	60		10	
"Zambia"	0	0	0	11	19	25	21	64	6	3	31	0	0	0	3	0	11	0	21	10	
"Zimbabwe"	0	0	25	0	0	0	0	0	17	14	0	4	0	11	21	0	32	0	5	9	
"Saint Pierre and Miquelon"	43	9	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0		8	
"Somalia"	0	44	0	7	20	0	0	0	0	0	6	0	21	12	0	0	0	88	35	8	
"Afghanistan"	155	302	765	31	21	40	100	101	520	28	129	153	271	308	430	225	38	77	69	7	
"Faroe Islands"	0	0	25	0	0	45	0	265	622	570	17	2	0	0	126	86	188	0	113	7	
"Bhutan"	0	0	0	0	0	0	0	0	37	0	6	0	0	3	34	10	5	13		5	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	
"Libya, State of"	0	0	0	0	0	7	203	23	0	0	0	0	3	28	0	0	0	14	75	4	
"Saint Vincent and the Grenadines"	5	0	0	0	2	0	48	3	3	0	28	0	4	34	18	50	0	4	2	4	
"French Polynesia"	16	20	34	179	20	5	54	0	14	7	0	117	76	508	26	39	25	32	50	3	
"Tajikistan"	27	0	0	3	15	68	0	41	201	0	89	57	244	93	2	0	3	7		3	
"Norfolk Island"	0	7	5	15	0	0	0	0	10	0	0	0	0	0	0	0	0	22		2	
"Gibraltar"	0	29	40	15	5	3	0	84	17	0	24	26	56	0	21	21	0	10	3		
"Sint Maarten (Dutch part)"	0	0	0	0	0	0	0	0	0	22	0	20	0	0	0	0	0	0			
"Pitcairn"	0	39	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0			
"Western Sahara"	0	0	0	0	0	0	0	0	3	0	0	0	0	2	13	9	0	11			
"Tokelau"	40	0	85	0	73	82	24	152	0	0	0	0	0	0	0	6	2	0			
"Wallis and Futuna Islands"	0	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	8	0	28		
"Angola"	17	13	57	144	61	297	150	44	118	40	0	0	0	0	18	10	27	0			
"Solomon Islands"	0	2	0	0	17	146	7	0	3	33	3	74	7	0	38	0	0	20	13		
"Burundi"	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0			
"Comoros"	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	0	4	0	21		
"Benin"	0	0	0	0	0	6	0	6	0	0	24	0	0	0	3	0	0	0			
"Eritrea"	3	18	13	0	0	4	0	30	9	0	0	0	0	244	0	0	9	78	23		
"Iran, Islamic Republic of"	90	6	0	100	18	2	0	0	0	0	0	0	0	0	0	0	9	0			
"Liberia"	0	0	0	0	3	0	27	3	15	36	18	2	3	0	18	20	27	55	31		
"Netherlands Antilles"	16767	2521	674	2564	2290	1329	248	0	0	0	0	0	0	0	0	0	0	0			
"Vanuatu"	3	0	0	0	8	4	0	0	0	2	0	0	0	12	0	0	0	3	31		
"Guinea-Bissau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0			
"Rwanda"	0	0	0	0	0	21	36	0	0	0	6	0	0	0	0	3	0	0	33		
"Sudan (before 2012)"	6	0	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0			
"Syrian Arab Republic"	0	15	795	0	0	3	0	8	40	10	0	0	0	0	5	0	0	0			
"Turks and Caicos Islands"	0	5	0	25	10	21	0	10	0	0	0	11	14	30	0	75	126	59	9		
"Tuvalu"	0	0	0	0	0	3	0	0	0	34	0	0	0	0	0	0	25	0	33		
"Samoa"	0	89	117	23	9	8	61	208	51	31	50	45	0	0	23	12	0	0	18		
"Yemen"	0	48	16	32	0	10	7	0	0	0	0	0	0	22	0	0	0	0			
"Serbia and Montenegro"	22	189	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
