Exporters	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"World"	2152380	2041311	2343977	2251165	1739298	1743769	1858351	2054070	1997116	2200291	
"Germany"	218997	229550	254832	236225	168303	163699	263526	233460	308270	512539	
"United States of America"	674815	560753	757191	572547	549886	656296	665915	751229	625006	512075	
"China"	114305	119140	144865	149004	108005	78496	83275	82049	224849	291154	
"Italy"	111315	123255	120616	117827	102936	88548	91124	120935	91711	92996	
"United Kingdom"	125810	101556	98136	105668	70643	71842	82178	76437	80915	92606	
"Japan"	88405	53695	64458	57643	38965	43245	45050	73335	45358	91398	
"United Arab Emirates"	141292	152916	167261	183571	151319	137234	79657	65557	72242	80750	
"India"	52778	72630	87341	112854	77480	67379	66118	69777	67260	77774	
"France"	165787	104651	102912	142763	66956	68930	76339	88639	72433	73772	
"Bahrain"	3225	14547	90144	78918	40079	31866	32898	37005	34677	32233	
"Sweden"	11353	12941	18362	20651	16053	16133	17618	17373	20119	29677	
"Spain"	49397	43455	58490	27916	18977	19717	21703	26485	28190	28901	
"Belgium"	38110	71594	57387	88679	45508	30650	16845	38373	23990	26766	
"Korea, Republic of"	16911	12089	14905	18340	7869	7171	11335	10917	51089	26536	
"Singapore"	26971	11807	8968	25805	24748	21282	19401	17288	21490	25003	
"Finland"	2847	13330	16422	14368	8263	11250	15646	16376	17338	18909	
"Denmark"	23966	22738	16065	17063	20777	26545	47757	39940	25363	18518	
"Taipei, Chinese"	9038	8935	6773	8589	6579	6800	5951	3437	7532	18273	
"Netherlands"	45626	65578	35362	18900	21425	17191	15495	17717	13168	18137	
"Switzerland"	27615	42641	34157	42314	35158	26474	31770	24381	11488	15649	
"Malaysia"	14685	7090	6951	6116	9399	13607	10483	10464	7811	12851	
"Thailand"	17712	15883	9128	10990	8274	8436	13699	11975	10100	10380	
"Jordan"	6825	6434	6985	7146	6574	6134	5018	25248	10517	10363	
"Canada"	5224	12405	8492	8843	8248	7291	7852	6140	7333	9830	
"Ireland"	2881	3186	1540	899	1542	1774	5890	3013	4834	9159	
